Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.04338694365434176,0,1
1,0.03388537462395869,0,0
2,0.06952937733968664,1,0
3,0.03770146116825571,0,0
4,0.04098470933513366,0,1
5,0.0670764366811858,1,1
6,0.03410593012757699,0,0
7,0.035072219076309044,0,0
8,0.03805088851190815,0,0
9,0.03586389630270501,0,0
10,0.04023770424108381,0,1
11,0.033544343992220865,0,0
12,0.04108777615872773,0,0
13,0.044483734337747126,0,0
14,0.04402277306447756,0,0
15,0.03227270827026121,0,0
16,0.04014613840470302,0,0
17,0.04072233615391553,0,0
18,0.0381539037171558,0,0
19,0.04241203483759871,0,0
20,0.038164987997321105,0,0
21,0.036813844712751384,0,0
22,0.03285848399180193,0,0
23,0.033664723511174624,0,0
24,0.034666851197172145,0,0
25,0.05009241887501254,0,0
26,0.05483140919256426,1,1
27,0.0381292730344747,0,0
28,0.04639192214993054,0,0
29,0.06309291334690283,1,0
30,0.05255664682656455,1,0
31,0.03583826235423984,0,0
32,0.03675001490204367,0,0
33,0.03450970488154616,0,0
34,0.037682817428358134,0,1
35,0.03473276602489981,0,0
36,0.04848340812649539,0,0
37,0.03795374354583697,0,0
38,0.0397280486392704,0,0
39,0.05294015318216348,1,0
40,0.03359316291118831,0,0
41,0.034185420711878994,0,0
42,0.04376553017036858,0,0
43,0.05395714791532602,1,0
44,0.038281894057745035,0,0
45,0.04156318638359477,0,1
46,0.0439145289499194,0,1
47,0.03335028062626055,0,0
48,0.03497560802893175,0,0
49,0.03773063692225308,0,0
50,0.03490708716946367,0,0
51,0.031973277016796905,0,0
52,0.03846256971971869,0,0
53,0.050612202449146416,0,0
54,0.03922108019223119,0,0
55,0.03958835379712094,0,0
56,0.03721770181860965,0,0
57,0.03699581818628482,0,0
58,0.03863340869975864,0,0
59,0.03855921443290455,0,0
60,0.05450503681070011,1,1
61,0.03340419377687809,0,1
62,0.0332135972164752,0,0
63,0.038438924606768635,0,0
64,0.04353478614108409,0,0
65,0.03330194866584639,0,0
66,0.036989673667580485,0,0
67,0.03750516218672964,0,0
68,0.039257736339455125,0,0
69,0.035209939566976704,0,0
70,0.03561735998123272,0,0
71,0.037980842012149,0,0
72,0.03789927483833132,0,0
73,0.04479725283538373,0,0
74,0.03653866349926884,0,0
75,0.04855634169335044,0,0
76,0.09809365476247625,1,1
77,0.037764829119885164,0,0
78,0.03989611942492167,0,0
79,0.037964470488100976,0,0
80,0.03682304461913906,0,0
81,0.04364116196189285,0,0
82,0.03786908284798938,0,0
83,0.05246784899769252,1,1
84,0.04473965917441014,0,0
85,0.11994016378036823,1,1
86,0.05591731185394457,1,0
87,0.054778596682445314,1,1
88,0.08440830385911183,1,1
89,0.06481284776403495,1,1
90,0.038168585634658914,0,0
91,0.04812394222426294,0,1
92,0.0359957322442034,0,0
93,0.0409779191517874,0,1
94,0.046905542894064164,0,0
95,0.0397841525416853,0,0
96,0.05255804131336967,1,0
97,0.038552508073748076,0,0
98,0.04320085899653172,0,0
99,0.03923601609898127,0,0
100,0.04185363058105007,0,1
101,0.05057073612334807,0,0
102,0.05754237703756692,1,0
103,0.043942709232989076,0,0
104,0.03718318924078355,0,0
105,0.053949757029826094,1,1
106,0.04790021499438197,0,0
107,0.03373254612181504,0,0
108,0.09027336704530564,1,0
109,0.037541451307007825,0,0
110,0.036945207614410204,0,0
111,0.03659261571394169,0,0
112,0.04299632297780581,0,0
113,0.04540803279985981,0,0
114,0.03506285305962464,0,0
115,0.03414896244504594,0,0
116,0.052093253490682875,1,0
117,0.04156449469644646,0,0
118,0.04751963523466553,0,0
119,0.03225574808947949,0,0
120,0.03703292704444287,0,0
121,0.03488350285560627,0,0
122,0.04025614922592143,0,0
123,0.03906949750819094,0,0
124,0.0344680760707132,0,0
125,0.038001004794662535,0,0
126,0.0439524326114045,0,0
127,0.03945139854363205,0,0
128,0.03508795262979343,0,0
129,0.051802942694732734,0,0
130,0.036974391369590645,0,0
131,0.035878189867731815,0,0
132,0.03424345733654955,0,0
133,0.05544468823634503,1,0
134,0.03336558480835306,0,0
135,0.041672528052739494,0,0
136,0.040231833564134595,0,0
137,0.04325311362048165,0,0
138,0.04309875884255607,0,0
139,0.038659133807894853,0,0
140,0.03690605360510751,0,0
141,0.08556582557995968,1,1
142,0.03603162325436486,0,0
143,0.03604157666250895,0,0
144,0.035218938683501275,0,0
145,0.04059661884273972,0,0
146,0.05358988053378962,1,0
147,0.03724575731705586,0,0
148,0.03304508784774635,0,0
149,0.03660494727465497,0,0
150,0.037520349206530815,0,0
151,0.035636181658769445,0,0
152,0.03864178016647212,0,0
153,0.03909260562686492,0,0
154,0.03541216040039922,0,0
155,0.035466270901262156,0,0
156,0.03298469076761215,0,0
157,0.03871996607668653,0,0
158,0.05394277796498834,1,0
159,0.035416161656012544,0,0
160,0.037409091664288026,0,0
161,0.03514647921596687,0,0
162,0.04033015350207842,0,0
163,0.04144592002824531,0,0
164,0.03384449962356825,0,0
165,0.03319116227243004,0,0
166,0.03581118893835933,0,0
167,0.03876096160745864,0,0
168,0.03366970761514298,0,1
169,0.042502606648260145,0,1
170,0.04016128612917613,0,0
171,0.04396114437844457,0,0
172,0.03454958827611491,0,0
173,0.04411244351701226,0,0
174,0.044458841595807916,0,1
175,0.039858356421176445,0,0
176,0.035947461555611286,0,0
177,0.03350619191753194,0,0
178,0.05068475783541249,0,0
179,0.035953651131734106,0,0
180,0.036296182568251185,0,0
181,0.03548408498127137,0,0
182,0.04301039131674341,0,0
183,0.041381516283589256,0,1
184,0.04924312081943666,0,0
185,0.04976859489548328,0,1
186,0.035076255754431705,0,0
187,0.06490660401440743,1,0
188,0.04496521605944284,0,1
189,0.06712478331004693,1,1
190,0.0530715803334663,1,0
191,0.03821659558150907,0,0
192,0.041147906047398555,0,0
193,0.040709496584817234,0,0
194,0.03848099708858626,0,0
195,0.03317319032924463,0,0
196,0.040577366088984164,0,0
197,0.04200345471364935,0,0
198,0.07725516579756073,1,0
199,0.045766425894180826,0,0
200,0.03493022562627134,0,0
201,0.03690027773449529,0,0
202,0.04937385231169136,0,0
203,0.032858598055945876,0,0
204,0.08511828119461037,1,1
205,0.03781209676537369,0,0
206,0.03515810764218799,0,0
207,0.0917718368992217,1,1
208,0.046580951178836295,0,0
209,0.04011706356485884,0,0
210,0.06352020747436993,1,0
211,0.042281601876721926,0,0
212,0.03967485112547553,0,0
213,0.07041114017549716,1,0
214,0.039108958858812666,0,1
215,0.03394044754450472,0,0
216,0.037241685998989284,0,0
217,0.052087345507553486,1,1
218,0.08703266246579934,1,1
219,0.044728788327851404,0,0
220,0.03349615605329099,0,0
221,0.03555551314437444,0,0
222,0.042404618413858966,0,0
223,0.042062483200847246,0,0
224,0.036414051257196954,0,0
225,0.05499159656095499,1,1
226,0.03670209234469617,0,0
227,0.043127293133804145,0,0
228,0.037487646648336606,0,0
229,0.04419292808488158,0,0
230,0.035081177423899206,0,0
231,0.05231864610595441,1,1
232,0.03709338339260376,0,0
233,0.04086370369175516,0,0
234,0.05080147833952455,0,0
235,0.042265135547080564,0,0
236,0.03661279908582425,0,0
237,0.04713010665204272,0,0
238,0.03732484529022162,0,0
239,0.045664775258735045,0,0
240,0.033132616957647444,0,0
241,0.04422443916430253,0,0
242,0.04672424633502758,0,0
243,0.04473801134046566,0,1
244,0.03417724998471764,0,0
245,0.037506788402170504,0,0
246,0.04617042429133238,0,0
247,0.03401866524416909,0,0
248,0.0456781300517494,0,1
249,0.03711476645703758,0,0
250,0.04014397052265501,0,0
251,0.052650715754780794,1,1
252,0.06537075496932603,1,1
253,0.06407978041002779,1,1
254,0.04569999510294345,0,0
255,0.03616534613694543,0,0
256,0.04871174377185528,0,0
257,0.06792074840109694,1,1
258,0.03493934294132191,0,1
259,0.04311004129155017,0,0
260,0.04275221079827504,0,0
261,0.03504386416103153,0,0
262,0.03702747609256158,0,0
263,0.033212014941039335,0,0
264,0.03361375508362537,0,0
265,0.034995077442855654,0,0
266,0.03706554161342523,0,0
267,0.05285698415209697,1,0
268,0.039251219567307205,0,0
269,0.03974978057708631,0,0
270,0.034466925534163736,0,0
271,0.04085190617368457,0,0
272,0.03767668921942468,0,0
273,0.032771800212921795,0,0
274,0.034497681158896176,0,0
275,0.039603837452168895,0,0
276,0.04501090451471268,0,0
277,0.035392352055847204,0,0
278,0.03515671495795517,0,0
279,0.03580995724984974,0,0
280,0.04738499553988504,0,0
281,0.044373389487497195,0,0
282,0.034163010432596584,0,0
283,0.038071016234334114,0,0
284,0.04337507493971168,0,0
285,0.04982508756419034,0,1
286,0.03545560048919533,0,0
287,0.033066603361618686,0,0
288,0.03780714347449914,0,0
289,0.04039110554546612,0,0
290,0.03954464369186946,0,0
291,0.07085935091466743,1,0
292,0.041771068088554936,0,0
293,0.06424259010782118,1,0
294,0.038034754897562494,0,0
295,0.05429948877526361,1,0
296,0.06087686997611106,1,0
297,0.09925272031231482,1,0
298,0.04313277274235558,0,0
299,0.04273616363695649,0,0
300,0.053635603301883446,1,1
301,0.037123944224276305,0,0
302,0.04180139700508543,0,0
303,0.06080541112562824,1,1
304,0.03763040023054248,0,0
305,0.039740544530533266,0,0
306,0.048403378585772885,0,0
307,0.04011764390979192,0,0
308,0.05922433876082067,1,0
309,0.035291442789144443,0,1
310,0.03700874602822295,0,0
311,0.03968303192073421,0,0
312,0.06358323517200384,1,0
313,0.05859598704698882,1,0
314,0.033371544595694996,0,0
315,0.03897901995103892,0,0
316,0.06546660518344474,1,1
317,0.03297658300641905,0,0
318,0.05065433681316726,0,0
319,0.04619672833253792,0,0
320,0.048367932145612774,0,1
321,0.045963430780626965,0,0
322,0.04487398020539843,0,0
323,0.06291526830409953,1,0
324,0.049574027505218984,0,0
325,0.03190471456674505,0,0
326,0.03529538164473986,0,0
327,0.06313532702825321,1,1
328,0.04104142014346591,0,0
329,0.03993100406837545,0,0
330,0.04132465737810903,0,0
331,0.0430106198988653,0,0
332,0.04786529040000167,0,0
333,0.037701882535454125,0,0
334,0.047300305910715414,0,0
335,0.048355945768034245,0,0
336,0.05091976129226279,0,0
337,0.03505494670588603,0,0
338,0.03450503292359671,0,0
339,0.04561312483208675,0,0
340,0.038250722658029354,0,0
341,0.03559421230230575,0,0
342,0.033049546772802765,0,0
343,0.03537558892677943,0,0
344,0.041454180097488844,0,0
345,0.035154378978298165,0,0
346,0.03948580167913284,0,0
347,0.0457354045601229,0,0
348,0.04823271312690754,0,1
349,0.038491164822281286,0,0
350,0.04559165109693163,0,0
351,0.041224288782516084,0,0
352,0.047164217928599816,0,0
353,0.04841917140398485,0,0
354,0.07918693041427183,1,0
355,0.039027762746557865,0,0
356,0.06929356535990024,1,1
357,0.0384591575325688,0,0
358,0.037869775592730415,0,0
359,0.0555674618970794,1,0
360,0.038613389038392856,0,0
361,0.06397767112812278,1,1
362,0.03644931521367248,0,0
363,0.050620885301982624,0,0
364,0.03782584965746731,0,0
365,0.04476258266480151,0,0
366,0.057904560083738184,1,0
367,0.05604070988224751,1,0
368,0.04922862250882637,0,0
369,0.03833237291493105,0,0
370,0.07453649523297741,1,1
371,0.03718415916240799,0,0
372,0.041714145507422334,0,0
373,0.039130429405131374,0,0
374,0.04031156530535584,0,1
375,0.036950840752784105,0,0
376,0.04865304520224827,0,1
377,0.035401792512918286,0,0
378,0.033999993606187745,0,0
379,0.09188348351115883,1,0
380,0.045879488934646225,0,0
381,0.06209544590494658,1,1
382,0.03740521907431842,0,0
383,0.04009876207992974,0,0
384,0.04115481230167598,0,0
385,0.04499785296737484,0,0
386,0.04212765221531696,0,0
387,0.04075174927113152,0,1
388,0.13551068909177616,1,1
389,0.06118074831668097,1,0
390,0.03332963419652783,0,0
391,0.043272287408577526,0,0
392,0.034061561739954525,0,0
393,0.05378273118713541,1,0
394,0.037062435266984585,0,0
395,0.07540890039205725,1,1
396,0.0385253113346142,0,0
397,0.042901292454408095,0,0
398,0.06430188742467398,1,1
399,0.034055223649604914,0,0
400,0.03408284274776123,0,0
401,0.057885462673617015,1,1
402,0.038239033300833614,0,0
403,0.09472100412450146,1,1
404,0.04005126895310839,0,0
405,0.038614314988820425,0,0
406,0.038232419242457086,0,0
407,0.0526166431390943,1,0
408,0.03833359637620979,0,0
409,0.039291598990535456,0,0
410,0.05420651265743288,1,1
411,0.03728362325145351,0,0
412,0.05422657655342133,1,0
413,0.045512691307819896,0,0
414,0.04123041690142493,0,0
415,0.038388057775529685,0,0
416,0.039722405068414325,0,0
417,0.05012040879555561,0,0
418,0.034630057908336974,0,0
419,0.045220525174237754,0,0
420,0.03902629881419055,0,1
421,0.03829472045841911,0,0
422,0.03845452040845252,0,0
423,0.03797212250307045,0,0
424,0.07957111788055476,1,1
425,0.03497117298481355,0,0
426,0.04116787911205698,0,0
427,0.06172097887400165,1,0
428,0.03527688191774333,0,0
429,0.0420740160613593,0,0
430,0.08361508228128771,1,0
431,0.03466289705461909,0,0
432,0.044092834418785816,0,0
433,0.05564173048835368,1,1
434,0.0423120863589464,0,0
435,0.03315476358534847,0,0
436,0.042185384721898124,0,0
437,0.03557263978332488,0,0
438,0.03562734886001284,0,0
439,0.036612865301179055,0,0
440,0.042353332135998234,0,0
441,0.04103674842514359,0,0
442,0.0391814083487349,0,0
443,0.03758590980427422,0,0
444,0.03430189309703012,0,0
445,0.03943760304724938,0,0
446,0.036074869142536235,0,0
447,0.0391767773177095,0,0
448,0.0460021239387242,0,0
449,0.10628600647841595,1,0
450,0.042648033955096004,0,0
451,0.03609474703384937,0,0
