Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.0,0.0,0.0,0.6052,0
121,1.98,0.0413,0.009,0.0148,0.6052,5
182,2.98,0.0714,0.0235,0.0353,0.6052,13
243,3.98,0.0823,0.0361,0.0502,0.6052,20
304,4.98,0.0921,0.0505,0.0653,0.6052,28
365,5.98,0.0849,0.056,0.0675,0.6052,31
426,6.98,0.0939,0.0722,0.0816,0.6052,40
487,7.98,0.0924,0.0812,0.0865,0.6052,45
548,8.99,0.0967,0.0957,0.0962,0.6052,53
609,9.99,0.0985,0.1083,0.1032,0.6052,60
914,14.99,0.1061,0.1751,0.1322,0.6052,97
1219,19.99,0.0984,0.2166,0.1354,0.6052,120
1524,24.99,0.1024,0.2816,0.1501,0.6052,156
1829,29.99,0.1148,0.3791,0.1762,0.6052,210
2134,34.99,0.1148,0.4422,0.1823,0.6052,245
2439,39.99,0.1156,0.509,0.1884,0.6052,282
2744,44.99,0.1184,0.5866,0.1971,0.6052,325
3049,49.99,0.122,0.6715,0.2065,0.6052,372
3659,59.99,0.1151,0.7599,0.1999,0.6052,421
4269,70.0,0.1122,0.8646,0.1986,0.6052,479
4879,80.0,0.1076,0.9477,0.1933,0.6052,525
5489,90.0,0.1009,1.0,0.1834,0.6052,554
6099,100.0,0.0908,1.0,0.1665,0.6052,554
