Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,0.92,1.0,0.0727,0.1356,0.7063,8
17,1.95,0.8235,0.1273,0.2205,0.7063,14
26,2.98,0.6923,0.1636,0.2647,0.7063,18
34,3.9,0.6176,0.1909,0.2917,0.7063,21
43,4.93,0.5349,0.2091,0.3007,0.7063,23
52,5.96,0.5192,0.2455,0.3333,0.7063,27
61,7.0,0.459,0.2545,0.3275,0.7063,28
69,7.91,0.4348,0.2727,0.3352,0.7063,30
78,8.94,0.3846,0.2727,0.3191,0.7063,30
87,9.98,0.3793,0.3,0.335,0.7063,33
130,14.91,0.3077,0.3636,0.3333,0.7063,40
174,19.95,0.2816,0.4455,0.3451,0.7063,49
218,25.0,0.2431,0.4818,0.3232,0.7063,53
261,29.93,0.2107,0.5,0.2965,0.7063,55
305,34.98,0.1934,0.5364,0.2843,0.7063,59
348,39.91,0.1897,0.6,0.2882,0.7063,66
392,44.95,0.1786,0.6364,0.2789,0.7063,70
436,50.0,0.1743,0.6909,0.2784,0.7063,76
523,59.98,0.1702,0.8091,0.2812,0.7063,89
610,69.95,0.1656,0.9182,0.2806,0.7063,101
697,79.93,0.1564,0.9909,0.2701,0.7063,109
784,89.91,0.1403,1.0,0.2461,0.7063,110
872,100.0,0.1261,1.0,0.224,0.7063,110
