Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.04823331534862518,0,0
1,0.1055639237165451,0,0
2,0.3646981120109558,1,1
3,0.20491616427898407,1,1
4,0.04517729580402374,0,0
5,0.2663997709751129,1,1
6,0.042578164488077164,0,0
7,0.04853573441505432,0,0
8,0.04874683544039726,0,0
9,0.4940808117389679,1,1
10,0.09688746929168701,0,0
11,0.24212758243083954,1,1
12,0.11417799443006516,0,0
13,0.05362265184521675,0,0
14,0.05214443802833557,0,0
15,0.10906967520713806,0,0
16,0.04545198753476143,0,0
17,0.08688602596521378,0,0
18,0.04430728778243065,0,0
19,0.0471082478761673,0,0
20,0.1384076476097107,0,0
21,0.4923008680343628,1,1
22,0.4436020851135254,1,1
23,0.344387412071228,1,1
24,0.042578164488077164,0,0
25,0.04776313155889511,0,0
26,0.04575932025909424,0,0
27,0.04530975967645645,0,0
28,0.042578164488077164,0,0
29,0.04517729580402374,0,0
30,0.04328256472945213,0,0
31,0.04575932025909424,0,0
32,0.046458110213279724,0,0
33,0.04479518532752991,0,0
34,0.04424440860748291,0,0
35,0.05165858566761017,0,0
36,0.1322062760591507,0,0
37,0.22818276286125183,1,1
38,0.2950652539730072,1,1
39,0.4366896152496338,1,1
40,0.11635605245828629,0,0
41,0.11436103284358978,0,0
42,0.14583295583724976,0,0
43,0.34260237216949463,1,1
44,0.11991381645202637,0,0
45,0.10483390092849731,0,0
46,0.04973670840263367,0,0
47,0.10527785122394562,0,0
48,0.38921478390693665,1,1
49,0.04517729580402374,0,0
50,0.04213421419262886,0,0
51,0.11789567023515701,0,0
52,0.04874683544039726,0,0
53,0.04328256472945213,0,0
54,0.044328607618808746,0,0
55,0.044303640723228455,0,0
56,0.1116631031036377,0,0
57,0.04199614375829697,0,0
58,0.04299861192703247,0,0
59,0.043662384152412415,0,0
60,0.11749298125505447,0,0
61,0.04299861192703247,0,0
62,0.04414696618914604,0,0
63,0.11436103284358978,0,0
64,0.042700543999671936,0,0
65,0.1182892844080925,0,0
66,0.1083153709769249,0,0
67,0.17914950847625732,0,0
68,0.049496687948703766,0,0
69,0.11037801951169968,0,0
70,0.04662371799349785,0,0
71,0.04915660247206688,0,0
72,0.04328256472945213,0,0
73,0.11961972713470459,0,0
74,0.04535457864403725,0,0
75,0.04213421419262886,0,0
76,0.1945289969444275,0,0
77,0.11337350308895111,0,0
78,0.10574120283126831,0,0
79,0.04213421419262886,0,0
80,0.05267222598195076,0,0
81,0.04299861192703247,0,0
82,0.04575932025909424,0,0
83,0.04517729580402374,0,0
84,0.04328256472945213,0,0
85,0.042578164488077164,0,0
86,0.049496687948703766,0,0
87,0.04662371799349785,0,0
88,0.05525428056716919,0,0
89,0.04701992869377136,0,0
90,0.05260604992508888,0,0
91,0.04421316459774971,0,0
92,0.04575932025909424,0,0
93,0.04213421419262886,0,0
94,0.042578164488077164,0,0
95,0.3023444414138794,1,0
96,0.054529447108507156,0,0
97,0.04662371799349785,0,0
98,0.04155219346284866,0,0
99,0.04575932025909424,0,0
100,0.04479518532752991,0,0
101,0.04575932025909424,0,0
102,0.049496687948703766,0,0
103,0.049496687948703766,0,0
104,0.048532549291849136,0,0
105,0.04575932025909424,0,0
106,0.04517729580402374,0,0
107,0.04575932025909424,0,0
108,0.059787943959236145,0,0
109,0.04807046428322792,0,0
110,0.04517729580402374,0,0
111,0.049496687948703766,0,0
112,0.14225775003433228,0,0
113,0.10430236160755157,0,0
114,0.11915788054466248,0,0
115,0.12126990407705307,0,0
116,0.05152672901749611,0,0
117,0.04328256472945213,0,0
118,0.12132036685943604,0,0
119,0.04575932025909424,0,0
120,0.10749295353889465,0,0
121,0.09470849484205246,0,0
122,0.11071252822875977,0,0
123,0.05060302093625069,0,0
124,0.17112642526626587,0,0
125,0.04299861192703247,0,0
126,0.04155219346284866,0,0
127,0.04213421419262886,0,0
128,0.2461279183626175,1,0
129,0.056016955524683,0,0
130,0.04575932025909424,0,0
131,0.04479518532752991,0,0
132,0.044910628348588943,0,0
133,0.11466418206691742,0,0
134,0.04155219346284866,0,0
135,0.04517729580402374,0,0
136,0.04575932025909424,0,0
137,0.04213421419262886,0,0
138,0.045593708753585815,0,0
139,0.044303640723228455,0,0
140,0.04662371799349785,0,0
141,0.04575932025909424,0,0
142,0.11375562101602554,0,0
143,0.20104765892028809,1,0
144,0.1335476040840149,0,0
145,0.08640964329242706,0,0
146,0.04575932025909424,0,0
147,0.04575932025909424,0,0
148,0.04575932025909424,0,0
149,0.04575932025909424,0,0
150,0.11769526451826096,0,0
151,0.04545198753476143,0,0
152,0.04662371799349785,0,0
153,0.04662371799349785,0,0
154,0.04891466349363327,0,0
155,0.33891773223876953,1,0
