Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
14,0.95,0.7857,0.0175,0.0342,0.6099,11
29,1.97,0.7931,0.0366,0.0699,0.6099,23
44,2.99,0.75,0.0525,0.0981,0.6099,33
58,3.94,0.7241,0.0668,0.1223,0.6099,42
73,4.96,0.7397,0.0859,0.1538,0.6099,54
88,5.97,0.75,0.1049,0.1841,0.6099,66
103,6.99,0.7379,0.1208,0.2077,0.6099,76
117,7.94,0.7094,0.132,0.2225,0.6099,83
132,8.96,0.7045,0.1479,0.2444,0.6099,93
147,9.98,0.6939,0.1622,0.2629,0.6099,102
220,14.94,0.6045,0.2114,0.3133,0.6099,133
294,19.96,0.568,0.2655,0.3619,0.6099,167
368,24.98,0.538,0.3148,0.3972,0.6099,198
441,29.94,0.5329,0.3736,0.4393,0.6099,235
515,34.96,0.5184,0.4245,0.4668,0.6099,267
589,39.99,0.5161,0.4833,0.4992,0.6099,304
662,44.94,0.4955,0.5215,0.5081,0.6099,328
736,49.97,0.4932,0.5771,0.5319,0.6099,363
883,59.95,0.487,0.6836,0.5688,0.6099,430
1031,69.99,0.4772,0.7822,0.5928,0.6099,492
1178,79.97,0.461,0.8633,0.601,0.6099,543
1325,89.95,0.4438,0.9348,0.6018,0.6099,588
1473,100.0,0.427,1.0,0.5985,0.6099,629
