Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.2113347053527832,1,0
1,0.18204933404922485,1,0
2,0.18037152290344238,1,0
3,0.18688681721687317,1,0
4,0.20567336678504944,1,0
5,0.19544555246829987,1,0
6,0.16594836115837097,0,0
7,0.17025762796401978,0,0
8,0.21097292006015778,1,0
9,0.1915159523487091,1,0
10,0.20616242289543152,1,0
11,0.18614736199378967,1,0
12,0.21472972631454468,1,0
13,0.20492710173130035,1,0
14,0.1487869918346405,0,0
15,0.15442265570163727,0,0
16,0.17663270235061646,0,0
17,0.21907852590084076,1,0
18,0.15362170338630676,0,0
19,0.16833123564720154,0,0
20,0.1656949818134308,0,0
21,0.18867740035057068,1,0
22,0.21521756052970886,1,0
23,0.17706641554832458,0,0
24,0.17571982741355896,0,0
25,0.23901093006134033,1,0
26,0.18681228160858154,1,0
27,0.15286321938037872,0,0
28,0.20613789558410645,1,0
29,0.17155134677886963,0,0
30,0.14374150335788727,0,0
31,0.2025110423564911,1,0
32,0.18804875016212463,1,0
33,0.16959360241889954,0,0
34,0.15157407522201538,0,0
35,0.16959939897060394,0,0
36,0.18051975965499878,1,0
37,0.19249853491783142,1,0
38,0.18061929941177368,1,0
39,0.16154327988624573,0,0
40,0.20971223711967468,1,0
41,0.15734069049358368,0,0
42,0.18057595193386078,1,0
43,0.15704607963562012,0,0
44,0.15644486248493195,0,0
45,0.17007559537887573,0,0
46,0.17916199564933777,0,0
47,0.15370938181877136,0,0
48,0.18230004608631134,1,0
49,0.16388794779777527,0,0
50,0.17752867937088013,0,0
51,0.1449231505393982,0,0
52,0.19725951552391052,1,0
53,0.16428247094154358,0,0
54,0.18406029045581818,1,0
55,0.2056913524866104,1,0
56,0.17547646164894104,0,0
57,0.17450444400310516,0,0
58,0.18223239481449127,1,0
59,0.1921447515487671,1,0
60,0.15718479454517365,0,0
61,0.15612779557704926,0,0
62,0.15612797439098358,0,0
63,0.20774748921394348,1,0
64,0.1790360063314438,0,0
65,0.16598302125930786,0,0
66,0.16683781147003174,0,0
67,0.1601143479347229,0,0
68,0.188673198223114,1,0
69,0.1683894395828247,0,0
70,0.17113712430000305,0,0
71,0.17171308398246765,0,0
72,0.2017732560634613,1,0
73,0.14680446684360504,0,0
74,0.15546053647994995,0,0
75,0.17197450995445251,0,0
76,0.1457861065864563,0,0
77,0.15894612669944763,0,0
78,0.16325423121452332,0,0
79,0.17503121495246887,0,0
80,0.15371567010879517,0,0
81,0.17364183068275452,0,0
82,0.1490786075592041,0,0
83,0.1526256799697876,0,0
84,0.15612779557704926,0,0
85,0.193935364484787,1,0
86,0.16887132823467255,0,0
87,0.18884748220443726,1,0
88,0.15325728058815002,0,0
89,0.18284760415554047,1,0
90,0.1757858395576477,0,0
91,0.167852982878685,0,0
92,0.157160684466362,0,0
93,0.1490015685558319,0,0
94,0.15080881118774414,0,0
95,0.15116843581199646,0,0
96,0.16243630647659302,0,0
97,0.16996993124485016,0,0
98,0.17817121744155884,0,0
99,0.1777850091457367,0,0
100,0.23617994785308838,1,0
101,0.18654413521289825,1,0
102,0.2329210788011551,1,0
103,0.19343042373657227,1,0
104,0.21072480082511902,1,0
105,0.19539523124694824,1,0
106,0.19500122964382172,1,0
107,0.15970805287361145,0,0
108,0.19899632036685944,1,0
109,0.1781913936138153,0,0
110,0.17295370995998383,0,0
111,0.22258341312408447,1,0
112,0.2156771570444107,1,0
113,0.19938503205776215,1,0
114,0.1866133064031601,1,0
115,0.16167376935482025,0,0
116,0.17880824208259583,0,0
117,0.1692868173122406,0,0
118,0.16850684583187103,0,0
119,0.174772247672081,0,0
120,0.1712368130683899,0,0
121,0.17455099523067474,0,0
122,0.2038019895553589,1,0
123,0.21097339689731598,1,0
124,0.1582472026348114,0,0
125,0.14544710516929626,0,0
126,0.1861022412776947,1,0
127,0.19184193015098572,1,0
128,0.20972448587417603,1,0
129,0.1634521186351776,0,0
130,0.18491345643997192,1,0
131,0.18480558693408966,1,0
132,0.17376363277435303,0,0
133,0.17637744545936584,0,0
134,0.15158581733703613,0,0
135,0.22391904890537262,1,0
136,0.2571563124656677,1,0
137,0.22426871955394745,1,0
138,0.195701003074646,1,0
139,0.20493760704994202,1,0
140,0.16715766489505768,0,0
141,0.18577462434768677,1,0
142,0.1607544720172882,0,0
143,0.16619427502155304,0,0
144,0.17235258221626282,0,0
145,0.1876993477344513,1,0
146,0.21070429682731628,1,0
147,0.21816135942935944,1,0
148,0.21588750183582306,1,0
149,0.18635916709899902,1,0
150,0.1783156543970108,0,0
151,0.1952875256538391,1,0
152,0.2113492786884308,1,0
153,0.21436798572540283,1,0
154,0.2339598834514618,1,0
155,0.1744474470615387,0,0
156,0.1790466606616974,0,0
157,0.17624543607234955,0,0
158,0.20538857579231262,1,0
159,0.16887132823467255,0,0
160,0.18884748220443726,1,0
161,0.15325728058815002,0,0
162,0.18284760415554047,1,0
163,0.1757858395576477,0,0
164,0.167852982878685,0,0
165,0.157160684466362,0,0
166,0.14374150335788727,0,0
167,0.2025110423564911,1,0
168,0.18804875016212463,1,0
169,0.16959360241889954,0,0
170,0.15157407522201538,0,0
171,0.16959939897060394,0,0
172,0.18051975965499878,1,0
173,0.19249853491783142,1,0
174,0.18061929941177368,1,0
175,0.16154327988624573,0,0
176,0.20971223711967468,1,0
177,0.15734069049358368,0,0
178,0.18057595193386078,1,0
179,0.15704607963562012,0,0
180,0.15644486248493195,0,0
181,0.16996993124485016,0,0
182,0.17817121744155884,0,0
183,0.1777850091457367,0,0
184,0.23617994785308838,1,0
185,0.18654413521289825,1,0
186,0.2329210788011551,1,0
187,0.19343042373657227,1,0
188,0.21072480082511902,1,0
189,0.19539523124694824,1,0
190,0.19500122964382172,1,0
191,0.16007816791534424,0,0
192,0.1896742731332779,1,0
193,0.1803029477596283,1,0
194,0.19948643445968628,1,0
195,0.17924579977989197,0,0
196,0.19041574001312256,1,0
197,0.1962682008743286,1,0
198,0.20931793749332428,1,0
199,0.19957566261291504,1,0
200,0.17197450995445251,0,0
201,0.1457861065864563,0,0
202,0.15894612669944763,0,0
203,0.16325423121452332,0,0
204,0.17503121495246887,0,0
205,0.15371567010879517,0,0
206,0.17364183068275452,0,0
207,0.1490786075592041,0,0
208,0.1526256799697876,0,0
209,0.15612779557704926,0,0
210,0.2339598834514618,1,0
211,0.1744474470615387,0,0
212,0.1790466606616974,0,0
213,0.17624543607234955,0,0
214,0.20538857579231262,1,0
215,0.16887132823467255,0,0
216,0.18884748220443726,1,0
217,0.15325728058815002,0,0
218,0.18284760415554047,1,0
219,0.1757858395576477,0,0
220,0.167852982878685,0,0
221,0.157160684466362,0,0
222,0.14374150335788727,0,0
223,0.17197450995445251,0,0
224,0.1457861065864563,0,0
225,0.15894612669944763,0,0
226,0.16325423121452332,0,0
227,0.17503121495246887,0,0
228,0.15371567010879517,0,0
229,0.17364183068275452,0,0
230,0.1962682008743286,1,0
231,0.20931793749332428,1,0
232,0.19957566261291504,1,0
233,0.17197450995445251,0,0
234,0.1457861065864563,0,0
