Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.81,0.0,0.0,0.0,0.7385,0
7,1.89,0.0,0.0,0.0,0.7385,0
11,2.97,0.0,0.0,0.0,0.7385,0
14,3.78,0.0,0.0,0.0,0.7385,0
18,4.86,0.0556,0.02,0.0294,0.7385,1
22,5.95,0.0455,0.02,0.0278,0.7385,1
25,6.76,0.08,0.04,0.0533,0.7385,2
29,7.84,0.069,0.04,0.0506,0.7385,2
33,8.92,0.0606,0.04,0.0482,0.7385,2
37,10.0,0.0541,0.04,0.046,0.7385,2
55,14.86,0.1273,0.14,0.1333,0.7385,7
74,20.0,0.1486,0.22,0.1774,0.7385,11
92,24.86,0.2174,0.4,0.2817,0.7385,20
111,30.0,0.2523,0.56,0.3478,0.7385,28
129,34.86,0.2558,0.66,0.3687,0.7385,33
148,40.0,0.2568,0.76,0.3838,0.7385,38
166,44.86,0.2651,0.88,0.4074,0.7385,44
185,50.0,0.2703,1.0,0.4255,0.7385,50
222,60.0,0.2252,1.0,0.3676,0.7385,50
259,70.0,0.1931,1.0,0.3236,0.7385,50
296,80.0,0.1689,1.0,0.289,0.7385,50
333,90.0,0.1502,1.0,0.2611,0.7385,50
370,100.0,0.1351,1.0,0.2381,0.7385,50
