Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.19712498784065247,0,0
1,0.17853392660617828,0,1
2,0.2079494446516037,0,0
3,0.2540258765220642,1,0
4,0.22767433524131775,1,1
5,0.2519542872905731,1,0
6,0.17768582701683044,0,0
7,0.20752489566802979,0,0
8,0.22348013520240784,0,0
9,0.21349430084228516,0,1
10,0.1906818300485611,0,1
11,0.21148312091827393,0,1
12,0.17727959156036377,0,0
13,0.18687981367111206,0,1
14,0.1820623278617859,0,0
15,0.18959787487983704,0,1
16,0.17214557528495789,0,0
17,0.2505566477775574,1,0
18,0.18980547785758972,0,0
19,0.17381054162979126,0,0
20,0.21300414204597473,0,0
21,0.2595997750759125,1,0
22,0.19409960508346558,0,0
23,0.22741277515888214,1,0
24,0.20736412703990936,0,0
25,0.20570287108421326,0,0
26,0.23105430603027344,1,0
27,0.17997154593467712,0,0
28,0.23346742987632751,1,0
29,0.189141646027565,0,0
30,0.1829642355442047,0,0
31,0.2218964397907257,0,0
32,0.23406390845775604,1,0
33,0.24248027801513672,1,0
34,0.19267044961452484,0,0
35,0.15007099509239197,0,0
36,0.20551052689552307,0,0
37,0.20348913967609406,0,0
38,0.2330503910779953,1,0
39,0.24039046466350555,1,0
40,0.18467110395431519,0,0
41,0.16875416040420532,0,0
42,0.2707768678665161,1,0
43,0.18075522780418396,0,0
44,0.20144712924957275,0,0
45,0.2323506772518158,1,0
46,0.21311335265636444,0,0
47,0.141924187541008,0,0
48,0.18091434240341187,0,0
49,0.286480188369751,1,0
50,0.19904474914073944,0,0
51,0.19128084182739258,0,0
52,0.21765542030334473,0,0
53,0.20929357409477234,0,0
54,0.16653671860694885,0,0
55,0.24246510863304138,1,0
56,0.18319810926914215,0,0
57,0.20291857421398163,0,0
58,0.16623088717460632,0,0
59,0.20045383274555206,0,0
60,0.20834925770759583,0,0
61,0.28045958280563354,1,0
62,0.23780176043510437,1,0
63,0.2325725257396698,1,0
64,0.18485772609710693,0,0
65,0.2560737729072571,1,0
66,0.19713132083415985,0,0
67,0.2026429921388626,0,0
68,0.21408896148204803,0,0
69,0.23988381028175354,1,0
70,0.16971132159233093,0,0
71,0.2208029329776764,0,0
72,0.18666185438632965,0,0
73,0.21716003119945526,0,0
74,0.1591757982969284,0,0
75,0.1712939441204071,0,0
76,0.22798900306224823,1,1
77,0.24903222918510437,1,0
78,0.1896866261959076,0,0
79,0.2809751033782959,1,1
80,0.20207476615905762,0,0
81,0.17840415239334106,0,0
82,0.16187480092048645,0,0
83,0.28310149908065796,1,0
84,0.21789780259132385,0,0
85,0.17771470546722412,0,0
86,0.17136737704277039,0,0
87,0.18715853989124298,0,0
88,0.21733352541923523,0,0
89,0.26982492208480835,1,1
90,0.2505459189414978,1,1
91,0.16444388031959534,0,0
92,0.23509705066680908,1,0
93,0.21765415370464325,0,0
94,0.2779139578342438,1,0
95,0.22110161185264587,0,0
96,0.18889117240905762,0,0
97,0.20424041152000427,0,1
98,0.1970752328634262,0,0
99,0.18879978358745575,0,0
100,0.2066388577222824,0,1
101,0.273902952671051,1,0
102,0.20312313735485077,0,1
103,0.22670069336891174,1,0
104,0.16444912552833557,0,1
105,0.20901140570640564,0,0
106,0.1796623170375824,0,0
107,0.2237364798784256,0,0
108,0.16443145275115967,0,0
109,0.18424926698207855,0,0
110,0.20289170742034912,0,0
111,0.20612411201000214,0,0
112,0.1966351568698883,0,0
113,0.20265483856201172,0,0
114,0.2173890322446823,0,0
115,0.17863361537456512,0,0
116,0.20203912258148193,0,0
117,0.24668768048286438,1,0
118,0.20884111523628235,0,0
119,0.28195711970329285,1,0
120,0.20443317294120789,0,0
121,0.16614454984664917,0,0
122,0.1785455048084259,0,0
123,0.22225984930992126,0,0
124,0.19536259770393372,0,0
125,0.19138306379318237,0,0
126,0.19957710802555084,0,0
127,0.17530110478401184,0,0
128,0.24799323081970215,1,0
129,0.1906774789094925,0,0
130,0.17161013185977936,0,0
131,0.23046286404132843,1,0
132,0.24484308063983917,1,0
133,0.2820758819580078,1,0
134,0.2601846754550934,1,0
135,0.2067619115114212,0,0
136,0.20666632056236267,0,0
137,0.19372659921646118,0,0
138,0.17698362469673157,0,0
139,0.19933398067951202,0,0
140,0.2681732773780823,1,0
141,0.1765119582414627,0,0
142,0.18374444544315338,0,0
143,0.2021496742963791,0,0
144,0.1925514191389084,0,0
145,0.1675879806280136,0,0
146,0.21964216232299805,0,1
147,0.2122153490781784,0,0
148,0.20594894886016846,0,1
149,0.18742039799690247,0,0
150,0.18751253187656403,0,0
151,0.20956170558929443,0,0
152,0.17926597595214844,0,0
153,0.18428394198417664,0,0
154,0.15294109284877777,0,0
155,0.26351216435432434,1,0
156,0.224385067820549,0,0
157,0.1918485164642334,0,0
158,0.17766663432121277,0,0
159,0.23147425055503845,1,0
160,0.19964540004730225,0,0
161,0.1845763921737671,0,0
162,0.1795893907546997,0,0
163,0.19524028897285461,0,0
164,0.2664317488670349,1,0
165,0.17800499498844147,0,0
166,0.18614086508750916,0,0
167,0.23126165568828583,1,0
168,0.2211826592683792,0,0
169,0.19181165099143982,0,0
170,0.19261610507965088,0,0
171,0.17485414445400238,0,0
172,0.23114895820617676,1,0
173,0.22755154967308044,1,0
174,0.1757110357284546,0,0
175,0.21550166606903076,0,0
176,0.1759064793586731,0,0
177,0.2484048306941986,1,0
178,0.23679694533348083,1,0
179,0.1672576367855072,0,0
180,0.21091878414154053,0,0
181,0.15585139393806458,0,0
182,0.19315634667873383,0,0
183,0.22276084125041962,0,0
184,0.2205888032913208,0,0
185,0.17888346314430237,0,0
186,0.21352872252464294,0,0
187,0.2162322700023651,0,0
188,0.23141615092754364,1,1
189,0.25521984696388245,1,1
190,0.16083523631095886,0,0
191,0.21201245486736298,0,0
192,0.19886918365955353,0,1
193,0.17649255692958832,0,0
194,0.25426721572875977,1,1
195,0.16888274252414703,0,0
196,0.24837402999401093,1,0
197,0.17161956429481506,0,0
198,0.17127884924411774,0,0
199,0.2767600417137146,1,0
200,0.17099732160568237,0,0
201,0.21622255444526672,0,1
202,0.2184009999036789,0,0
203,0.19656701385974884,0,0
204,0.2228018343448639,0,1
205,0.18974344432353973,0,0
206,0.18911519646644592,0,0
207,0.23408281803131104,1,0
208,0.16319456696510315,0,0
209,0.232233926653862,1,1
210,0.2002585381269455,0,0
211,0.2275240421295166,1,0
212,0.16045835614204407,0,0
213,0.16597451269626617,0,0
214,0.23420250415802002,1,0
215,0.2680506110191345,1,0
216,0.22110135853290558,0,0
217,0.16948339343070984,0,1
218,0.18169468641281128,0,0
219,0.18875905871391296,0,0
220,0.250021755695343,1,1
221,0.15982183814048767,0,0
222,0.19618086516857147,0,0
223,0.20964141190052032,0,0
224,0.31845834851264954,1,0
225,0.1713869720697403,0,1
226,0.2591785490512848,1,1
227,0.17201906442642212,0,0
228,0.1608891785144806,0,0
229,0.22202923893928528,0,0
230,0.17731323838233948,0,1
231,0.19953808188438416,0,0
232,0.21547548472881317,0,0
233,0.15102419257164001,0,0
234,0.239542156457901,1,0
235,0.1846173107624054,0,0
236,0.21359503269195557,0,0
237,0.22530552744865417,0,0
238,0.20156681537628174,0,0
239,0.29595550894737244,1,0
240,0.19602303206920624,0,0
241,0.22679798305034637,1,1
242,0.21487954258918762,0,0
243,0.2561313509941101,1,0
244,0.22610366344451904,1,0
245,0.27591657638549805,1,0
246,0.20855867862701416,0,0
247,0.24310728907585144,1,0
248,0.1521785706281662,0,0
249,0.19454947113990784,0,0
250,0.21928703784942627,0,0
251,0.2075001746416092,0,0
252,0.196670264005661,0,0
253,0.249065563082695,1,0
254,0.20752771198749542,0,0
255,0.2994818091392517,1,0
256,0.20267300307750702,0,0
257,0.18537446856498718,0,0
258,0.2620476484298706,1,0
259,0.2232958823442459,0,0
260,0.2073173075914383,0,0
261,0.1662677526473999,0,0
262,0.210969477891922,0,0
263,0.22644264996051788,1,0
264,0.1780320554971695,0,0
265,0.1582326591014862,0,0
266,0.2220751941204071,0,0
267,0.20198369026184082,0,0
268,0.20433947443962097,0,0
269,0.16743025183677673,0,0
270,0.17494668066501617,0,0
271,0.262317031621933,1,0
272,0.21618139743804932,0,0
273,0.15930534899234772,0,0
274,0.19232165813446045,0,0
275,0.2304554283618927,1,0
276,0.20889344811439514,0,0
277,0.22156813740730286,0,0
278,0.25325319170951843,1,0
279,0.25231674313545227,1,0
280,0.16951251029968262,0,0
281,0.19647608697414398,0,0
282,0.257687509059906,1,0
283,0.21604356169700623,0,0
284,0.21457791328430176,0,0
285,0.21809180080890656,0,0
286,0.22034506499767303,0,0
287,0.2063957154750824,0,1
288,0.2107560634613037,0,0
289,0.18810637295246124,0,1
290,0.16303791105747223,0,0
291,0.19040116667747498,0,1
292,0.22001834213733673,0,0
293,0.19273166358470917,0,0
294,0.2293034791946411,1,0
295,0.20074458420276642,0,0
296,0.20472672581672668,0,1
297,0.16785724461078644,0,0
298,0.16912341117858887,0,0
299,0.19817401468753815,0,0
300,0.18256182968616486,0,1
301,0.19064001739025116,0,0
302,0.16183306276798248,0,0
303,0.15681259334087372,0,0
304,0.19594888389110565,0,0
305,0.3041623830795288,1,0
306,0.19641819596290588,0,0
307,0.20682446658611298,0,0
308,0.1992572546005249,0,0
309,0.17836079001426697,0,0
310,0.19401304423809052,0,0
311,0.17847895622253418,0,0
312,0.21456274390220642,0,0
313,0.1659303605556488,0,0
314,0.1962345391511917,0,0
315,0.23488470911979675,1,0
316,0.21294501423835754,0,0
317,0.16889965534210205,0,0
318,0.19345615804195404,0,0
319,0.2369672954082489,1,0
320,0.26182934641838074,1,0
321,0.1796800196170807,0,0
322,0.1860434114933014,0,0
323,0.26196807622909546,1,0
324,0.2304675132036209,1,0
325,0.19405773282051086,0,0
326,0.19940105080604553,0,0
327,0.17307040095329285,0,0
328,0.22224858403205872,0,0
329,0.17929105460643768,0,0
330,0.20636186003684998,0,0
331,0.20298334956169128,0,0
332,0.21001896262168884,0,0
333,0.2102775126695633,0,0
334,0.167300745844841,0,0
335,0.18997149169445038,0,0
336,0.25754594802856445,1,0
337,0.19931229948997498,0,0
338,0.24217407405376434,1,0
339,0.22704429924488068,1,0
340,0.20308394730091095,0,0
341,0.17124363780021667,0,0
342,0.20372116565704346,0,0
343,0.20598772168159485,0,0
344,0.20776768028736115,0,0
345,0.1527176797389984,0,0
346,0.17096519470214844,0,0
347,0.1619047373533249,0,0
348,0.20636579394340515,0,0
349,0.24618776142597198,1,0
350,0.1985051929950714,0,0
351,0.15673425793647766,0,0
352,0.24843600392341614,1,0
353,0.19158515334129333,0,0
354,0.27633246779441833,1,0
355,0.1696484386920929,0,0
356,0.19911576807498932,0,0
357,0.21847021579742432,0,0
358,0.22448411583900452,0,0
359,0.1847408264875412,0,0
360,0.2166580706834793,0,0
361,0.2076997011899948,0,0
362,0.15734198689460754,0,0
363,0.18420884013175964,0,0
364,0.17511382699012756,0,0
365,0.2019418179988861,0,0
366,0.20350785553455353,0,0
367,0.19773055613040924,0,0
368,0.15385612845420837,0,0
369,0.22052302956581116,0,0
370,0.1619730442762375,0,0
371,0.2090226113796234,0,0
372,0.19299277663230896,0,0
373,0.20017056167125702,0,0
374,0.25555795431137085,1,0
375,0.23048436641693115,1,0
376,0.19158318638801575,0,0
377,0.19176237285137177,0,0
378,0.2402772158384323,1,0
379,0.17871792614459991,0,0
380,0.19087786972522736,0,0
381,0.19908636808395386,0,0
382,0.1912461370229721,0,0
383,0.19228532910346985,0,0
384,0.16989003121852875,0,0
385,0.22540989518165588,0,0
386,0.20668935775756836,0,0
387,0.17921552062034607,0,0
388,0.15405850112438202,0,0
389,0.23543491959571838,1,0
390,0.22707882523536682,1,0
391,0.19949935376644135,0,0
392,0.16489946842193604,0,0
393,0.19532474875450134,0,0
394,0.1710549294948578,0,0
395,0.24346354603767395,1,0
396,0.16170264780521393,0,0
397,0.2148502767086029,0,0
398,0.2476131170988083,1,0
399,0.22191433608531952,0,0
400,0.21273577213287354,0,0
401,0.20500847697257996,0,0
402,0.16503813862800598,0,0
403,0.20530712604522705,0,0
404,0.21200759708881378,0,0
405,0.20846474170684814,0,0
406,0.2416454255580902,1,0
407,0.1791556179523468,0,0
408,0.2098383605480194,0,0
409,0.2390298843383789,1,0
410,0.1855267584323883,0,0
411,0.19774991273880005,0,0
412,0.20339424908161163,0,0
413,0.18418222665786743,0,0
414,0.2217111587524414,0,0
415,0.17189402878284454,0,0
416,0.18733283877372742,0,0
417,0.20218908786773682,0,0
418,0.20255210995674133,0,0
419,0.20080867409706116,0,0
420,0.2071470469236374,0,0
421,0.19264616072177887,0,0
422,0.16430889070034027,0,0
423,0.23607301712036133,1,0
424,0.1783483922481537,0,0
425,0.24218571186065674,1,0
426,0.21349315345287323,0,0
427,0.18116074800491333,0,0
428,0.16327999532222748,0,0
429,0.19401082396507263,0,0
430,0.239468052983284,1,0
431,0.1988423764705658,0,0
432,0.2549026310443878,1,0
433,0.1903587281703949,0,0
434,0.22419194877147675,0,0
435,0.2546294927597046,1,0
436,0.2312694787979126,1,0
437,0.24065467715263367,1,0
438,0.22848443686962128,1,0
439,0.17634958028793335,0,0
440,0.21374556422233582,0,0
441,0.18720820546150208,0,0
442,0.2349664866924286,1,0
443,0.18823429942131042,0,0
444,0.1682361662387848,0,0
445,0.22415976226329803,0,0
446,0.17336317896842957,0,0
447,0.18928274512290955,0,0
448,0.20415779948234558,0,0
449,0.23194770514965057,1,0
450,0.17545756697654724,0,0
451,0.22473296523094177,0,0
452,0.2036081999540329,0,0
453,0.20942774415016174,0,0
454,0.22908973693847656,1,0
455,0.21492528915405273,0,0
456,0.22218617796897888,0,0
457,0.21036025881767273,0,0
458,0.2108422964811325,0,0
459,0.18773052096366882,0,0
460,0.236611008644104,1,0
461,0.20290978252887726,0,0
462,0.1549133062362671,0,0
463,0.24079425632953644,1,0
464,0.20992955565452576,0,0
465,0.3005261719226837,1,0
466,0.18720173835754395,0,1
467,0.2790532112121582,1,0
468,0.25968509912490845,1,0
469,0.220794677734375,0,0
470,0.23739711940288544,1,1
471,0.18622799217700958,0,0
472,0.1787766069173813,0,0
473,0.17707285284996033,0,1
474,0.22571015357971191,1,1
475,0.19524455070495605,0,0
476,0.19637222588062286,0,1
477,0.15666185319423676,0,0
478,0.17800654470920563,0,0
479,0.2109559029340744,0,1
480,0.19055059552192688,0,0
481,0.21073153614997864,0,0
482,0.16097046434879303,0,0
483,0.19783781468868256,0,1
484,0.17964494228363037,0,0
485,0.22132015228271484,0,1
486,0.18625232577323914,0,1
487,0.22935013473033905,1,0
488,0.1821126639842987,0,0
489,0.22971835732460022,1,0
490,0.17456838488578796,0,0
491,0.18665947020053864,0,0
492,0.20873546600341797,0,0
493,0.2126474678516388,0,0
494,0.24140159785747528,1,0
495,0.24894997477531433,1,0
496,0.16652701795101166,0,0
497,0.20947611331939697,0,0
498,0.21302524209022522,0,0
499,0.20565810799598694,0,0
500,0.18750923871994019,0,0
501,0.19845107197761536,0,0
502,0.15462161600589752,0,0
503,0.2518290877342224,1,0
504,0.21605432033538818,0,0
505,0.2733076512813568,1,0
506,0.25681719183921814,1,0
507,0.24158975481987,1,0
508,0.17502181231975555,0,0
509,0.1979634314775467,0,0
510,0.19348463416099548,0,0
511,0.20941826701164246,0,0
512,0.2028825581073761,0,0
513,0.2035258561372757,0,0
514,0.16154001653194427,0,0
515,0.21993620693683624,0,0
516,0.16251395642757416,0,0
517,0.1999269425868988,0,0
518,0.18995317816734314,0,0
519,0.20011642575263977,0,0
520,0.22400689125061035,0,0
521,0.2628275752067566,1,0
522,0.2394591122865677,1,0
523,0.19686731696128845,0,0
524,0.22375492751598358,0,0
525,0.1990823894739151,0,0
526,0.20540933310985565,0,0
527,0.19153445959091187,0,0
528,0.2099660187959671,0,0
529,0.18391898274421692,0,0
530,0.224394753575325,0,0
531,0.15349504351615906,0,0
532,0.20182065665721893,0,0
533,0.21654406189918518,0,0
534,0.21547766029834747,0,0
535,0.15019235014915466,0,0
536,0.2186204195022583,0,0
537,0.22726774215698242,1,0
538,0.23630544543266296,1,0
539,0.21043014526367188,0,0
540,0.2165866643190384,0,0
541,0.16255882382392883,0,0
542,0.1881927102804184,0,0
543,0.21801595389842987,0,0
544,0.18978719413280487,0,0
545,0.17331096529960632,0,0
546,0.2376885861158371,1,1
547,0.1985294222831726,0,0
548,0.18987545371055603,0,0
549,0.19448508322238922,0,0
550,0.18381918966770172,0,0
551,0.2534148097038269,1,0
552,0.21790234744548798,0,1
553,0.295388400554657,1,1
554,0.17719468474388123,0,1
555,0.20643799006938934,0,0
556,0.17011180520057678,0,1
557,0.22691121697425842,1,0
558,0.2115401029586792,0,0
559,0.19904139637947083,0,1
560,0.24203090369701385,1,1
561,0.23435001075267792,1,0
562,0.18480153381824493,0,0
563,0.2076178342103958,0,1
564,0.20973625779151917,0,0
565,0.2078128159046173,0,0
566,0.20257440209388733,0,0
567,0.28565865755081177,1,0
568,0.22646383941173553,1,1
569,0.20947742462158203,0,0
570,0.2203628271818161,0,0
571,0.24726729094982147,1,1
572,0.22349901497364044,0,0
573,0.2187492549419403,0,0
574,0.16278493404388428,0,0
575,0.23656269907951355,1,0
576,0.2366078794002533,1,0
577,0.21942953765392303,0,0
578,0.20293068885803223,0,0
579,0.18690595030784607,0,1
580,0.17023441195487976,0,0
581,0.1609744280576706,0,0
582,0.21043655276298523,0,0
583,0.192306786775589,0,1
584,0.2311284840106964,1,0
