Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,1.0,0.125,0.01,0.0185,0.5821,1
16,2.0,0.25,0.04,0.069,0.5821,4
24,3.0,0.2083,0.05,0.0806,0.5821,5
32,4.0,0.1562,0.05,0.0758,0.5821,5
40,5.0,0.175,0.07,0.1,0.5821,7
48,6.0,0.1875,0.09,0.1216,0.5821,9
56,7.0,0.1964,0.11,0.141,0.5821,11
64,8.0,0.1875,0.12,0.1463,0.5821,12
72,9.0,0.1806,0.13,0.1512,0.5821,13
80,10.0,0.1875,0.15,0.1667,0.5821,15
120,15.0,0.1917,0.23,0.2091,0.5821,23
160,20.0,0.1812,0.29,0.2231,0.5821,29
200,25.0,0.18,0.36,0.24,0.5821,36
240,30.0,0.1625,0.39,0.2294,0.5821,39
280,35.0,0.1571,0.44,0.2316,0.5821,44
320,40.0,0.1562,0.5,0.2381,0.5821,50
360,45.0,0.1444,0.52,0.2261,0.5821,52
400,50.0,0.1475,0.59,0.236,0.5821,59
480,60.0,0.1396,0.67,0.231,0.5821,67
560,70.0,0.1375,0.77,0.2333,0.5821,77
640,80.0,0.1375,0.88,0.2378,0.5821,88
720,90.0,0.1319,0.95,0.2317,0.5821,95
800,100.0,0.125,1.0,0.2222,0.5821,100
