Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.18371382355690002,1,0
1,0.15754181146621704,1,1
2,0.14376240968704224,1,1
3,0.14234988391399384,1,0
4,0.1300659328699112,1,0
5,0.11029449850320816,0,0
6,0.16420578956604004,1,1
7,0.1315811276435852,1,0
8,0.10404063016176224,0,1
9,0.17218023538589478,1,1
10,0.10604537278413773,0,0
11,0.12239550799131393,1,0
12,0.15132172405719757,1,1
13,0.11849257349967957,1,0
14,0.14442990720272064,1,0
15,0.10247250646352768,0,0
16,0.13342544436454773,1,1
17,0.09653224050998688,0,0
18,0.1124357283115387,0,0
19,0.10910803824663162,0,0
20,0.14034000039100647,1,0
21,0.17040355503559113,1,0
22,0.10866173356771469,0,1
23,0.13211695849895477,1,1
24,0.1380525529384613,1,1
25,0.11100738495588303,0,0
26,0.1170584037899971,0,0
27,0.16664695739746094,1,0
28,0.10411382466554642,0,0
29,0.1342107504606247,1,1
30,0.16035963594913483,1,0
31,0.16771817207336426,1,1
32,0.1019311398267746,0,1
33,0.10085802525281906,0,0
34,0.11585007607936859,0,0
35,0.10546514391899109,0,0
36,0.12868596613407135,1,1
37,0.1292593628168106,1,1
38,0.12194853276014328,1,1
39,0.14416451752185822,1,0
40,0.15485188364982605,1,1
41,0.15047122538089752,1,0
42,0.15526525676250458,1,0
43,0.13044677674770355,1,0
44,0.11773253977298737,1,1
45,0.10722104460000992,0,1
46,0.10295220464468002,0,0
47,0.10915221273899078,0,1
48,0.1589440256357193,1,0
49,0.14476868510246277,1,0
50,0.1359977126121521,1,0
51,0.10792241990566254,0,0
52,0.10513364523649216,0,1
53,0.11718234419822693,0,0
54,0.1181420236825943,1,1
55,0.126457080245018,1,1
56,0.1017322987318039,0,1
57,0.11344846338033676,0,1
58,0.11370731145143509,0,0
59,0.13933268189430237,1,0
60,0.13202838599681854,1,1
61,0.14667361974716187,1,0
62,0.14788520336151123,1,1
63,0.14595188200473785,1,0
64,0.10976787656545639,0,1
65,0.14011047780513763,1,1
66,0.10240460187196732,0,1
67,0.10371726006269455,0,0
68,0.16102735698223114,1,1
69,0.11402567476034164,0,1
70,0.11660601198673248,0,0
71,0.15610459446907043,1,1
72,0.14771081507205963,1,1
73,0.1288561373949051,1,1
74,0.10878488421440125,0,1
75,0.123286172747612,1,0
76,0.12258259207010269,1,1
77,0.11496344953775406,0,0
78,0.11129489541053772,0,0
79,0.12503604590892792,1,1
80,0.12351255863904953,1,0
81,0.11105342209339142,0,0
82,0.11114319413900375,0,0
83,0.1702733337879181,1,1
84,0.11263071000576019,0,0
85,0.10330900549888611,0,0
86,0.09780071675777435,0,0
87,0.11610036343336105,0,0
88,0.11283477395772934,0,0
89,0.11036574095487595,0,0
90,0.10196782648563385,0,0
91,0.21784687042236328,1,1
92,0.12996028363704681,1,0
93,0.12219427525997162,1,0
94,0.1148732453584671,0,0
95,0.11837459355592728,1,1
96,0.11992479115724564,1,1
97,0.13991115987300873,1,1
98,0.10879629105329514,0,0
99,0.10490182787179947,0,0
100,0.10714558511972427,0,0
101,0.13998135924339294,1,0
102,0.11540428549051285,0,0
103,0.15840202569961548,1,0
104,0.13296514749526978,1,1
105,0.11763963103294373,1,0
106,0.12131257355213165,1,1
107,0.1006186306476593,0,1
108,0.1347050815820694,1,1
109,0.1096605584025383,0,1
110,0.13421425223350525,1,1
111,0.14380119740962982,1,1
112,0.1387161910533905,1,0
113,0.17631524801254272,1,1
114,0.12998178601264954,1,1
115,0.12304084748029709,1,0
116,0.1298014223575592,1,0
117,0.13056030869483948,1,0
118,0.18435905873775482,1,1
119,0.11196914315223694,0,1
120,0.16756024956703186,1,1
121,0.1789729744195938,1,1
122,0.11506952345371246,0,0
123,0.17859673500061035,1,1
124,0.15908724069595337,1,1
125,0.12575949728488922,1,0
126,0.2565309703350067,1,1
127,0.12581656873226166,1,1
128,0.11272735148668289,0,0
129,0.11487016081809998,0,0
130,0.1002056896686554,0,0
131,0.12623797357082367,1,0
132,0.1425887942314148,1,0
133,0.11847075819969177,1,0
134,0.1147032231092453,0,0
135,0.12134067714214325,1,0
136,0.15051448345184326,1,1
137,0.12577037513256073,1,1
138,0.13104943931102753,1,1
139,0.13076934218406677,1,0
140,0.12330712378025055,1,0
141,0.1358095109462738,1,1
142,0.1453072875738144,1,0
143,0.1204623132944107,1,1
144,0.11821368336677551,1,0
145,0.10020628571510315,0,1
146,0.1728486269712448,1,1
147,0.10699183493852615,0,0
148,0.1134156882762909,0,0
149,0.1208743005990982,1,0
150,0.16329731047153473,1,0
151,0.1239885464310646,1,0
152,0.17657272517681122,1,0
153,0.12257078289985657,1,1
154,0.1489829421043396,1,1
155,0.1448701173067093,1,1
156,0.12067323178052902,1,1
157,0.12326812744140625,1,1
158,0.12172016501426697,1,1
159,0.10862512141466141,0,0
160,0.15353944897651672,1,0
161,0.15883883833885193,1,1
162,0.11256640404462814,0,0
163,0.11969106644392014,1,0
164,0.14927376806735992,1,0
165,0.11811346560716629,1,0
166,0.09741799533367157,0,0
167,0.17179511487483978,1,0
168,0.1303071677684784,1,1
169,0.1301780343055725,1,0
170,0.13949468731880188,1,1
171,0.12421421706676483,1,0
172,0.14002133905887604,1,1
173,0.12065182626247406,1,0
174,0.1290794163942337,1,1
175,0.13859637081623077,1,1
176,0.16637057065963745,1,0
177,0.13331936299800873,1,1
178,0.10369649529457092,0,0
179,0.1586706042289734,1,0
180,0.1035350039601326,0,1
181,0.15910938382148743,1,1
182,0.14685937762260437,1,0
183,0.1812559962272644,1,0
184,0.11956533044576645,1,1
185,0.14671899378299713,1,0
186,0.16272616386413574,1,0
187,0.17122872173786163,1,1
188,0.15224948525428772,1,1
189,0.13720878958702087,1,1
190,0.09762222319841385,0,0
191,0.17155487835407257,1,1
192,0.15185759961605072,1,1
193,0.1841999739408493,1,1
194,0.12157849222421646,1,0
195,0.14216522872447968,1,1
196,0.16675697267055511,1,0
197,0.12830238044261932,1,0
198,0.12311548739671707,1,0
199,0.1289808303117752,1,1
200,0.1160435751080513,0,0
201,0.1491888165473938,1,0
202,0.14390414953231812,1,0
203,0.12173931300640106,1,0
204,0.10936875641345978,0,0
205,0.149902805685997,1,1
206,0.13962987065315247,1,1
207,0.11977498233318329,1,1
208,0.1071397215127945,0,0
209,0.1283862143754959,1,1
210,0.12308091670274734,1,0
211,0.17062082886695862,1,1
212,0.10254360735416412,0,0
213,0.19993458688259125,1,1
214,0.10105276107788086,0,1
215,0.12762518227100372,1,0
216,0.1315869241952896,1,0
217,0.1280178427696228,1,0
218,0.13618621230125427,1,0
219,0.1029258593916893,0,0
220,0.13557283580303192,1,0
221,0.11553151905536652,0,0
222,0.13199685513973236,1,0
223,0.14983995258808136,1,1
224,0.14998553693294525,1,1
225,0.14507906138896942,1,0
226,0.10156387835741043,0,0
227,0.12207753956317902,1,0
228,0.12311501055955887,1,1
229,0.12121018767356873,1,1
230,0.1125006303191185,0,0
231,0.16360467672348022,1,1
232,0.13196875154972076,1,1
233,0.15464971959590912,1,0
234,0.11839384585618973,1,0
235,0.14572739601135254,1,1
236,0.17658965289592743,1,1
237,0.1044258326292038,0,1
238,0.12309101969003677,1,0
239,0.11433793604373932,0,0
240,0.11552738398313522,0,0
241,0.13034921884536743,1,0
242,0.11366644501686096,0,0
243,0.1406926065683365,1,1
244,0.16065587103366852,1,0
245,0.13135448098182678,1,1
246,0.10958199948072433,0,1
247,0.1201176792383194,1,1
248,0.12031663209199905,1,1
249,0.14222612977027893,1,0
250,0.12500150501728058,1,0
251,0.1142587661743164,0,1
252,0.1284797489643097,1,0
253,0.1125015914440155,0,0
254,0.10650932788848877,0,0
255,0.11753731220960617,0,0
256,0.13868537545204163,1,0
257,0.1291297823190689,1,0
258,0.11985878646373749,1,0
259,0.11276965588331223,0,1
260,0.11459794640541077,0,0
261,0.1748732477426529,1,1
262,0.13893982768058777,1,0
263,0.1007174402475357,0,0
264,0.1341954618692398,1,1
265,0.1293175369501114,1,1
266,0.14241330325603485,1,1
267,0.14059120416641235,1,1
268,0.11566448956727982,0,1
269,0.10191905498504639,0,0
270,0.1216384619474411,1,1
271,0.11821261048316956,1,0
272,0.14117127656936646,1,1
273,0.1286812424659729,1,0
274,0.13810497522354126,1,1
275,0.13628807663917542,1,0
276,0.1173490434885025,0,0
277,0.11760708689689636,1,0
278,0.11292043328285217,0,1
279,0.11247709393501282,0,0
280,0.12814372777938843,1,1
281,0.10047506541013718,0,0
282,0.13491752743721008,1,1
283,0.12382376194000244,1,0
284,0.10733869671821594,0,1
285,0.18127481639385223,1,1
286,0.19845005869865417,1,1
287,0.11138176172971725,0,0
288,0.11325667798519135,0,0
289,0.1259745955467224,1,0
290,0.10701223462820053,0,1
291,0.12608864903450012,1,0
292,0.14779768884181976,1,1
293,0.15804420411586761,1,1
294,0.1296650618314743,1,1
295,0.1215786412358284,1,0
296,0.18239766359329224,1,1
297,0.13352198898792267,1,1
298,0.13047976791858673,1,1
299,0.17295429110527039,1,1
300,0.12616607546806335,1,1
301,0.12520183622837067,1,1
302,0.10887699574232101,0,0
