Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.99,1.0,0.0216,0.0423,0.6567,3
6,1.98,1.0,0.0432,0.0828,0.6567,6
9,2.97,0.8889,0.0576,0.1081,0.6567,8
12,3.96,0.8333,0.0719,0.1325,0.6567,10
15,4.95,0.8,0.0863,0.1558,0.6567,12
18,5.94,0.8333,0.1079,0.1911,0.6567,15
21,6.93,0.8095,0.1223,0.2125,0.6567,17
24,7.92,0.7917,0.1367,0.2331,0.6567,19
27,8.91,0.8148,0.1583,0.2651,0.6567,22
30,9.9,0.7333,0.1583,0.2604,0.6567,22
45,14.85,0.6667,0.2158,0.3261,0.6567,30
60,19.8,0.65,0.2806,0.392,0.6567,39
75,24.75,0.6,0.3237,0.4206,0.6567,45
90,29.7,0.6,0.3885,0.4716,0.6567,54
106,34.98,0.5849,0.446,0.5061,0.6567,62
121,39.93,0.6116,0.5324,0.5692,0.6567,74
136,44.88,0.5956,0.5827,0.5891,0.6567,81
151,49.83,0.5894,0.6403,0.6138,0.6567,89
181,59.74,0.558,0.7266,0.6312,0.6567,101
212,69.97,0.533,0.8129,0.6439,0.6567,113
242,79.87,0.4917,0.8561,0.6247,0.6567,119
272,89.77,0.4743,0.9281,0.6277,0.6567,129
303,100.0,0.4587,1.0,0.629,0.6567,139
