Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.21715119662479465,1,1
1,0.19597409576054806,1,1
2,0.27891743026743154,1,1
3,0.2872131848772472,1,1
4,0.2261398458102503,1,1
5,0.22406478101870222,1,1
6,0.21915185993664363,1,1
7,0.2261398458102503,1,1
8,0.2504525487840926,1,1
9,0.2175646285591498,1,1
10,0.22291876820120252,1,1
11,0.25526551799920627,1,1
12,0.25370269518568245,1,1
13,0.19692972809321913,1,1
14,0.2114735835602519,1,1
15,0.21236484010331852,1,1
16,0.23845687069695468,1,1
17,0.23673809731557194,1,1
18,0.22998708759135977,1,1
19,0.21881127572642156,1,1
20,0.096134185683064,0,0
21,0.08361907184686745,0,0
22,0.09497592690235082,0,0
23,0.09497408221933767,0,0
24,0.08250591596153439,0,0
25,0.07834461679736668,0,0
26,0.0858498001390372,0,0
27,0.13124850550267386,0,0
28,0.07963200410709823,0,0
29,0.08662003158328466,0,0
30,0.15131478369623916,0,0
31,0.07608999040681713,0,0
32,0.10831650219597252,0,0
33,0.07392521759985451,0,0
34,0.07933525358023871,0,0
35,0.08299503680777101,0,0
36,0.08236114350925541,0,0
37,0.08753442624813967,0,0
38,0.10443193839680662,0,0
39,0.09131713939242647,0,0
40,0.08522651528373881,0,0
41,0.0707775727023168,0,0
42,0.08930154856817843,0,0
43,0.07734529414724048,0,0
44,0.07422228817574297,0,0
45,0.0790341257608009,0,0
46,0.08814049010163688,0,0
47,0.08860566209202615,0,0
48,0.07845732369668232,0,0
49,0.09914701374526302,0,0
50,0.09855190365988994,0,0
51,0.10678039496939865,0,0
52,0.07895906325457919,0,0
53,0.08232035124920323,0,0
54,0.08667382195379456,0,0
55,0.08953255220567674,0,0
56,0.08687633067027858,0,0
57,0.09390661005326492,0,0
58,0.07316984030050938,0,0
59,0.08596176563343608,0,0
60,0.08926506869842046,0,0
61,0.0736149494377723,0,0
62,0.08214277078020682,0,0
63,0.13032036454100804,0,0
64,0.07785605453085476,0,0
65,0.07616306251889207,0,0
66,0.07387095445829836,0,0
67,0.07230955426840993,0,0
68,0.1176730393511703,0,0
69,0.0733142316988056,0,0
70,0.12061081832751772,0,0
71,0.08791184075704786,0,0
72,0.11440141594429976,0,0
73,0.08542129093523307,0,0
74,0.10023885071786809,0,0
75,0.15297967055958664,0,0
76,0.11630061870281388,0,0
77,0.12497486570852623,0,0
78,0.10483094525482745,0,0
79,0.16036637599835257,0,0
80,0.09042179526951719,0,0
81,0.08888037814031932,0,0
82,0.10100269688798631,0,0
83,0.09708767231784109,0,0
84,0.10305998794155813,0,0
85,0.10100732635924231,0,0
86,0.08629032640465677,0,0
87,0.19985391101000366,1,0
88,0.1826288019419834,0,0
89,0.10351729750751147,0,0
90,0.11815111229529468,0,0
91,0.08916860921441286,0,0
92,0.15853826311677693,0,0
93,0.08468801832122907,0,0
94,0.10450671391520122,0,0
95,0.1167242567020263,0,0
96,0.08214983388598995,0,0
97,0.08002984341979777,0,0
98,0.09264714833867782,0,0
99,0.1092519161957228,0,0
100,0.12906874089063558,0,0
101,0.19906755878908391,1,0
102,0.09854068156670354,0,0
103,0.08056775547493428,0,0
104,0.08426861688909867,0,0
105,0.1553068797194409,0,0
106,0.11385574510914628,0,0
107,0.08612597395082615,0,0
108,0.08011967487179408,0,0
109,0.10485978999163031,0,0
110,0.11176144121745743,0,0
111,0.11174402453559265,0,0
112,0.08791184075704786,0,0
113,0.11724618416097701,0,0
114,0.12411561992551376,0,0
115,0.1034697209180471,0,0
116,0.09366753997994225,0,0
117,0.08768991973234525,0,0
118,0.10686677586742227,0,0
119,0.08226808447487832,0,0
