Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
9,0.94,0.4444,0.009,0.0176,0.3614,4
19,1.98,0.4737,0.0202,0.0388,0.3614,9
28,2.91,0.3214,0.0202,0.0381,0.3614,9
38,3.95,0.2368,0.0202,0.0373,0.3614,9
48,4.99,0.2292,0.0247,0.0446,0.3614,11
57,5.93,0.2456,0.0315,0.0558,0.3614,14
67,6.97,0.2537,0.0382,0.0664,0.3614,17
76,7.91,0.2368,0.0404,0.0691,0.3614,18
86,8.95,0.2442,0.0472,0.0791,0.3614,21
96,9.99,0.25,0.0539,0.0887,0.3614,24
144,14.98,0.2569,0.0831,0.1256,0.3614,37
192,19.98,0.2969,0.1281,0.179,0.3614,57
240,24.97,0.3167,0.1708,0.2219,0.3614,76
288,29.97,0.3056,0.1978,0.2401,0.3614,88
336,34.96,0.3036,0.2292,0.2612,0.3614,102
384,39.96,0.3307,0.2854,0.3064,0.3614,127
432,44.95,0.3565,0.3461,0.3512,0.3614,154
480,49.95,0.3688,0.3978,0.3827,0.3614,177
576,59.94,0.3802,0.4921,0.429,0.3614,219
672,69.93,0.4018,0.6067,0.4834,0.3614,270
768,79.92,0.4219,0.7281,0.5342,0.3614,324
864,89.91,0.4468,0.8674,0.5898,0.3614,386
961,100.0,0.4631,1.0,0.633,0.3614,445
