Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.0886446014046669,1,1
1,0.09177423268556595,1,1
2,0.10576380789279938,1,1
3,0.11985669285058975,1,0
4,0.08830289542675018,1,0
5,0.1063760444521904,1,0
6,0.08614460378885269,1,1
7,0.12374091148376465,1,0
8,0.10204128921031952,1,1
9,0.12443020194768906,1,1
10,0.10595259815454483,1,0
11,0.10326268523931503,1,0
12,0.10099272429943085,1,1
13,0.1094721108675003,1,0
14,0.09456104040145874,1,1
15,0.08627444505691528,1,0
16,0.08872991055250168,1,0
17,0.09933984279632568,1,0
18,0.09036743640899658,1,1
19,0.10226159542798996,1,0
20,0.09257642179727554,1,1
21,0.10293161123991013,1,1
22,0.08708526194095612,1,1
23,0.08070237934589386,1,1
24,0.08166765421628952,1,1
25,0.10403425991535187,1,0
26,0.09053806960582733,1,1
27,0.1033877357840538,1,0
28,0.09797298908233643,1,0
29,0.08685384690761566,1,0
30,0.09421331435441971,1,0
31,0.12580254673957825,1,1
32,0.10563760995864868,1,1
33,0.09997647255659103,1,0
34,0.09804366528987885,1,1
35,0.17231608927249908,1,1
36,0.09702938795089722,1,0
37,0.0969204381108284,1,0
38,0.10762548446655273,1,0
39,0.12552033364772797,1,0
40,0.08659473806619644,1,0
41,0.08932862430810928,1,1
42,0.09683633595705032,1,0
43,0.10381065309047699,1,1
44,0.09116315096616745,1,1
45,0.10665536671876907,1,0
46,0.09818396717309952,1,1
47,0.08155243843793869,1,0
48,0.1093592420220375,1,1
49,0.11855649203062057,1,0
50,0.08404914289712906,1,1
51,0.09969153255224228,1,1
52,0.09004543721675873,1,1
53,0.08930820971727371,1,1
54,0.10889377444982529,1,1
55,0.08876252174377441,1,0
56,0.0860174298286438,1,0
57,0.10538236796855927,1,1
58,0.08955497294664383,1,0
59,0.09997334331274033,1,0
60,0.08907409757375717,1,1
61,0.10121653228998184,1,1
62,0.0884362980723381,1,0
63,0.13340704143047333,1,1
64,0.10319606214761734,1,0
65,0.11074181646108627,1,0
66,0.10256011039018631,1,1
67,0.0884941965341568,1,1
68,0.10787039250135422,1,1
69,0.10767640918493271,1,0
70,0.1560479700565338,1,1
71,0.1063297912478447,1,1
72,0.07742574065923691,1,1
73,0.09373190253973007,1,0
74,0.18037912249565125,1,0
75,0.08468405902385712,1,1
76,0.09492794424295425,1,1
77,0.07627207040786743,1,1
78,0.10372259467840195,1,1
79,0.09968429058790207,1,0
80,0.09297647327184677,1,0
81,0.12320327013731003,1,1
82,0.10403076559305191,1,1
83,0.08833957463502884,1,1
84,0.09305492788553238,1,1
85,0.09332587569952011,1,0
86,0.10961343348026276,1,1
87,0.11677395552396774,1,0
88,0.08160531520843506,1,0
89,0.11109261959791183,1,1
90,0.10477279126644135,1,1
91,0.07974781841039658,1,1
92,0.09449099004268646,1,1
93,0.08392421901226044,1,0
94,0.11698366701602936,1,1
95,0.07845524698495865,1,0
96,0.09324856847524643,1,1
97,0.08600959926843643,1,1
98,0.10793016105890274,1,1
99,0.10158509761095047,1,0
100,0.09395738691091537,1,1
101,0.08474022895097733,1,0
102,0.08893038332462311,1,0
103,0.09827401489019394,1,0
104,0.11911126226186752,1,1
105,0.11361900717020035,1,0
106,0.10232000052928925,1,0
107,0.08124680817127228,1,1
108,0.11949402093887329,1,0
109,0.07960547506809235,1,1
110,0.09203196316957474,1,1
111,0.08413950353860855,1,1
112,0.10768046230077744,1,1
113,0.097469761967659,1,0
114,0.10283105075359344,1,1
115,0.09438685327768326,1,0
116,0.11904153972864151,1,0
117,0.09855061769485474,1,0
118,0.09396423399448395,1,0
119,0.10417895019054413,1,0
120,0.08569840341806412,1,0
121,0.10150035470724106,1,1
122,0.11682594567537308,1,1
123,0.13570497930049896,1,0
124,0.11643031984567642,1,0
125,0.08614952862262726,1,1
126,0.12100013345479965,1,0
127,0.07722198963165283,1,1
128,0.09869033098220825,1,0
129,0.10255835950374603,1,0
130,0.10594089329242706,1,0
131,0.11064896732568741,1,1
132,0.11508061736822128,1,1
133,0.11030583083629608,1,1
134,0.1019509956240654,1,1
135,0.09106536954641342,1,1
136,0.11108750849962234,1,1
137,0.09067874401807785,1,0
138,0.08545029163360596,1,0
139,0.10380900651216507,1,0
140,0.10226786881685257,1,1
141,0.12515489757061005,1,1
142,0.11456743627786636,1,1
143,0.185550257563591,1,0
144,0.10412893444299698,1,1
145,0.16261960566043854,1,0
146,0.18398426473140717,1,0
147,0.09851204603910446,1,1
148,0.09651500731706619,1,1
149,0.14872722327709198,1,0
150,0.09325645864009857,1,0
151,0.0806054100394249,1,1
152,0.087921641767025,1,1
153,0.09250307083129883,1,1
154,0.10177258402109146,1,0
155,0.10660815238952637,1,0
156,0.09101711958646774,1,0
157,0.08074910193681717,1,1
158,0.09131408482789993,1,0
159,0.09937118738889694,1,1
160,0.07839221507310867,1,1
