Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.17656184021665267,1,0
1,0.14021461567311697,0,0
2,0.1710403352805747,1,0
3,0.13774397039483743,0,0
4,0.1289049234365807,0,0
5,0.12311316028522155,0,0
6,0.11713984246661051,0,0
7,0.18133639896220802,1,0
8,0.1482226973830791,0,1
9,0.12256231945783319,0,0
10,0.13438784801320408,0,0
11,0.13641567732524612,0,0
12,0.14164512680047278,0,0
13,0.11380273851185432,0,0
14,0.152453435484397,0,0
15,0.12330945436492205,0,0
16,0.12587421926828452,0,0
17,0.14244714250830795,0,0
18,0.1499728984035771,0,1
19,0.14614221050116105,0,0
20,0.12959777623375773,0,0
21,0.15681855502468567,0,0
22,0.13231913779379842,0,0
23,0.12182995665192535,0,0
24,0.15248598508153638,0,0
25,0.15892014549799338,0,0
26,0.1131201185100727,0,0
27,0.15730851581450717,0,0
28,0.1470362577059383,0,0
29,0.16372930299001057,0,0
30,0.14657662822546752,0,0
31,0.1300947425081384,0,1
32,0.1523437904246236,0,0
33,0.131439953804813,0,0
34,0.12199879432767066,0,0
35,0.14876072052837352,0,0
36,0.13369130453229655,0,0
37,0.16685077883558708,0,0
38,0.1520972099877987,0,0
39,0.16009804690121415,0,0
40,0.13411901412497534,0,0
41,0.1626468638161111,0,0
42,0.14242998125943335,0,0
43,0.1510476647826925,0,0
44,0.15398399248033234,0,0
45,0.15469885228258828,0,0
46,0.14474560788345145,0,0
47,0.15414079373663547,0,1
48,0.12979773191722313,0,0
49,0.16873916742472672,1,1
50,0.12777732824897609,0,0
51,0.1299798108373912,0,0
52,0.20695725626675904,1,0
53,0.13639721298417,0,0
54,0.16505775693164026,0,0
55,0.14511354443647656,0,0
56,0.13962249129771404,0,0
57,0.14958451164287467,0,0
58,0.15562875055219583,0,0
59,0.11119061924972846,0,0
60,0.16418451973898346,0,0
61,0.20873093948776728,1,0
62,0.15328427626854274,0,0
63,0.15093098883255285,0,0
64,0.1620148728998288,0,0
65,0.14124645547465353,0,0
66,0.1944517369214802,1,0
67,0.1348639926821575,0,0
68,0.15889694999949336,0,0
69,0.16402430188389244,0,0
70,0.13319465306819978,0,0
71,0.1210078485332813,0,0
72,0.17494121884128688,1,1
73,0.12918171725627886,0,0
74,0.14807022307832465,0,0
75,0.11517123497046938,0,0
76,0.14195344580521618,0,0
77,0.12854633253604056,0,0
78,0.17099354522715754,1,0
79,0.12143244222205715,0,1
80,0.15564190013107482,0,0
81,0.14150003281406637,0,0
82,0.12153690430537861,0,0
83,0.12982911570635342,0,0
84,0.13244553653066954,0,0
85,0.1543003601954025,0,0
86,0.13139822491898717,0,0
87,0.11677107843267687,0,0
88,0.13676488531865294,0,0
89,0.18500002920923325,1,1
90,0.11519894534675301,0,0
91,0.13545804435206335,0,0
92,0.1563277155730558,0,0
93,0.12488180371525084,0,0
94,0.14198077492225103,0,0
95,0.17394369405508397,1,0
96,0.1480928975152458,0,0
97,0.12948136650109376,0,0
98,0.1317917398419582,0,0
99,0.14282586489880097,0,0
100,0.17471497332400285,1,1
