Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.18160027652447125,0,0
1,0.1690805562959192,0,0
2,0.20161514066470754,0,0
3,0.18160027652447125,0,0
4,0.16565557298178715,0,0
5,0.1690805562959192,0,0
6,0.19565294479086937,0,0
7,0.23161224610804396,1,0
8,0.20161514066470754,0,0
9,0.20754627825618469,0,0
10,0.16565557298178715,0,0
11,0.22031111253372593,1,0
12,0.20161514066470754,0,0
13,0.21414420023202688,1,0
14,0.21911728654743048,1,0
15,0.22553640452866408,1,0
16,0.19031374072464372,0,0
17,0.1690805562959192,0,0
18,0.20566624437633052,0,0
19,0.19723702338705207,0,0
20,0.22031111253372593,1,0
21,0.20288562395438103,0,0
22,0.1690805562959192,0,0
23,0.19778956138465298,0,0
24,0.2001352640315727,0,1
25,0.16748355676140933,0,1
26,0.19951662226796146,0,1
27,0.18262484271016233,0,0
28,0.1690805562959192,0,0
29,0.20836578553960294,0,0
30,0.21753700090576564,1,1
31,0.19565294479086937,0,0
32,0.18521838035878482,0,0
33,0.19946090700599478,0,0
34,0.2050401239788396,0,0
35,0.19160157471350056,0,0
36,0.16502945258429622,0,0
37,0.19031374072464372,0,0
38,0.20161514066470754,0,0
39,0.28082140117055693,1,1
40,0.22221621353480037,1,1
41,0.17291147111895916,0,0
42,0.2141120175916336,1,1
43,0.19373872403877576,0,0
44,0.16565557298178715,0,0
45,0.16565557298178715,0,0
46,0.22553640452866408,1,0
47,0.16565557298178715,0,0
48,0.17480247289739245,0,0
49,0.16160446927016417,0,0
50,0.16565557298178715,0,0
51,0.22221621353480037,1,1
52,0.15482268638188657,0,1
53,0.238605401142008,1,0
54,0.16160446927016417,0,0
55,0.1690805562959192,0,0
56,0.1803875581447142,0,0
57,0.22031111253372593,1,0
58,0.1861097411119332,0,0
59,0.19373872403877576,0,0
60,0.20566624437633052,0,0
61,0.20161514066470754,0,0
62,0.1818829319387809,0,1
63,0.17606936730177072,0,0
64,0.16565557298178715,0,0
65,0.19565294479086937,0,0
66,0.19723702338705207,0,0
67,0.16565557298178715,0,0
68,0.19222769511099155,0,0
69,0.16565557298178715,0,0
70,0.19565294479086937,0,0
71,0.17696257483058211,0,0
72,0.22712533040155586,1,0
73,0.2050401239788396,0,0
74,0.21786040682727928,1,0
75,0.19793474383882925,0,0
76,0.21601785056853062,1,1
77,0.25532443201993016,1,0
78,0.19946090700599478,0,0
79,0.19946090700599478,0,0
80,0.14985013279797457,0,1
81,0.19789049238203238,0,0
82,0.2050401239788396,0,0
83,0.19373872403877576,0,0
84,0.16522283947022354,0,0
85,0.22366419117745906,1,0
86,0.2376990435171369,1,0
87,0.20693672766600404,0,0
88,0.2001352640315727,0,1
89,0.1741923732387027,0,1
90,0.15972729634919508,0,1
91,0.14567578646628132,0,1
92,0.20566624437633052,0,0
93,0.18262484271016233,0,0
94,0.16502945258429622,0,0
95,0.1943645780705209,0,0
96,0.16927394318184655,0,0
97,0.25424901267560673,1,1
98,0.16565557298178715,0,0
99,0.19789049238203238,0,0
100,0.19373872403877576,0,0
