Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
23,0.96,0.3913,0.045,0.0807,0.7675,9
47,1.97,0.3191,0.075,0.1215,0.7675,15
71,2.97,0.2958,0.105,0.155,0.7675,21
95,3.97,0.2842,0.135,0.1831,0.7675,27
119,4.98,0.3025,0.18,0.2257,0.7675,36
143,5.98,0.2797,0.2,0.2332,0.7675,40
167,6.98,0.2695,0.225,0.2452,0.7675,45
191,7.99,0.267,0.255,0.2609,0.7675,51
215,8.99,0.2698,0.29,0.2795,0.7675,58
239,10.0,0.2636,0.315,0.287,0.7675,63
358,14.97,0.2291,0.41,0.2939,0.7675,82
478,19.99,0.2029,0.485,0.2861,0.7675,97
597,24.97,0.196,0.585,0.2936,0.7675,117
717,29.99,0.1785,0.64,0.2792,0.7675,128
836,34.96,0.1639,0.685,0.2645,0.7675,137
956,39.98,0.1621,0.775,0.2682,0.7675,155
1075,44.96,0.1507,0.81,0.2541,0.7675,162
1195,49.98,0.1431,0.855,0.2452,0.7675,171
1434,59.97,0.1283,0.92,0.2252,0.7675,184
1673,69.97,0.1142,0.955,0.204,0.7675,191
1912,79.97,0.1025,0.98,0.1856,0.7675,196
2151,89.96,0.0921,0.99,0.1684,0.7675,198
2391,100.0,0.0836,1.0,0.1544,0.7675,200
