Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
17,0.98,0.0,0.0,0.0,0.1436,0
34,1.97,0.0,0.0,0.0,0.1436,0
51,2.95,0.0,0.0,0.0,0.1436,0
69,3.99,0.0,0.0,0.0,0.1436,0
86,4.98,0.0,0.0,0.0,0.1436,0
103,5.96,0.0,0.0,0.0,0.1436,0
120,6.94,0.0,0.0,0.0,0.1436,0
138,7.99,0.0,0.0,0.0,0.1436,0
155,8.97,0.0,0.0,0.0,0.1436,0
172,9.95,0.0,0.0,0.0,0.1436,0
259,14.99,0.0,0.0,0.0,0.1436,0
345,19.97,0.0,0.0,0.0,0.1436,0
432,25.0,0.0,0.0,0.0,0.1436,0
518,29.98,0.0,0.0,0.0,0.1436,0
604,34.95,0.0,0.0,0.0,0.1436,0
691,39.99,0.0,0.0,0.0,0.1436,0
777,44.97,0.0,0.0,0.0,0.1436,0
864,50.0,0.0023,0.0149,0.004,0.1436,2
1036,59.95,0.0193,0.1493,0.0342,0.1436,20
1209,69.97,0.0265,0.2388,0.0477,0.1436,32
1382,79.98,0.0289,0.2985,0.0528,0.1436,40
1555,89.99,0.0502,0.5821,0.0924,0.1436,78
1728,100.0,0.0775,1.0,0.1439,0.1436,134
