Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
20,0.97,0.55,0.0287,0.0546,0.8346,11
41,2.0,0.6098,0.0653,0.1179,0.8346,25
61,2.97,0.623,0.0992,0.1712,0.8346,38
82,4.0,0.6463,0.1384,0.228,0.8346,53
102,4.97,0.6176,0.1645,0.2598,0.8346,63
123,5.99,0.6016,0.1932,0.2925,0.8346,74
143,6.97,0.5944,0.2219,0.3232,0.8346,85
164,7.99,0.561,0.2402,0.3364,0.8346,92
184,8.97,0.5543,0.2663,0.3598,0.8346,102
205,9.99,0.5512,0.295,0.3844,0.8346,113
307,14.96,0.5081,0.4073,0.4522,0.8346,156
410,19.98,0.4634,0.4961,0.4792,0.8346,190
513,25.0,0.4405,0.5901,0.5045,0.8346,226
615,29.97,0.4179,0.671,0.515,0.8346,257
718,34.99,0.3983,0.7467,0.5195,0.8346,286
820,39.96,0.3829,0.8198,0.522,0.8346,314
923,44.98,0.364,0.8773,0.5145,0.8346,336
1026,50.0,0.347,0.9295,0.5053,0.8346,356
1231,59.99,0.3071,0.9869,0.4684,0.8346,378
1436,69.98,0.2667,1.0,0.4211,0.8346,383
1641,79.97,0.2334,1.0,0.3785,0.8346,383
1846,89.96,0.2075,1.0,0.3437,0.8346,383
2052,100.0,0.1866,1.0,0.3146,0.8346,383
