Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.92,0.25,0.0078,0.0152,0.586,1
8,1.84,0.25,0.0156,0.0294,0.586,2
13,2.99,0.3077,0.0312,0.0567,0.586,4
17,3.91,0.3529,0.0469,0.0828,0.586,6
21,4.83,0.3333,0.0547,0.094,0.586,7
26,5.98,0.3462,0.0703,0.1169,0.586,9
30,6.9,0.3,0.0703,0.1139,0.586,9
34,7.82,0.3235,0.0859,0.1358,0.586,11
39,8.97,0.359,0.1094,0.1677,0.586,14
43,9.89,0.3488,0.1172,0.1754,0.586,15
65,14.94,0.3538,0.1797,0.2383,0.586,23
87,20.0,0.3908,0.2656,0.3163,0.586,34
108,24.83,0.3796,0.3203,0.3475,0.586,41
130,29.89,0.3769,0.3828,0.3798,0.586,49
152,34.94,0.3618,0.4297,0.3929,0.586,55
174,40.0,0.3621,0.4922,0.4172,0.586,63
195,44.83,0.3641,0.5547,0.4396,0.586,71
217,49.89,0.3548,0.6016,0.4464,0.586,77
261,60.0,0.3333,0.6797,0.4473,0.586,87
304,69.89,0.3158,0.75,0.4444,0.586,96
348,80.0,0.3103,0.8438,0.4538,0.586,108
391,89.89,0.312,0.9531,0.4701,0.586,122
435,100.0,0.2943,1.0,0.4547,0.586,128
