Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.13606723551492464,1,0
1,0.03268024648134932,0,0
2,0.014293365073762686,0,0
3,0.017528523731101926,0,0
4,0.017528523731101926,0,0
5,0.11384606935164503,1,0
6,0.017528523731101926,0,0
7,0.05913444274894914,0,0
8,0.014293365073762686,0,0
9,0.07297318410435069,0,0
10,0.10583156115821739,1,0
11,0.017528523731101926,0,0
12,0.10583156115821739,1,0
13,0.09762311477199341,1,0
14,0.04077273044435756,0,0
15,0.04077273044435756,0,0
16,0.017528523731101926,0,0
17,0.20177957546231373,1,0
18,0.03268024648134932,0,0
19,0.02970752743634753,0,0
20,0.05398121484417864,0,0
21,0.20867667546870383,1,0
22,0.017528523731101926,0,0
23,0.0,0,0
24,0.0,0,0
25,0.0,0,0
26,0.0,0,0
27,0.0,0,0
28,0.0,0,0
29,0.0,0,0
30,0.05398121484417864,0,0
31,0.04077273044435756,0,0
32,0.06152286350488688,0,0
33,0.04077273044435756,0,0
34,0.0,0,0
35,0.08132148416224337,0,0
36,0.06580596558481261,0,0
37,0.0,0,0
38,0.20177957546231373,1,0
39,0.20177957546231373,1,0
40,0.0,0,0
41,0.04077273044435756,0,0
42,0.0,0,0
43,0.27278647012318646,1,0
44,0.06756532689383617,0,0
45,0.07161239338443166,0,0
46,0.05985124715724457,0,0
47,0.34068869196247115,1,0
48,0.2540110676963568,1,0
49,0.019689524706430796,0,0
50,0.3367128152800764,1,0
51,0.05985124715724457,0,0
52,0.019689524706430796,0,0
53,0.0052584726907307635,0,0
54,0.0052584726907307635,0,0
55,0.11212128266834094,1,0
56,0.20274319843838248,1,0
57,0.0052584726907307635,0,0
58,0.0383222225064478,0,0
59,0.07899361567848646,0,0
60,0.0383222225064478,0,0
61,0.18013705110015202,1,0
62,0.27214268954202936,1,0
63,0.20862959325660715,1,0
64,0.20862959325660715,1,0
65,0.12218758236568018,1,0
66,0.25779166913135854,1,0
67,0.25779166913135854,1,0
68,0.2364749877102081,1,0
69,0.2326486199077519,1,0
70,0.375107930639841,1,0
71,0.2063643974744308,1,0
72,0.0052584726907307635,0,0
73,0.0052584726907307635,0,0
74,0.0052584726907307635,0,0
75,0.0052584726907307635,0,0
76,0.0383222225064478,0,0
77,0.0052584726907307635,0,0
78,0.0762142603892235,0,0
79,0.0354295522551401,0,0
80,0.0354295522551401,0,0
81,0.0052584726907307635,0,0
82,0.019689524706430796,0,0
83,0.0052584726907307635,0,0
84,0.2641295309084512,1,0
85,0.0052584726907307635,0,0
86,0.1351545993889913,1,0
87,0.020750022466332525,0,0
88,0.006022316410143007,0,0
89,0.07988041991831359,0,0
90,0.08871915287210394,0,0
91,0.006022316410143007,0,0
92,0.13877869392530154,1,0
93,0.006022316410143007,0,0
94,0.04708007443677536,0,0
95,0.006022316410143007,0,0
96,0.08059651661947798,0,0
97,0.11375066427676227,1,0
98,0.07988041991831359,0,0
99,0.006022316410143007,0,0
100,0.11375066427676227,1,0
101,0.036441921146063115,0,0
102,0.16934620624542424,1,0
103,0.3837668545947558,1,0
104,0.18544161492727923,1,0
105,0.4839406695413294,1,0
106,0.8941102992255153,1,0
107,0.5500720130972282,1,0
108,0.16654017428736176,1,0
109,0.30939779505771814,1,0
110,0.5352230781154391,1,0
111,0.4832541279975701,1,0
112,0.4242039995696464,1,0
113,0.09732028946336846,1,0
