Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,0.5,0.0256,0.0488,0.5949,1
4,1.87,0.75,0.0769,0.1395,0.5949,3
6,2.8,0.6667,0.1026,0.1778,0.5949,4
8,3.74,0.5,0.1026,0.1702,0.5949,4
10,4.67,0.4,0.1026,0.1633,0.5949,4
12,5.61,0.3333,0.1026,0.1569,0.5949,4
14,6.54,0.2857,0.1026,0.1509,0.5949,4
17,7.94,0.2353,0.1026,0.1429,0.5949,4
19,8.88,0.2105,0.1026,0.1379,0.5949,4
21,9.81,0.1905,0.1026,0.1333,0.5949,4
32,14.95,0.25,0.2051,0.2254,0.5949,8
42,19.63,0.2381,0.2564,0.2469,0.5949,10
53,24.77,0.2075,0.2821,0.2391,0.5949,11
64,29.91,0.2344,0.3846,0.2913,0.5949,15
74,34.58,0.2162,0.4103,0.2832,0.5949,16
85,39.72,0.2471,0.5385,0.3387,0.5949,21
96,44.86,0.2604,0.641,0.3704,0.5949,25
107,50.0,0.2617,0.7179,0.3836,0.5949,28
128,59.81,0.2344,0.7692,0.3593,0.5949,30
149,69.63,0.2081,0.7949,0.3298,0.5949,31
171,79.91,0.193,0.8462,0.3143,0.5949,33
192,89.72,0.1719,0.8462,0.2857,0.5949,33
214,100.0,0.1822,1.0,0.3083,0.5949,39
