Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.65,0.0,0.0,0.0,0.7988,0
3,1.94,0.3333,0.0312,0.0571,0.7988,1
4,2.58,0.5,0.0625,0.1111,0.7988,2
6,3.87,0.5,0.0938,0.1579,0.7988,3
7,4.52,0.5714,0.125,0.2051,0.7988,4
9,5.81,0.4444,0.125,0.1951,0.7988,4
10,6.45,0.4,0.125,0.1905,0.7988,4
12,7.74,0.3333,0.125,0.1818,0.7988,4
13,8.39,0.3846,0.1562,0.2222,0.7988,5
15,9.68,0.4,0.1875,0.2553,0.7988,6
23,14.84,0.5217,0.375,0.4364,0.7988,12
31,20.0,0.5484,0.5312,0.5397,0.7988,17
38,24.52,0.5263,0.625,0.5714,0.7988,20
46,29.68,0.4783,0.6875,0.5641,0.7988,22
54,34.84,0.4259,0.7188,0.5349,0.7988,23
62,40.0,0.4032,0.7812,0.5319,0.7988,25
69,44.52,0.4058,0.875,0.5545,0.7988,28
77,49.68,0.3766,0.9062,0.5321,0.7988,29
93,60.0,0.3118,0.9062,0.464,0.7988,29
108,69.68,0.2685,0.9062,0.4143,0.7988,29
124,80.0,0.2419,0.9375,0.3846,0.7988,30
139,89.68,0.2302,1.0,0.3743,0.7988,32
155,100.0,0.2065,1.0,0.3422,0.7988,32
