Original_Index,Anomaly_Score,Detection_Result,True_Label
0,0.4255426706605592,1,0
1,0.4354113106223595,1,0
2,0.1539442483919416,0,1
3,1.0,1,1
4,0.4544172444872227,1,0
5,0.04557952099109253,0,0
6,0.0875907450412582,0,0
7,0.10940383040094868,0,0
8,0.27992606496560174,0,0
9,0.516427365778679,1,1
10,0.49725427275229006,1,1
11,0.4127672388553077,1,0
12,0.14610362346512246,0,0
13,0.7085922458289997,1,1
14,0.3518633124768463,1,0
15,0.3624651196375193,1,0
16,0.6981593810541833,1,1
17,0.14106729174358143,0,0
18,0.345902476865681,1,1
19,0.47122671754146345,1,0
20,0.44693840336685975,1,0
21,0.353045774510273,1,0
22,0.29900312173451565,0,0
23,0.3215294478662454,0,0
24,0.3446270856033761,1,0
25,0.13076570247699024,0,0
26,0.3343399702624566,1,1
27,0.36240850867703667,1,1
28,0.141831379003776,0,0
29,0.2309798756141221,0,0
30,0.5154629734243287,1,0
31,0.8177086516019603,1,1
32,0.07676603726166052,0,0
33,0.42156454644306585,1,1
34,0.24820641762957196,0,0
35,0.35053656769567937,1,0
36,0.6089048526030155,1,1
37,0.3318000655538878,0,0
38,0.3625879932749281,1,1
39,0.4691387437195647,1,0
40,0.2264658167466698,0,0
41,0.8676356746932483,1,1
42,0.17436440134854464,0,0
43,0.360449021551897,1,0
44,0.4703292499269235,1,0
45,0.22551764716206782,0,0
46,0.3357108001617084,1,1
47,0.13438692959014437,0,0
48,0.4956674432012713,1,0
49,0.7189029155970504,1,1
50,0.48041073987909416,1,1
51,0.2038588424489525,0,1
52,0.14765270537975053,0,0
53,0.1963412138576583,0,1
54,0.6035285668539103,1,1
55,0.43508136711356793,1,1
56,0.16738429184296905,0,0
57,0.2263009620949414,0,0
58,0.26507337886359966,0,1
59,0.14364103094593825,0,0
60,0.16801624841114027,0,0
61,0.31715124244950593,0,0
62,0.4983753711534297,1,1
63,0.5222360832561115,1,0
64,0.5041954094037371,1,1
65,0.3200343076416216,0,0
66,0.5497310317293781,1,0
67,0.24614766437468433,0,1
68,0.3177804199864049,0,0
69,0.38815268222192406,1,1
70,0.4175182241211615,1,1
71,0.39071458595409037,1,1
72,0.2475144155356818,0,0
73,0.5029775074841865,1,1
74,0.438137242314857,1,0
75,0.45939647528791255,1,0
76,0.22908401038310242,0,0
77,0.3228266976054667,0,0
78,0.254471787464791,0,0
79,0.5419171610356814,1,1
80,0.5388923940854923,1,1
81,0.23137047673927688,0,0
82,0.36414181424454894,1,0
83,0.30895390245220755,0,0
84,0.3988108975790872,1,1
85,0.3858113078127127,1,0
86,0.42373696324331306,1,1
87,0.2918273664072679,0,1
88,0.4673856186639939,1,1
89,0.24377200110829284,0,0
90,0.5993204292342703,1,0
91,0.5887943379876355,1,1
92,0.26171056680874855,0,0
93,0.03465200277075982,0,0
94,0.30221988810069755,0,0
95,0.1758908771127534,0,0
96,0.16356297054541932,0,0
97,0.434239807319525,1,0
98,0.26191087171516714,0,0
99,0.6773659767336618,1,1
100,0.1887287362517821,0,0
101,0.09209971121891154,0,0
102,0.17575925060388198,0,0
103,0.44877337932881906,1,0
104,0.6467932670382895,1,0
105,0.2774199215657222,0,0
106,0.2324923471444755,0,1
107,0.18167996291199662,0,0
108,0.48528368449424186,1,0
109,0.4994097864535642,1,1
110,0.21280745833515674,0,0
111,0.38409500812852754,1,0
112,0.08010278575482191,0,0
113,0.392337024910193,1,1
114,0.287590970783289,0,0
115,0.05451003476401143,0,0
116,0.26502176444321124,0,0
117,0.4375878082030247,1,0
118,0.5066735285138881,1,0
119,0.22753693506917275,0,0
120,0.3718666028048407,1,1
121,0.5958324388006276,1,0
122,0.41482229959467304,1,0
123,0.4030904087917781,1,1
124,0.2462074576597259,0,0
125,0.23473702027286,0,0
126,0.23947746999912753,0,0
127,0.517901201870405,1,1
128,0.4173425784841911,1,0
129,0.16613081171305297,0,0
130,0.1782066460664421,0,0
131,0.3330724464747656,0,0
132,0.6173320172342387,1,0
133,0.1584172210249719,0,0
134,0.22712012605257142,0,0
135,0.991897762403657,1,1
136,0.15765006472399565,0,0
137,0.10528505126564901,0,0
138,0.3583764426582304,1,0
139,0.3520595979649737,1,0
140,0.29241613329841293,0,0
141,0.3245108182531412,0,0
142,0.41963185573258516,1,1
143,0.4199746623710679,1,1
144,0.5821378246589769,1,0
145,0.14046252548486302,0,0
146,0.2826150158436625,0,0
147,0.3887470857543812,1,0
148,0.6778582737719058,1,1
149,0.349040050278523,1,0
150,0.28411266027360804,0,0
151,0.6758557896181,1,1
152,0.36845868384129354,1,0
153,0.21023298535633664,0,1
154,0.1482807644133478,0,0
155,0.3681229867882929,1,1
156,0.3613215215276084,1,1
157,0.42674398386625395,1,0
158,0.0,0,0
159,0.24618101152581595,0,1
160,0.32271757998772393,0,0
161,0.18001409792100845,0,0
162,0.34031813111712195,1,0
163,0.3755672436867513,1,0
164,0.25494476722292636,0,1
165,0.4603860689562911,1,0
166,0.28933522921835786,0,1
167,0.05356604016609904,0,0
168,0.3878226546777366,1,0
169,0.23446505680770333,0,0
170,0.2614013929901047,0,0
171,0.5778516954537516,1,1
172,0.5095628119563699,1,0
173,0.4444040310226428,1,1
174,0.16548835883881569,0,1
175,0.030852014613464658,0,0
176,0.17536198795830135,0,0
177,0.49741944035932495,1,1
178,0.3791625582923257,1,0
179,0.15078802581977677,0,1
180,0.4462036507906615,1,0
181,0.4008267248887474,1,1
182,0.30895390245220755,0,0
183,0.45827878633376856,1,0
184,0.46826136464528056,1,0
185,0.2570352102306184,0,0
186,0.46894003743355916,1,0
187,0.48418087514046804,1,1
188,0.1969565555965549,0,0
189,0.7620736051240403,1,0
190,0.3964046087206137,1,1
191,0.4190251517791693,1,0
192,0.2951857603465845,0,0
193,0.216156754622704,0,0
194,0.2962771308449303,0,0
195,0.26616447469948423,0,0
196,0.5884612452162907,1,1
197,0.3377573721607047,1,1
198,0.17684759769760675,0,0
199,0.3319046526981243,0,0
200,0.2507752036167326,0,1
201,0.4083476350801745,1,1
202,0.4413604384081179,1,0
203,0.391721454872177,1,0
204,0.4101932857640885,1,1
205,0.15078802581977677,0,0
206,0.3798120946970108,1,0
207,0.1884498260592822,0,0
208,0.4307567386418117,1,0
209,0.49585673000594493,1,0
210,0.4730347168121384,1,1
211,0.49001771870812094,1,1
212,0.6092454382481063,1,0
213,0.43890912138423555,1,1
214,0.47565038954883043,1,1
215,0.1869226093448507,0,0
216,0.058977484596265374,0,0
217,0.41788712821822555,1,1
218,0.24795346032922388,0,0
219,0.1214438815646873,0,0
220,0.46990211446228203,1,0
221,0.3487573802995279,1,0
222,0.5099230894393624,1,1
223,0.4228902963617667,1,1
224,0.25767762726906335,0,0
225,0.4238042134283794,1,1
226,0.41275100193903824,1,0
227,0.38705788203626024,1,1
228,0.5638275834141743,1,0
229,0.9435179960347625,1,0
230,0.07582221920932479,0,0
231,0.5160249469687033,1,0
232,0.33614005241124484,1,0
233,0.3343399702624566,1,1
234,0.30221988810069755,0,0
235,0.5029775074841865,1,1
236,0.2739146270354341,0,0
237,0.5693046520965901,1,0
238,0.4296927411326114,1,1
239,0.27920959754119984,0,0
240,0.34438137590839446,1,0
241,0.24699450067484433,0,1
242,0.3693391679109973,1,0
243,0.17692738345123846,0,1
