Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
5,0.86,1.0,0.012,0.0238,0.5974,5
11,1.89,1.0,0.0264,0.0515,0.5974,11
17,2.92,1.0,0.0409,0.0785,0.5974,17
23,3.95,1.0,0.0553,0.1048,0.5974,23
29,4.97,1.0,0.0697,0.1303,0.5974,29
34,5.83,1.0,0.0817,0.1511,0.5974,34
40,6.86,1.0,0.0962,0.1754,0.5974,40
46,7.89,1.0,0.1106,0.1991,0.5974,46
52,8.92,0.9808,0.1226,0.2179,0.5974,51
58,9.95,0.9828,0.137,0.2405,0.5974,57
87,14.92,0.9195,0.1923,0.3181,0.5974,80
116,19.9,0.8621,0.2404,0.3759,0.5974,100
145,24.87,0.8483,0.2957,0.4385,0.5974,123
174,29.85,0.8448,0.3534,0.4983,0.5974,147
204,34.99,0.8235,0.4038,0.5419,0.5974,168
233,39.97,0.8026,0.4495,0.5763,0.5974,187
262,44.94,0.7863,0.4952,0.6077,0.5974,206
291,49.91,0.7698,0.5385,0.6337,0.5974,224
349,59.86,0.7393,0.6202,0.6745,0.5974,258
408,69.98,0.7353,0.7212,0.7282,0.5974,300
466,79.93,0.721,0.8077,0.7619,0.5974,336
524,89.88,0.7214,0.9087,0.8043,0.5974,378
583,100.0,0.7136,1.0,0.8328,0.5974,416
