Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
31,0.97,0.5161,0.0105,0.0205,0.5781,16
63,1.97,0.619,0.0255,0.0491,0.5781,39
95,2.97,0.6105,0.038,0.0715,0.5781,58
127,3.97,0.6299,0.0524,0.0967,0.5781,80
159,4.97,0.6352,0.0661,0.1198,0.5781,101
191,5.98,0.6335,0.0792,0.1409,0.5781,121
223,6.98,0.6278,0.0917,0.16,0.5781,140
255,7.98,0.6314,0.1054,0.1807,0.5781,161
287,8.98,0.6307,0.1185,0.1996,0.5781,181
319,9.98,0.6082,0.127,0.2102,0.5781,194
479,14.99,0.5971,0.1873,0.2851,0.5781,286
639,19.99,0.5931,0.2482,0.35,0.5781,379
799,25.0,0.5732,0.2999,0.3938,0.5781,458
958,29.97,0.5605,0.3517,0.4322,0.5781,537
1118,34.98,0.5492,0.4021,0.4643,0.5781,614
1278,39.99,0.5391,0.4512,0.4913,0.5781,689
1438,44.99,0.5313,0.5003,0.5153,0.5781,764
1598,50.0,0.5307,0.5553,0.5427,0.5781,848
1917,59.98,0.5216,0.6549,0.5807,0.5781,1000
2237,69.99,0.515,0.7544,0.6121,0.5781,1152
2556,79.97,0.5031,0.8422,0.6299,0.5781,1286
2876,89.99,0.4917,0.926,0.6423,0.5781,1414
3196,100.0,0.4778,1.0,0.6466,0.5781,1527
