Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
129,1.0,0.0,0.0,0.0,0.4157,0
259,2.0,0.0,0.0,0.0,0.4157,0
388,2.99,0.0,0.0,0.0,0.4157,0
518,4.0,0.0,0.0,0.0,0.4157,0
648,5.0,0.0,0.0,0.0,0.4157,0
777,6.0,0.0,0.0,0.0,0.4157,0
907,7.0,0.0,0.0,0.0,0.4157,0
1036,7.99,0.0,0.0,0.0,0.4157,0
1166,9.0,0.0,0.0,0.0,0.4157,0
1296,10.0,0.0,0.0,0.0,0.4157,0
1944,15.0,0.0046,0.0273,0.0079,0.4157,9
2592,20.0,0.0089,0.0697,0.0157,0.4157,23
3240,25.0,0.0133,0.1303,0.0241,0.4157,43
3888,30.0,0.0134,0.1576,0.0247,0.4157,52
4536,35.0,0.0168,0.2303,0.0312,0.4157,76
5184,40.0,0.0193,0.303,0.0363,0.4157,100
5832,45.0,0.0183,0.3242,0.0347,0.4157,107
6480,50.0,0.021,0.4121,0.0399,0.4157,136
7776,60.0,0.0221,0.5212,0.0424,0.4157,172
9072,70.0,0.0225,0.6182,0.0434,0.4157,204
10368,80.0,0.0238,0.7485,0.0462,0.4157,247
11664,90.0,0.0249,0.8788,0.0484,0.4157,290
12960,100.0,0.0255,1.0,0.0497,0.4157,330
