Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
100,1.0,0.09,0.0042,0.0081,0.4714,9
200,2.0,0.12,0.0113,0.0207,0.4714,24
300,3.0,0.1033,0.0146,0.0256,0.4714,31
400,4.0,0.0775,0.0146,0.0246,0.4714,31
500,5.0,0.062,0.0146,0.0236,0.4714,31
600,6.0,0.0517,0.0146,0.0228,0.4714,31
700,7.0,0.0443,0.0146,0.022,0.4714,31
800,8.0,0.0387,0.0146,0.0212,0.4714,31
900,9.0,0.0344,0.0146,0.0205,0.4714,31
1000,10.0,0.031,0.0146,0.0198,0.4714,31
1500,15.0,0.034,0.024,0.0281,0.4714,51
2000,20.0,0.0255,0.024,0.0247,0.4714,51
2500,25.0,0.0204,0.024,0.0221,0.4714,51
3000,30.0,0.03,0.0424,0.0351,0.4714,90
3500,35.0,0.0257,0.0424,0.032,0.4714,90
4000,40.0,0.054,0.1017,0.0705,0.4714,216
4500,45.0,0.1227,0.2599,0.1667,0.4714,552
5000,50.0,0.1914,0.4506,0.2687,0.4714,957
6000,60.0,0.2618,0.7396,0.3868,0.4714,1571
7000,70.0,0.2599,0.8564,0.3987,0.4714,1819
8000,80.0,0.2655,1.0,0.4196,0.4714,2124
9000,90.0,0.236,1.0,0.3819,0.4714,2124
10000,100.0,0.2124,1.0,0.3504,0.4714,2124
