Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.87,0.0,0.0,0.0,0.4195,0
13,1.88,0.1538,0.0052,0.0101,0.4195,2
20,2.9,0.2,0.0104,0.0199,0.4195,4
27,3.91,0.1481,0.0104,0.0195,0.4195,4
34,4.93,0.1765,0.0157,0.0288,0.4195,6
41,5.94,0.2439,0.0261,0.0472,0.4195,10
48,6.96,0.25,0.0313,0.0557,0.4195,12
55,7.97,0.2545,0.0366,0.0639,0.4195,14
62,8.99,0.2581,0.0418,0.0719,0.4195,16
69,10.0,0.2754,0.0496,0.0841,0.4195,19
103,14.93,0.3689,0.0992,0.1564,0.4195,38
138,20.0,0.3841,0.1384,0.2035,0.4195,53
172,24.93,0.4128,0.1854,0.2559,0.4195,71
207,30.0,0.4348,0.235,0.3051,0.4195,90
241,34.93,0.4772,0.3003,0.3686,0.4195,115
276,40.0,0.4964,0.3577,0.4158,0.4195,137
310,44.93,0.5065,0.4099,0.4531,0.4195,157
345,50.0,0.5159,0.4648,0.489,0.4195,178
414,60.0,0.5338,0.577,0.5546,0.4195,221
483,70.0,0.528,0.6658,0.5889,0.4195,255
552,80.0,0.5417,0.7807,0.6396,0.4195,299
621,90.0,0.5491,0.8903,0.6793,0.4195,341
690,100.0,0.5551,1.0,0.7139,0.4195,383
