Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.3333,0.0345,0.0625,0.6837,1
7,1.77,0.2857,0.069,0.1111,0.6837,2
11,2.78,0.1818,0.069,0.1,0.6837,2
15,3.8,0.2,0.1034,0.1364,0.6837,3
19,4.81,0.2105,0.1379,0.1667,0.6837,4
23,5.82,0.1739,0.1379,0.1538,0.6837,4
27,6.84,0.1481,0.1379,0.1429,0.6837,4
31,7.85,0.129,0.1379,0.1333,0.6837,4
35,8.86,0.1143,0.1379,0.125,0.6837,4
39,9.87,0.1538,0.2069,0.1765,0.6837,6
59,14.94,0.1186,0.2414,0.1591,0.6837,7
79,20.0,0.1139,0.3103,0.1667,0.6837,9
98,24.81,0.1122,0.3793,0.1732,0.6837,11
118,29.87,0.1186,0.4828,0.1905,0.6837,14
138,34.94,0.1232,0.5862,0.2036,0.6837,17
158,40.0,0.1139,0.6207,0.1925,0.6837,18
177,44.81,0.1073,0.6552,0.1845,0.6837,19
197,49.87,0.1168,0.7931,0.2035,0.6837,23
237,60.0,0.1097,0.8966,0.1955,0.6837,26
276,69.87,0.1014,0.9655,0.1836,0.6837,28
316,80.0,0.0918,1.0,0.1681,0.6837,29
355,89.87,0.0817,1.0,0.151,0.6837,29
395,100.0,0.0734,1.0,0.1368,0.6837,29
