Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.0667,0.0123,0.0208,0.5715,1
31,1.94,0.0323,0.0123,0.0179,0.5715,1
47,2.94,0.0426,0.0247,0.0312,0.5715,2
63,3.94,0.0635,0.0494,0.0556,0.5715,4
79,4.94,0.0506,0.0494,0.05,0.5715,4
95,5.94,0.0737,0.0864,0.0795,0.5715,7
111,6.94,0.0901,0.1235,0.1042,0.5715,10
127,7.94,0.1024,0.1605,0.125,0.5715,13
143,8.94,0.0979,0.1728,0.125,0.5715,14
159,9.94,0.0943,0.1852,0.125,0.5715,15
239,14.95,0.0837,0.2469,0.125,0.5715,20
319,19.95,0.0784,0.3086,0.125,0.5715,25
399,24.95,0.0802,0.3951,0.1333,0.5715,32
479,29.96,0.0689,0.4074,0.1179,0.5715,33
559,34.96,0.0644,0.4444,0.1125,0.5715,36
639,39.96,0.0657,0.5185,0.1167,0.5715,42
719,44.97,0.0654,0.5802,0.1175,0.5715,47
799,49.97,0.0626,0.6173,0.1136,0.5715,50
959,59.97,0.0542,0.642,0.1,0.5715,52
1119,69.98,0.0545,0.7531,0.1017,0.5715,61
1279,79.99,0.0493,0.7778,0.0926,0.5715,63
1439,89.99,0.0521,0.9259,0.0987,0.5715,75
1599,100.0,0.0507,1.0,0.0964,0.5715,81
