Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.62,0.0,0.0,0.0,0.8736,0
3,1.88,0.3333,0.0333,0.0606,0.8736,1
4,2.5,0.5,0.0667,0.1176,0.8736,2
6,3.75,0.5,0.1,0.1667,0.8736,3
8,5.0,0.5,0.1333,0.2105,0.8736,4
9,5.62,0.4444,0.1333,0.2051,0.8736,4
11,6.88,0.3636,0.1333,0.1951,0.8736,4
12,7.5,0.3333,0.1333,0.1905,0.8736,4
14,8.75,0.3571,0.1667,0.2273,0.8736,5
16,10.0,0.4375,0.2333,0.3043,0.8736,7
24,15.0,0.4583,0.3667,0.4074,0.8736,11
32,20.0,0.4375,0.4667,0.4516,0.8736,14
40,25.0,0.45,0.6,0.5143,0.8736,18
48,30.0,0.5,0.8,0.6154,0.8736,24
56,35.0,0.5,0.9333,0.6512,0.8736,28
64,40.0,0.4688,1.0,0.6383,0.8736,30
72,45.0,0.4167,1.0,0.5882,0.8736,30
80,50.0,0.375,1.0,0.5455,0.8736,30
96,60.0,0.3125,1.0,0.4762,0.8736,30
112,70.0,0.2679,1.0,0.4225,0.8736,30
128,80.0,0.2344,1.0,0.3797,0.8736,30
144,90.0,0.2083,1.0,0.3448,0.8736,30
160,100.0,0.1875,1.0,0.3158,0.8736,30
