Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.99,1.0,0.0588,0.1111,0.6211,1
2,1.98,0.5,0.0588,0.1053,0.6211,1
3,2.97,0.3333,0.0588,0.1,0.6211,1
4,3.96,0.5,0.1176,0.1905,0.6211,2
5,4.95,0.4,0.1176,0.1818,0.6211,2
6,5.94,0.3333,0.1176,0.1739,0.6211,2
7,6.93,0.2857,0.1176,0.1667,0.6211,2
8,7.92,0.25,0.1176,0.16,0.6211,2
9,8.91,0.2222,0.1176,0.1538,0.6211,2
10,9.9,0.2,0.1176,0.1481,0.6211,2
15,14.85,0.4,0.3529,0.375,0.6211,6
20,19.8,0.45,0.5294,0.4865,0.6211,9
25,24.75,0.36,0.5294,0.4286,0.6211,9
30,29.7,0.3,0.5294,0.383,0.6211,9
35,34.65,0.2571,0.5294,0.3462,0.6211,9
40,39.6,0.225,0.5294,0.3158,0.6211,9
45,44.55,0.2222,0.5882,0.3226,0.6211,10
50,49.5,0.2,0.5882,0.2985,0.6211,10
60,59.41,0.1833,0.6471,0.2857,0.6211,11
70,69.31,0.1714,0.7059,0.2759,0.6211,12
80,79.21,0.175,0.8235,0.2887,0.6211,14
90,89.11,0.1778,0.9412,0.2991,0.6211,16
101,100.0,0.1683,1.0,0.2881,0.6211,17
