Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
41,0.98,0.5854,0.2202,0.32,0.9001,24
83,1.99,0.506,0.3853,0.4375,0.9001,42
125,2.99,0.4,0.4587,0.4274,0.9001,50
167,4.0,0.3473,0.5321,0.4203,0.9001,58
208,4.98,0.2981,0.5688,0.3912,0.9001,62
250,5.99,0.256,0.5872,0.3565,0.9001,64
292,6.99,0.2226,0.5963,0.3242,0.9001,65
334,8.0,0.2066,0.633,0.3115,0.9001,69
375,8.98,0.1947,0.6697,0.3017,0.9001,73
417,9.98,0.1799,0.6881,0.2852,0.9001,75
626,14.99,0.1326,0.7615,0.2259,0.9001,83
835,19.99,0.1078,0.8257,0.1907,0.9001,90
1044,24.99,0.092,0.8807,0.1665,0.9001,96
1253,30.0,0.0782,0.8991,0.1439,0.9001,98
1461,34.98,0.0678,0.9083,0.1261,0.9001,99
1670,39.98,0.0617,0.945,0.1158,0.9001,103
1879,44.98,0.0548,0.945,0.1036,0.9001,103
2088,49.99,0.0493,0.945,0.0938,0.9001,103
2506,60.0,0.0411,0.945,0.0788,0.9001,103
2923,69.98,0.0359,0.9633,0.0693,0.9001,105
3341,79.99,0.0323,0.9908,0.0626,0.9001,108
3759,89.99,0.0287,0.9908,0.0558,0.9001,108
4177,100.0,0.0261,1.0,0.0509,0.9001,109
