Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
63,0.99,0.6984,0.1092,0.1888,0.8871,44
127,1.99,0.5591,0.1762,0.2679,0.8871,71
191,3.0,0.4974,0.2357,0.3199,0.8871,95
254,3.99,0.4567,0.2878,0.3531,0.8871,116
318,4.99,0.4308,0.34,0.38,0.8871,137
382,5.99,0.4084,0.3871,0.3975,0.8871,156
446,7.0,0.3879,0.4293,0.4075,0.8871,173
509,7.99,0.3635,0.4591,0.4057,0.8871,185
573,8.99,0.3543,0.5037,0.416,0.8871,203
637,10.0,0.3344,0.5285,0.4096,0.8871,213
955,14.99,0.2628,0.6228,0.3697,0.8871,251
1274,19.99,0.2268,0.7171,0.3447,0.8871,289
1593,25.0,0.2009,0.794,0.3206,0.8871,320
1911,29.99,0.1805,0.8561,0.2982,0.8871,345
2230,35.0,0.1632,0.9032,0.2765,0.8871,364
2548,39.99,0.146,0.9231,0.2521,0.8871,372
2867,44.99,0.1343,0.9553,0.2355,0.8871,385
3186,50.0,0.1227,0.9702,0.2179,0.8871,391
3823,60.0,0.1044,0.9901,0.1888,0.8871,399
4460,69.99,0.0904,1.0,0.1657,0.8871,403
5097,79.99,0.0791,1.0,0.1465,0.8871,403
5734,89.99,0.0703,1.0,0.1313,0.8871,403
6372,100.0,0.0632,1.0,0.119,0.8871,403
