Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.005707203410565853,0,1,unlabeled
1,2.7127344992550206e-07,0,0,train
2,0.02315365895628929,0,0,unlabeled
3,0.002232942497357726,0,0,unlabeled
4,0.0009573870338499546,0,1,unlabeled
5,0.999902606010437,1,1,val
6,0.009746628813445568,0,0,train
7,0.1061524823307991,0,0,unlabeled
8,0.15783099830150604,0,0,train
9,0.8583184480667114,1,0,unlabeled
10,0.9990288019180298,1,1,unlabeled
11,0.013926972635090351,0,0,unlabeled
12,0.21520023047924042,0,0,unlabeled
13,2.2453756909346367e-10,0,0,train
14,2.3078190469760784e-09,0,0,unlabeled
15,0.002004977548494935,0,0,unlabeled
16,0.2786595821380615,0,0,unlabeled
17,0.384695827960968,0,0,unlabeled
18,0.8428864479064941,1,0,unlabeled
19,0.00027104138280265033,0,0,train
20,0.09465651214122772,0,0,unlabeled
21,0.9816916584968567,1,0,unlabeled
22,6.875680580442634e-10,0,0,train
23,1.1189888027729467e-05,0,0,unlabeled
24,1.5691364874115266e-11,0,0,unlabeled
25,0.007157716900110245,0,0,unlabeled
26,0.00043247584835626185,0,1,unlabeled
27,0.05055394768714905,0,0,train
28,0.8910271525382996,1,0,unlabeled
29,0.973282516002655,1,0,unlabeled
30,0.037517353892326355,0,0,train
31,0.00029597969842143357,0,0,unlabeled
32,3.409530108910985e-05,0,0,unlabeled
33,9.08432702999562e-05,0,0,unlabeled
34,0.27336207032203674,0,1,unlabeled
35,3.3058015560527565e-06,0,0,unlabeled
36,0.03468964993953705,0,0,val
37,0.03566450998187065,0,0,train
38,0.04560867324471474,0,0,unlabeled
39,7.118022767826915e-05,0,0,train
40,5.104273805045523e-05,0,0,unlabeled
41,0.8810001611709595,1,0,unlabeled
42,2.610516503409599e-06,0,0,unlabeled
43,1.985378084157219e-09,0,0,unlabeled
44,0.01318611390888691,0,0,unlabeled
45,0.07499385625123978,0,1,unlabeled
46,0.1043526902794838,0,1,unlabeled
47,2.7923701395593525e-07,0,0,val
48,0.00021111399109940976,0,0,unlabeled
49,0.8284720182418823,1,0,unlabeled
50,8.240596071118489e-05,0,0,val
51,0.0016034060390666127,0,0,unlabeled
52,0.06966246664524078,0,0,unlabeled
53,8.307629584258791e-11,0,0,train
54,0.009308451786637306,0,0,train
55,3.0064742873037176e-07,0,0,unlabeled
56,2.032746488112025e-05,0,0,unlabeled
57,0.8944532871246338,1,0,unlabeled
58,0.02290203981101513,0,0,unlabeled
59,8.453142186226614e-08,0,0,unlabeled
60,0.7451680898666382,0,1,unlabeled
61,0.9774833917617798,1,1,train
62,0.023994343355298042,0,0,unlabeled
63,1.1096827620349359e-05,0,0,unlabeled
64,7.287127012922667e-10,0,0,unlabeled
65,0.011968916282057762,0,0,val
66,0.04062356799840927,0,0,train
67,9.664592043323594e-11,0,0,val
68,4.852010079048341e-06,0,0,unlabeled
69,0.0011031905887648463,0,0,unlabeled
70,3.1502045416686997e-10,0,0,unlabeled
71,1.7122409190051258e-05,0,0,unlabeled
72,2.610098359667745e-09,0,0,unlabeled
73,0.0002374669857090339,0,0,unlabeled
74,3.7776071160067204e-10,0,0,unlabeled
75,0.0005130774225108325,0,0,unlabeled
76,0.9999992847442627,1,1,train
77,0.04917658865451813,0,0,unlabeled
78,0.058116938918828964,0,0,unlabeled
79,0.02250819467008114,0,0,unlabeled
80,9.347845093543583e-07,0,0,unlabeled
81,1.6788788343546912e-05,0,0,unlabeled
82,0.13033992052078247,0,0,unlabeled
83,0.11984801292419434,0,1,unlabeled
84,0.003442336106672883,0,0,train
85,0.9995132684707642,1,1,unlabeled
86,0.002962110796943307,0,0,train
87,0.0029044677503407,0,1,val
88,0.9999998807907104,1,1,unlabeled
89,0.9166049361228943,1,1,unlabeled
90,0.012513412162661552,0,0,unlabeled
91,0.22524309158325195,0,1,unlabeled
92,0.0034128178376704454,0,0,unlabeled
93,0.9557580351829529,1,1,train
94,0.07851278781890869,0,0,val
95,0.0009046446066349745,0,0,val
96,0.0013730786740779877,0,0,train
97,9.82274514171877e-07,0,0,unlabeled
98,0.002309241332113743,0,0,unlabeled
99,0.4212157726287842,0,0,unlabeled
100,0.011475167237222195,0,1,unlabeled
101,2.7983126232866695e-11,0,0,unlabeled
102,0.994839608669281,1,0,unlabeled
103,1.62001938974754e-07,0,0,val
104,8.635628887532221e-07,0,0,unlabeled
105,0.99042809009552,1,1,train
106,0.6803748607635498,0,0,unlabeled
107,6.531708862667074e-08,0,0,unlabeled
108,6.505501460196683e-06,0,0,unlabeled
109,0.11350652575492859,0,0,unlabeled
110,4.174014975433238e-05,0,0,train
111,2.2336189431371167e-05,0,0,unlabeled
112,0.04225842282176018,0,0,unlabeled
113,0.011791364289820194,0,0,train
114,0.00836674589663744,0,0,train
115,0.06117367371916771,0,0,unlabeled
116,0.07626140117645264,0,0,unlabeled
117,0.01297064870595932,0,0,unlabeled
118,0.7742765545845032,1,0,unlabeled
119,0.0010207288432866335,0,0,unlabeled
120,1.25228200431593e-06,0,0,unlabeled
121,0.0013024588115513325,0,0,train
122,0.006410137750208378,0,0,unlabeled
123,0.008329978212714195,0,0,unlabeled
124,0.03418732434511185,0,0,unlabeled
125,1.666093235597188e-10,0,0,unlabeled
126,0.21354573965072632,0,0,unlabeled
127,0.0003291027678642422,0,0,unlabeled
128,0.036243684589862823,0,0,train
129,8.507128950441256e-05,0,0,unlabeled
130,0.0132940374314785,0,0,unlabeled
131,3.88141161238309e-05,0,0,unlabeled
132,1.407731708980009e-08,0,0,unlabeled
133,6.112053961260244e-05,0,0,val
134,0.00760643370449543,0,0,val
135,2.738457567375008e-07,0,0,unlabeled
136,2.5387705271384675e-09,0,0,train
137,0.42441868782043457,0,0,unlabeled
138,0.0003261772508267313,0,0,train
139,0.4735030233860016,0,0,unlabeled
140,3.725135217652609e-12,0,0,unlabeled
141,0.44475510716438293,0,1,unlabeled
142,8.62726847117301e-06,0,0,unlabeled
143,1.8446234936655287e-13,0,0,unlabeled
144,0.07806180417537689,0,0,unlabeled
145,0.022781841456890106,0,0,val
146,4.202640411676839e-05,0,0,unlabeled
147,2.5237168301828206e-06,0,0,train
148,0.00603471789509058,0,0,unlabeled
149,0.753962516784668,1,0,unlabeled
150,0.08328572660684586,0,0,unlabeled
151,0.35499557852745056,0,0,unlabeled
152,0.0050755152478814125,0,0,unlabeled
153,1.0436149750603363e-05,0,0,unlabeled
154,5.666288293605659e-13,0,0,unlabeled
155,5.499552457877144e-07,0,0,unlabeled
156,7.989307826417047e-11,0,0,unlabeled
157,0.9163113832473755,1,0,unlabeled
158,1.2933276671844851e-09,0,0,train
159,5.192482421989553e-05,0,0,unlabeled
160,0.002306917915120721,0,0,unlabeled
161,0.0001711760851321742,0,0,train
162,5.846822659805184e-06,0,0,unlabeled
163,0.43678492307662964,0,0,unlabeled
164,1.3102519286559144e-12,0,0,unlabeled
165,1.3597251324881654e-07,0,0,unlabeled
166,0.0007934088935144246,0,0,train
167,0.3727903664112091,0,0,unlabeled
168,0.8131814002990723,1,1,unlabeled
169,0.01887279935181141,0,1,unlabeled
170,0.7062408924102783,0,0,unlabeled
171,0.0004572095931507647,0,0,unlabeled
172,0.99806147813797,1,0,unlabeled
173,4.434326683622203e-07,0,0,train
174,0.1925857961177826,0,1,unlabeled
175,0.13574165105819702,0,0,unlabeled
176,1.5070686365525887e-10,0,0,train
177,0.0008781850337982178,0,0,train
178,9.207089988194639e-07,0,0,unlabeled
179,0.007270053029060364,0,0,train
180,6.64017534290906e-07,0,0,unlabeled
181,0.5047540068626404,0,0,unlabeled
182,0.018163388594985008,0,0,unlabeled
183,0.025518732145428658,0,1,unlabeled
184,0.07288745790719986,0,0,unlabeled
185,0.06988979130983353,0,1,unlabeled
186,0.33177995681762695,0,0,unlabeled
187,0.44719570875167847,0,0,unlabeled
188,0.9984598159790039,1,1,train
189,0.9892950654029846,1,1,unlabeled
190,0.06089865788817406,0,0,unlabeled
191,0.006965295411646366,0,0,train
192,0.00028911788831464946,0,0,unlabeled
193,0.002184334909543395,0,0,train
194,3.765985923109838e-07,0,0,unlabeled
195,0.030006034299731255,0,0,unlabeled
196,3.2060800094768638e-06,0,0,train
197,0.0005021648248657584,0,0,unlabeled
198,0.21594026684761047,0,0,unlabeled
199,5.439258821127169e-09,0,0,unlabeled
200,0.07567477971315384,0,0,train
201,0.05299750715494156,0,0,unlabeled
