Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.88,0.0,0.0,0.0,0.564,0
9,1.99,0.0,0.0,0.0,0.564,0
13,2.88,0.0769,0.0185,0.0299,0.564,1
18,3.98,0.0556,0.0185,0.0278,0.564,1
22,4.87,0.0455,0.0185,0.0263,0.564,1
27,5.97,0.1111,0.0556,0.0741,0.564,3
31,6.86,0.0968,0.0556,0.0706,0.564,3
36,7.96,0.1389,0.0926,0.1111,0.564,5
40,8.85,0.15,0.1111,0.1277,0.564,6
45,9.96,0.2,0.1667,0.1818,0.564,9
67,14.82,0.1642,0.2037,0.1818,0.564,11
90,19.91,0.1889,0.3148,0.2361,0.564,17
113,25.0,0.1593,0.3333,0.2156,0.564,18
135,29.87,0.1407,0.3519,0.2011,0.564,19
158,34.96,0.1456,0.4259,0.217,0.564,23
180,39.82,0.1333,0.4444,0.2051,0.564,24
203,44.91,0.1429,0.537,0.2257,0.564,29
226,50.0,0.1416,0.5926,0.2286,0.564,32
271,59.96,0.1328,0.6667,0.2215,0.564,36
316,69.91,0.1297,0.7593,0.2216,0.564,41
361,79.87,0.133,0.8889,0.2313,0.564,48
406,89.82,0.1281,0.963,0.2261,0.564,52
452,100.0,0.1195,1.0,0.2134,0.564,54
