Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.6901252269744873,1,1,unlabeled
1,0.6296609044075012,0,1,unlabeled
2,0.842503547668457,1,1,unlabeled
3,0.000220665882807225,0,0,unlabeled
4,0.3105645775794983,0,0,unlabeled
5,0.5453286170959473,0,0,unlabeled
6,0.861357569694519,1,0,unlabeled
7,0.011208963580429554,0,0,unlabeled
8,0.3367674648761749,0,0,unlabeled
9,0.13622918725013733,0,0,unlabeled
10,0.02035919390618801,0,0,unlabeled
11,0.0022186939604580402,0,0,train
12,0.8764185905456543,1,0,unlabeled
13,0.5099501013755798,0,0,unlabeled
14,0.11161597818136215,0,0,unlabeled
15,0.025566739961504936,0,0,train
16,0.07574146240949631,0,0,unlabeled
17,0.4568346440792084,0,0,unlabeled
18,0.08088728040456772,0,0,train
19,0.018520694226026535,0,0,unlabeled
20,0.047748349606990814,0,0,train
21,0.9643591046333313,1,0,unlabeled
22,0.10705025494098663,0,0,unlabeled
23,0.3963938057422638,0,0,unlabeled
24,0.14596936106681824,0,0,unlabeled
25,0.147862508893013,0,0,unlabeled
26,0.0021281293593347073,0,0,train
27,0.7513817548751831,1,0,unlabeled
28,0.2088768035173416,0,0,unlabeled
29,0.08706106245517731,0,0,train
30,0.5769209861755371,0,0,unlabeled
31,0.5162400603294373,0,0,unlabeled
32,0.37718823552131653,0,0,val
33,0.09505672752857208,0,0,unlabeled
34,0.3838125467300415,0,0,unlabeled
35,0.26725828647613525,0,0,unlabeled
36,0.0371704138815403,0,0,train
37,0.17687809467315674,0,0,unlabeled
38,0.014492998830974102,0,0,unlabeled
39,0.1703648716211319,0,0,unlabeled
40,0.5155602693557739,0,0,train
41,0.034149106591939926,0,0,unlabeled
42,0.10165759921073914,0,0,unlabeled
43,0.019935019314289093,0,0,unlabeled
44,0.10783231258392334,0,0,unlabeled
45,0.09436530619859695,0,0,unlabeled
46,0.24958409368991852,0,0,train
47,0.51311856508255,0,0,val
48,0.08566058427095413,0,0,unlabeled
49,0.07615222781896591,0,0,unlabeled
50,0.01248316653072834,0,0,train
51,0.15095867216587067,0,0,unlabeled
52,0.7893187403678894,1,0,unlabeled
53,0.7331986427307129,1,0,unlabeled
54,0.19269345700740814,0,0,unlabeled
55,0.8037786483764648,1,0,unlabeled
56,0.013327810913324356,0,0,unlabeled
57,0.2475593537092209,0,0,unlabeled
58,0.07293173670768738,0,0,unlabeled
59,0.6153567433357239,0,0,unlabeled
60,0.07548962533473969,0,0,unlabeled
61,0.02005193941295147,0,0,unlabeled
62,0.006013275124132633,0,0,unlabeled
63,0.09558149427175522,0,0,unlabeled
64,0.04145260527729988,0,0,train
65,0.1917436122894287,0,0,unlabeled
66,0.03499769791960716,0,0,train
67,0.08035207539796829,0,0,unlabeled
68,0.0008259699097834527,0,0,train
69,0.0012066380586475134,0,0,unlabeled
70,0.07932700216770172,0,0,unlabeled
71,0.02965998835861683,0,0,unlabeled
72,0.04514116048812866,0,0,val
73,0.08204645663499832,0,0,unlabeled
74,0.05275755375623703,0,0,unlabeled
75,0.0201689675450325,0,0,unlabeled
76,0.02915189601480961,0,0,unlabeled
77,0.03606965020298958,0,0,unlabeled
78,0.06297502666711807,0,0,unlabeled
79,0.21919654309749603,0,0,unlabeled
80,0.006515927612781525,0,0,unlabeled
81,0.19863341748714447,0,0,unlabeled
82,0.27187106013298035,0,0,val
83,0.20950287580490112,0,0,train
84,0.0014676451683044434,0,0,unlabeled
85,0.0014068150194361806,0,0,unlabeled
86,0.007502751424908638,0,0,unlabeled
87,0.07316397875547409,0,0,train
88,0.0026911073364317417,0,0,unlabeled
89,0.0004107414570171386,0,0,unlabeled
90,0.007444710936397314,0,0,unlabeled
91,0.0073105283081531525,0,0,train
92,0.005806970875710249,0,0,unlabeled
93,0.04582110047340393,0,0,train
94,0.07028030604124069,0,0,unlabeled
95,0.017526011914014816,0,0,unlabeled
96,0.04029263183474541,0,0,train
97,0.17013344168663025,0,0,unlabeled
98,0.08752164989709854,0,0,train
99,0.4317878186702728,0,0,unlabeled
100,0.018079111352562904,0,0,unlabeled
101,0.05745725706219673,0,0,unlabeled
102,0.36944493651390076,0,0,unlabeled
103,0.001965424744412303,0,0,val
104,0.22427408397197723,0,0,unlabeled
105,0.018709447234869003,0,0,val
106,0.06718258559703827,0,0,unlabeled
107,0.47665590047836304,0,0,unlabeled
108,0.1722911298274994,0,0,unlabeled
109,0.14214059710502625,0,0,val
110,0.0034598882775753736,0,0,train
111,0.05111143738031387,0,0,unlabeled
112,0.0011055513750761747,0,0,val
113,0.5291664600372314,0,0,unlabeled
114,0.002279532141983509,0,0,unlabeled
115,0.012081976979970932,0,0,unlabeled
116,0.44139060378074646,0,0,unlabeled
117,0.010169758461415768,0,0,unlabeled
118,0.04210783168673515,0,0,unlabeled
119,0.012059243395924568,0,0,unlabeled
120,0.16847491264343262,0,0,unlabeled
121,0.0001683269365457818,0,0,unlabeled
