Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
60,0.98,0.0667,0.0088,0.0156,0.5344,4
121,1.98,0.0909,0.0242,0.0383,0.5344,11
182,2.98,0.0824,0.033,0.0472,0.5344,15
243,3.98,0.0782,0.0419,0.0545,0.5344,19
304,4.98,0.0789,0.0529,0.0633,0.5344,24
365,5.98,0.0822,0.0661,0.0733,0.5344,30
426,6.98,0.0869,0.0815,0.0841,0.5344,37
487,7.98,0.0842,0.0903,0.0871,0.5344,41
548,8.99,0.0931,0.1123,0.1018,0.5344,51
609,9.99,0.0936,0.1256,0.1072,0.5344,57
914,14.99,0.0996,0.2004,0.133,0.5344,91
1219,19.99,0.0927,0.2489,0.1351,0.5344,113
1524,24.99,0.0879,0.2952,0.1355,0.5344,134
1829,29.99,0.0869,0.3502,0.1393,0.5344,159
2134,34.99,0.0834,0.3921,0.1376,0.5344,178
2439,39.99,0.0845,0.4537,0.1424,0.5344,206
2744,44.99,0.0813,0.4912,0.1395,0.5344,223
3049,49.99,0.0804,0.5396,0.1399,0.5344,245
3659,59.99,0.0798,0.6432,0.142,0.5344,292
4269,70.0,0.0794,0.7467,0.1436,0.5344,339
4879,80.0,0.0771,0.8282,0.141,0.5344,376
5489,90.0,0.0738,0.8921,0.1363,0.5344,405
6099,100.0,0.0744,1.0,0.1386,0.5344,454
