Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
23,0.96,0.0,0.0,0.0,0.5506,0
47,1.97,0.0851,0.0244,0.0379,0.5506,4
71,2.97,0.0704,0.0305,0.0426,0.5506,5
95,3.97,0.0842,0.0488,0.0618,0.5506,8
119,4.98,0.1092,0.0793,0.0919,0.5506,13
143,5.98,0.1119,0.0976,0.1042,0.5506,16
167,6.98,0.1138,0.1159,0.1148,0.5506,19
191,7.99,0.1204,0.1402,0.1296,0.5506,23
215,8.99,0.1163,0.1524,0.1319,0.5506,25
239,10.0,0.1088,0.1585,0.129,0.5506,26
358,14.97,0.1061,0.2317,0.1456,0.5506,38
478,19.99,0.0983,0.2866,0.1464,0.5506,47
597,24.97,0.0938,0.3415,0.1472,0.5506,56
717,29.99,0.0879,0.3841,0.143,0.5506,63
836,34.96,0.0849,0.4329,0.142,0.5506,71
956,39.98,0.0858,0.5,0.1464,0.5506,82
1075,44.96,0.0837,0.5488,0.1453,0.5506,90
1195,49.98,0.0787,0.5732,0.1383,0.5506,94
1434,59.97,0.0746,0.6524,0.1339,0.5506,107
1673,69.97,0.0693,0.7073,0.1263,0.5506,116
1912,79.97,0.069,0.8049,0.1272,0.5506,132
2151,89.96,0.0665,0.872,0.1235,0.5506,143
2391,100.0,0.0686,1.0,0.1284,0.5506,164
