Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9903825521469116,1,0,unlabeled
1,1.112963080406189,1,0,unlabeled
2,0.9621235132217407,0,0,val
3,0.9807143211364746,0,0,unlabeled
4,1.1572097539901733,1,0,unlabeled
5,0.9778963327407837,0,0,unlabeled
6,1.1415406465530396,1,0,unlabeled
7,1.0396924018859863,1,0,test
8,1.0196813344955444,1,0,unlabeled
9,0.987387478351593,1,0,unlabeled
10,1.0226311683654785,1,0,train
11,1.0613700151443481,1,0,unlabeled
12,0.9882990717887878,1,0,unlabeled
13,1.031566858291626,1,0,unlabeled
14,0.9632774591445923,0,0,unlabeled
15,0.9994780421257019,1,0,unlabeled
16,1.0456035137176514,1,0,unlabeled
17,1.0080854892730713,1,0,unlabeled
18,1.0150258541107178,1,0,unlabeled
19,0.9745287895202637,0,0,unlabeled
20,0.986218273639679,1,0,unlabeled
21,1.3906129598617554,1,0,unlabeled
22,0.9816682934761047,0,0,unlabeled
23,1.0357701778411865,1,0,val
24,1.1527435779571533,1,0,unlabeled
25,1.0376719236373901,1,0,unlabeled
26,1.01010262966156,1,0,unlabeled
27,0.9692554473876953,0,0,unlabeled
28,0.9899762272834778,1,0,unlabeled
29,1.0226466655731201,1,0,unlabeled
30,1.028833270072937,1,0,train
31,1.0096575021743774,1,0,val
32,1.0565240383148193,1,0,unlabeled
33,0.9654152989387512,0,0,train
34,0.9916049242019653,1,0,unlabeled
35,1.1837372779846191,1,0,unlabeled
36,1.0667955875396729,1,0,unlabeled
37,1.017627477645874,1,0,unlabeled
38,1.0207475423812866,1,0,unlabeled
39,1.0831595659255981,1,0,val
40,1.0406209230422974,1,0,unlabeled
41,1.0324922800064087,1,0,unlabeled
42,0.9805864095687866,0,0,unlabeled
43,1.0245957374572754,1,0,unlabeled
44,1.0618441104888916,1,0,unlabeled
45,1.0581635236740112,1,0,unlabeled
46,0.9922873377799988,1,0,unlabeled
47,1.0342862606048584,1,0,unlabeled
48,1.0416085720062256,1,0,unlabeled
49,0.9845528602600098,1,0,train
50,0.9852380752563477,1,0,unlabeled
51,0.9508696794509888,0,0,unlabeled
52,1.135413408279419,1,0,unlabeled
53,1.215570330619812,1,0,unlabeled
54,1.0265299081802368,1,0,train
55,1.0377519130706787,1,0,train
56,1.0217912197113037,1,0,unlabeled
57,1.0081870555877686,1,0,unlabeled
58,1.0064184665679932,1,0,unlabeled
59,1.17619788646698,1,0,unlabeled
60,1.009924292564392,1,0,train
61,1.0429259538650513,1,0,unlabeled
62,0.9754064679145813,0,0,unlabeled
63,1.0202885866165161,1,0,val
64,0.991936981678009,1,0,unlabeled
65,0.9801572561264038,0,0,train
66,1.0100904703140259,1,0,train
67,1.0268529653549194,1,0,test
68,1.0165891647338867,1,0,unlabeled
69,1.1092462539672852,1,0,unlabeled
70,1.0212253332138062,1,0,unlabeled
71,1.0128101110458374,1,0,unlabeled
72,1.1634342670440674,1,0,val
73,1.1036666631698608,1,0,unlabeled
74,1.1685391664505005,1,0,unlabeled
75,0.9979111552238464,1,0,unlabeled
76,1.0147764682769775,1,0,train
77,1.0852382183074951,1,0,train
78,1.1058931350708008,1,0,test
79,0.9843510389328003,1,0,train
80,0.9806111454963684,0,0,unlabeled
81,1.1010583639144897,1,0,val
82,1.0618765354156494,1,0,unlabeled
83,1.0244486331939697,1,0,unlabeled
84,1.0228556394577026,1,0,val
85,1.2547496557235718,1,0,unlabeled
86,0.9874254465103149,1,0,val
87,1.119693398475647,1,0,unlabeled
88,1.0294134616851807,1,0,unlabeled
89,1.0216983556747437,1,0,unlabeled
90,1.023271083831787,1,0,unlabeled
91,1.1309136152267456,1,0,unlabeled
92,1.1072232723236084,1,0,unlabeled
93,1.072155475616455,1,0,unlabeled
94,1.0091698169708252,1,0,unlabeled
95,1.0082732439041138,1,0,unlabeled
96,0.9720083475112915,0,0,unlabeled
97,1.046371579170227,1,0,train
98,1.0411421060562134,1,0,unlabeled
99,1.4859973192214966,1,0,unlabeled
100,0.9747317433357239,0,0,unlabeled
101,1.0019023418426514,1,0,train
102,1.0475900173187256,1,0,unlabeled
103,1.041574478149414,1,0,unlabeled
104,1.0095493793487549,1,0,unlabeled
105,0.96226966381073,0,0,unlabeled
106,0.9973546266555786,1,0,unlabeled
107,1.0215486288070679,1,0,unlabeled
108,1.1003373861312866,1,0,unlabeled
109,1.0102872848510742,1,0,train
110,1.0252794027328491,1,0,unlabeled
111,1.1038974523544312,1,0,unlabeled
112,0.9972041249275208,1,0,unlabeled
113,1.1081078052520752,1,0,unlabeled
114,0.9948936700820923,1,0,unlabeled
115,0.9992672801017761,1,0,unlabeled
116,0.9742465019226074,0,0,unlabeled
117,1.1744325160980225,1,0,unlabeled
118,1.031090497970581,1,0,train
119,1.0866841077804565,1,0,unlabeled
120,1.0891830921173096,1,0,train
121,1.0929534435272217,1,0,unlabeled
122,1.0055269002914429,1,0,unlabeled
123,1.0593845844268799,1,0,unlabeled
124,1.0578641891479492,1,0,unlabeled
125,1.034398078918457,1,0,unlabeled
126,1.0255095958709717,1,0,unlabeled
127,1.0035068988800049,1,0,unlabeled
128,1.0645614862442017,1,0,unlabeled
129,1.0261648893356323,1,0,unlabeled
130,0.9864797592163086,1,0,unlabeled
131,0.9743685722351074,0,0,unlabeled
132,1.1582969427108765,1,0,unlabeled
133,1.0440906286239624,1,0,val
134,1.03819739818573,1,0,unlabeled
135,0.9783027768135071,0,0,unlabeled
136,0.9682682156562805,0,0,unlabeled
137,1.0096352100372314,1,0,train
138,0.9745287895202637,0,0,unlabeled
139,1.0088304281234741,1,0,unlabeled
140,0.9592798352241516,0,0,unlabeled
141,0.983015239238739,1,0,unlabeled
142,1.1025612354278564,1,0,unlabeled
