Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,0.92,0.125,0.0111,0.0204,0.5453,1
17,1.95,0.1765,0.0333,0.0561,0.5453,3
26,2.98,0.1923,0.0556,0.0862,0.5453,5
34,3.9,0.1765,0.0667,0.0968,0.5453,6
43,4.93,0.1628,0.0778,0.1053,0.5453,7
52,5.96,0.1538,0.0889,0.1127,0.5453,8
61,7.0,0.1803,0.1222,0.1457,0.5453,11
69,7.91,0.1594,0.1222,0.1384,0.5453,11
78,8.94,0.141,0.1222,0.131,0.5453,11
87,9.98,0.1264,0.1222,0.1243,0.5453,11
130,14.91,0.1154,0.1667,0.1364,0.5453,15
174,19.95,0.1149,0.2222,0.1515,0.5453,20
218,25.0,0.1101,0.2667,0.1558,0.5453,24
261,29.93,0.1149,0.3333,0.1709,0.5453,30
305,34.98,0.1246,0.4222,0.1924,0.5453,38
348,39.91,0.1236,0.4778,0.1963,0.5453,43
392,44.95,0.1276,0.5556,0.2075,0.5453,50
436,50.0,0.1193,0.5778,0.1977,0.5453,52
523,59.98,0.109,0.6333,0.186,0.5453,57
610,69.95,0.1066,0.7222,0.1857,0.5453,65
697,79.93,0.1133,0.8778,0.2008,0.5453,79
784,89.91,0.1071,0.9333,0.1922,0.5453,84
872,100.0,0.1032,1.0,0.1871,0.5453,90
