Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
17,0.98,0.2353,0.0364,0.063,0.5018,4
34,1.97,0.1471,0.0455,0.0694,0.5018,5
51,2.95,0.1373,0.0636,0.087,0.5018,7
69,3.99,0.1159,0.0727,0.0894,0.5018,8
86,4.98,0.1395,0.1091,0.1224,0.5018,12
103,5.96,0.1262,0.1182,0.1221,0.5018,13
120,6.94,0.1083,0.1182,0.113,0.5018,13
138,7.99,0.0942,0.1182,0.1048,0.5018,13
155,8.97,0.0839,0.1182,0.0981,0.5018,13
172,9.95,0.093,0.1455,0.1135,0.5018,16
259,14.99,0.0927,0.2182,0.1301,0.5018,24
345,19.97,0.0812,0.2545,0.1231,0.5018,28
432,25.0,0.0787,0.3091,0.1255,0.5018,34
518,29.98,0.0753,0.3545,0.1242,0.5018,39
604,34.95,0.0728,0.4,0.1232,0.5018,44
691,39.99,0.068,0.4273,0.1174,0.5018,47
777,44.97,0.0656,0.4636,0.115,0.5018,51
864,50.0,0.0613,0.4818,0.1088,0.5018,53
1036,59.95,0.0589,0.5545,0.1065,0.5018,61
1209,69.97,0.0587,0.6455,0.1077,0.5018,71
1382,79.98,0.0579,0.7273,0.1072,0.5018,80
1555,89.99,0.0617,0.8727,0.1153,0.5018,96
1728,100.0,0.0637,1.0,0.1197,0.5018,110
