Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,6.003808812238276e-05,0,0,unlabeled
1,0.00010290538193657994,0,0,unlabeled
2,0.0004451142449397594,0,0,unlabeled
3,0.00040004149195738137,0,0,unlabeled
4,1.3387902981776278e-05,0,0,unlabeled
5,5.747752220486291e-05,0,0,unlabeled
6,0.0007159856613725424,0,0,unlabeled
7,0.0001322913885815069,0,0,unlabeled
8,0.00018757318321149796,0,0,unlabeled
9,0.00014293144340626895,0,0,unlabeled
10,5.3668984037358314e-05,0,0,unlabeled
11,0.0002755057066679001,0,0,unlabeled
12,0.0014637154527008533,0,0,unlabeled
13,0.015427665784955025,0,0,unlabeled
14,0.0022405418567359447,0,0,unlabeled
15,4.017192259198055e-05,0,0,train
16,8.291840640595183e-05,0,0,unlabeled
17,0.00015938005526550114,0,0,unlabeled
18,0.00010972328163916245,0,0,unlabeled
19,0.0007215345976874232,0,0,unlabeled
20,0.0344393216073513,0,0,unlabeled
21,0.0028491574339568615,0,0,unlabeled
22,1.1378227100067306e-05,0,0,unlabeled
23,1.8963122784043662e-05,0,0,train
24,0.00010421054321341217,0,0,unlabeled
25,1.203168085339712e-05,0,0,unlabeled
26,4.9638692871667445e-05,0,0,unlabeled
27,6.946975190658122e-05,0,0,unlabeled
28,1.853277353802696e-05,0,0,unlabeled
29,2.3840993890189566e-05,0,0,train
30,7.756435661576688e-05,0,0,val
31,5.9128251450601965e-05,0,0,unlabeled
32,0.00010168732114834711,0,0,val
33,0.00017181185830850154,0,0,unlabeled
34,8.49570642458275e-05,0,0,unlabeled
35,0.0002785162068903446,0,0,unlabeled
36,0.008888855576515198,0,0,unlabeled
37,0.000487635814351961,0,0,unlabeled
38,8.404499385505915e-05,0,0,unlabeled
39,0.00035575509537011385,0,0,unlabeled
40,7.796145655447617e-05,0,0,unlabeled
41,1.6807627616799437e-05,0,0,unlabeled
42,5.75956582906656e-05,0,0,unlabeled
43,4.9611058784648776e-05,0,0,train
44,0.00021164708596188575,0,0,train
45,0.0011618243297562003,0,0,unlabeled
46,3.3517557312734425e-05,0,0,unlabeled
47,0.0005822312086820602,0,0,unlabeled
48,0.0001517604396212846,0,0,unlabeled
49,4.4859236368210986e-05,0,0,train
50,0.0001183267158921808,0,0,unlabeled
51,7.394052227027714e-05,0,0,train
52,8.01953865448013e-06,0,0,unlabeled
53,2.0929557649651542e-05,0,0,unlabeled
54,1.5322570106945932e-05,0,0,unlabeled
55,0.0001474359887652099,0,0,unlabeled
56,4.136591815040447e-05,0,0,train
57,6.91083914716728e-05,0,0,unlabeled
58,3.614820525399409e-05,0,0,unlabeled
59,2.9271035600686446e-05,0,0,train
60,0.00016150590090546757,0,0,unlabeled
61,0.0010615683859214187,0,0,unlabeled
62,0.0005104748997837305,0,0,unlabeled
63,7.764538895571604e-05,0,0,unlabeled
64,2.293413126608357e-05,0,0,unlabeled
65,0.0002458652597852051,0,0,train
66,0.0007461466593667865,0,0,unlabeled
67,0.0033767004497349262,0,0,train
68,0.000545340299140662,0,0,unlabeled
69,0.0047903205268085,0,0,train
70,0.00022554726456291974,0,0,val
71,0.0008205651538446546,0,0,unlabeled
72,0.00020472463802434504,0,0,unlabeled
73,0.00036492213257588446,0,0,train
74,0.0003584576479624957,0,0,unlabeled
75,0.00022608877043239772,0,0,unlabeled
76,0.000127454855828546,0,0,val
77,0.0003570089174900204,0,0,unlabeled
78,0.0002777297340799123,0,0,train
79,0.12951892614364624,0,0,unlabeled
80,0.9918666481971741,1,0,unlabeled
81,0.1594182252883911,0,0,unlabeled
82,0.9935975074768066,1,0,unlabeled
83,4.3198702769586816e-05,0,0,unlabeled
84,1.2400528248690534e-05,0,0,unlabeled
85,7.298088894458488e-05,0,0,unlabeled
86,0.00010266181925544515,0,0,unlabeled
87,0.00016524040256626904,0,0,unlabeled
88,3.3477590477559716e-05,0,0,unlabeled
89,7.170762273744913e-06,0,0,unlabeled
90,0.00013640288671012968,0,0,unlabeled
91,0.0001682519941823557,0,0,unlabeled
92,0.00019635500211734325,0,0,unlabeled
93,0.00020135538943577558,0,0,unlabeled
94,0.00019527396943885833,0,0,unlabeled
95,4.96370812470559e-05,0,0,unlabeled
96,0.0008220545132644475,0,0,unlabeled
97,0.00046317189116962254,0,0,unlabeled
98,6.253158790059388e-05,0,0,unlabeled
99,0.0010349556105211377,0,0,train
100,0.04118431359529495,0,0,train
101,0.0002642368490342051,0,0,train
102,0.0007107949932105839,0,0,unlabeled
103,0.0006468826904892921,0,0,unlabeled
104,0.00014962838031351566,0,0,unlabeled
105,0.00016484885418321937,0,0,unlabeled
106,0.0012577255256474018,0,0,unlabeled
107,0.0002762363583315164,0,0,train
108,0.0002134831011062488,0,0,unlabeled
109,0.0018379181856289506,0,0,train
110,0.0024185553193092346,0,0,unlabeled
111,0.009834948927164078,0,0,unlabeled
112,0.0032920590601861477,0,0,unlabeled
113,0.0025684251450002193,0,0,unlabeled
114,0.0013683594297617674,0,0,unlabeled
115,4.0122075006365776e-05,0,0,train
116,3.9823335100663826e-05,0,0,unlabeled
117,7.44150165701285e-05,0,0,unlabeled
118,0.00016393109399359673,0,0,unlabeled
119,8.626726776128635e-05,0,0,unlabeled
120,6.639576167799532e-05,0,0,unlabeled
121,0.0008915870566852391,0,0,unlabeled
122,0.00017191182996612042,0,0,unlabeled
123,0.0005155855324119329,0,0,train
124,0.007224403787404299,0,0,train
125,8.81697196746245e-05,0,0,unlabeled
