Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
14,0.95,0.5714,0.0159,0.0309,0.7182,8
29,1.97,0.5862,0.0338,0.0639,0.7182,17
44,2.99,0.6364,0.0557,0.1024,0.7182,28
58,3.94,0.6552,0.0755,0.1355,0.7182,38
73,4.96,0.6438,0.0934,0.1632,0.7182,47
88,5.97,0.625,0.1093,0.1861,0.7182,55
103,6.99,0.6117,0.1252,0.2079,0.7182,63
117,7.94,0.5812,0.1352,0.2194,0.7182,68
132,8.96,0.5985,0.1571,0.2488,0.7182,79
147,9.98,0.5782,0.169,0.2615,0.7182,85
220,14.94,0.5818,0.2545,0.3541,0.7182,128
294,19.96,0.551,0.3221,0.4065,0.7182,162
368,24.98,0.5408,0.3956,0.4569,0.7182,199
441,29.94,0.5125,0.4493,0.4788,0.7182,226
515,34.96,0.501,0.5129,0.5069,0.7182,258
589,39.99,0.4907,0.5746,0.5293,0.7182,289
662,44.94,0.4834,0.6362,0.5494,0.7182,320
736,49.97,0.4701,0.6879,0.5585,0.7182,346
883,59.95,0.4371,0.7674,0.557,0.7182,386
1031,69.99,0.4122,0.8449,0.5541,0.7182,425
1178,79.97,0.3939,0.9225,0.5521,0.7182,464
1325,89.95,0.3638,0.9583,0.5274,0.7182,482
1473,100.0,0.3415,1.0,0.5091,0.7182,503
