Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,8.976781487035623e-07,0,0,train
1,8.974469528766349e-05,0,0,unlabeled
2,0.7156569957733154,0,0,unlabeled
3,8.418311153945979e-06,0,0,val
4,8.785828867985401e-06,0,0,unlabeled
5,3.1202921491058078e-06,0,0,unlabeled
6,2.8379315608617617e-07,0,0,unlabeled
7,9.819120805332204e-07,0,0,unlabeled
8,3.0223047360777855e-05,0,0,train
9,0.16917875409126282,0,0,unlabeled
10,4.949788490193896e-06,0,0,val
11,9.598573342373129e-06,0,0,unlabeled
12,0.5715569853782654,0,1,unlabeled
13,0.00010124340769834816,0,0,train
14,0.0001159166858997196,0,0,unlabeled
15,1.4028841178514995e-05,0,0,train
16,5.6175613281084225e-06,0,0,unlabeled
17,0.02639405056834221,0,1,unlabeled
18,7.290819485206157e-05,0,0,unlabeled
19,0.7628858089447021,0,0,train
20,0.012195108458399773,0,0,unlabeled
21,0.004207600839436054,0,0,val
22,3.2863648812053725e-05,0,0,unlabeled
23,0.0005627457867376506,0,0,unlabeled
24,1.15228738195583e-06,0,0,unlabeled
25,5.3859868785366416e-05,0,0,train
26,4.547587650449714e-06,0,0,unlabeled
27,0.34344547986984253,0,0,unlabeled
28,8.438206577920937e-09,0,0,unlabeled
29,1.1687334335874766e-06,0,0,unlabeled
30,1.0838542038982268e-05,0,0,unlabeled
31,2.287155803060159e-05,0,0,train
32,0.9861708879470825,1,0,train
33,0.8293753266334534,0,0,val
34,2.495230774002266e-06,0,0,unlabeled
35,0.00243734591640532,0,0,val
36,0.7762349843978882,0,0,unlabeled
37,7.663574592697842e-07,0,0,unlabeled
38,6.953145657462301e-06,0,0,train
39,1.2476865549615468e-06,0,0,train
40,0.1753845065832138,0,0,unlabeled
41,1.8316217165192938e-07,0,0,train
42,0.0016124201938509941,0,0,unlabeled
43,0.988965630531311,1,0,unlabeled
44,3.0076892016950296e-06,0,0,unlabeled
45,0.1088741272687912,0,0,unlabeled
46,2.446763346597436e-06,0,0,unlabeled
47,5.699803296010941e-06,0,0,unlabeled
48,8.786161381779678e-11,0,0,val
49,0.000601372099481523,0,0,train
50,0.0006572325946763158,0,0,unlabeled
51,0.9115396738052368,0,0,unlabeled
52,0.8784736394882202,0,0,train
53,7.807141810189933e-05,0,0,unlabeled
54,8.296237865579315e-07,0,0,unlabeled
55,3.0890101587743857e-09,0,0,unlabeled
56,2.8107839966651227e-07,0,0,unlabeled
57,0.6144973039627075,0,0,unlabeled
58,0.0006190917920321226,0,0,unlabeled
59,0.009371250867843628,0,0,unlabeled
60,0.00010594748164294288,0,0,train
61,4.14992236130729e-08,0,0,val
62,0.03244737908244133,0,0,unlabeled
63,0.229976087808609,0,0,unlabeled
64,0.48215416073799133,0,0,unlabeled
65,0.0003462855820544064,0,0,unlabeled
66,2.78533264008729e-07,0,0,unlabeled
67,4.480074039747706e-06,0,0,unlabeled
68,2.6417585104354657e-05,0,0,unlabeled
69,1.3353055692277849e-06,0,0,unlabeled
70,3.8358005660654726e-10,0,1,unlabeled
71,0.0002521181886550039,0,0,unlabeled
72,2.3063235433988744e-16,0,0,unlabeled
73,0.008960834704339504,0,0,unlabeled
74,0.8697571754455566,0,0,unlabeled
75,0.007262069266289473,0,0,unlabeled
76,0.0005404881667345762,0,0,unlabeled
77,1.0456094059918541e-05,0,0,unlabeled
78,6.281919195316732e-05,0,0,unlabeled
79,1.6376392522943206e-05,0,0,train
80,0.08985695242881775,0,0,unlabeled
81,4.916147190670017e-06,0,0,unlabeled
82,0.9492565989494324,1,0,unlabeled
83,1.5811857840949603e-16,0,0,val
84,0.361668199300766,0,0,unlabeled
85,2.7399139071349055e-05,0,0,unlabeled
86,4.233288564137183e-06,0,0,unlabeled
87,0.0009317412041127682,0,0,unlabeled
88,0.838798999786377,0,0,unlabeled
89,0.011105028912425041,0,0,unlabeled
90,0.001889388426207006,0,0,unlabeled
91,0.13300058245658875,0,0,train
92,0.48413941264152527,0,0,unlabeled
93,9.381195820168386e-10,0,0,unlabeled
94,7.518010079365922e-06,0,0,unlabeled
95,6.328253220999613e-06,0,0,train
96,5.487306225404609e-06,0,0,val
97,0.06162029132246971,0,0,unlabeled
98,1.8251209894515341e-06,0,0,train
99,4.103244464204181e-06,0,0,train
100,0.0003460909065324813,0,0,unlabeled
101,4.814477142645046e-05,0,0,unlabeled
102,2.085263440676499e-05,0,0,train
103,0.01121071819216013,0,0,unlabeled
104,1.4832908163953107e-05,0,0,train
105,0.0002528784389141947,0,0,unlabeled
106,0.1270792931318283,0,1,val
107,0.5277581214904785,0,1,unlabeled
108,1.2032954145979602e-05,0,0,val
109,6.433144790207734e-06,0,0,unlabeled
110,0.011171327903866768,0,0,unlabeled
111,0.00011122260912088677,0,0,train
112,4.3230065784882754e-05,0,0,train
113,3.190552888554521e-05,0,0,train
114,0.014639608561992645,0,0,unlabeled
115,8.49707760153251e-07,0,0,unlabeled
116,3.5905623008147813e-06,0,0,train
117,1.3895815982323256e-06,0,0,unlabeled
118,0.006006285548210144,0,0,unlabeled
119,3.231355003663339e-05,0,0,unlabeled
120,1.1992598558663303e-07,0,0,unlabeled
121,2.988032008488517e-07,0,0,unlabeled
122,8.18592743598856e-05,0,0,unlabeled
123,2.564688550421579e-08,0,0,unlabeled
124,0.050217386335134506,0,0,train
125,0.0037078922614455223,0,0,unlabeled
126,1.5226079312924412e-06,0,0,unlabeled
127,0.00014358780754264444,0,0,unlabeled
128,4.879234438703861e-07,0,0,unlabeled
129,9.125104156737507e-07,0,0,unlabeled
130,8.038411033339798e-05,0,0,unlabeled
131,2.2105568575625512e-07,0,0,unlabeled
132,1.6753615383890974e-08,0,0,unlabeled
133,1.543148209748324e-05,0,0,unlabeled
134,0.9126207232475281,0,1,unlabeled
135,1.187691964332771e-06,0,0,unlabeled
136,6.518766895169392e-05,0,0,unlabeled
137,5.363555710680146e-10,0,0,train
138,5.818038516736124e-06,0,0,val
139,0.0017984358128160238,0,0,unlabeled
140,2.3818041881895624e-05,0,0,unlabeled
141,8.435581548837945e-06,0,0,val
142,4.249352423357777e-05,0,0,unlabeled
143,0.8719450831413269,0,0,unlabeled
144,3.701296336089399e-08,0,0,unlabeled
145,0.9436377882957458,1,0,unlabeled
146,0.0015955324051901698,0,0,unlabeled
147,4.929917736262723e-07,0,0,unlabeled
148,0.5954485535621643,0,0,unlabeled
149,6.582069181604311e-05,0,0,unlabeled
150,3.2328198784625783e-08,0,0,train
151,1.9611373858197112e-08,0,0,unlabeled
152,1.4793126865697559e-05,0,0,unlabeled
153,1.0507203114684671e-05,0,0,unlabeled
154,8.861959213390946e-05,0,0,unlabeled
155,0.0001203568754135631,0,0,train
156,1.160200753247409e-07,0,0,unlabeled
157,1.2469438843254466e-05,0,0,unlabeled
158,2.4411637156163124e-08,0,0,unlabeled
159,0.7733721137046814,0,0,unlabeled
160,0.00020052962645422667,0,0,unlabeled
161,5.218977321419516e-07,0,0,unlabeled
162,0.0005147760384716094,0,0,unlabeled
163,0.37493136525154114,0,0,train
164,1.367235654470278e-05,0,0,unlabeled
165,2.5771969376364723e-05,0,0,unlabeled
166,0.27240845561027527,0,0,unlabeled
167,3.127934178337455e-06,0,0,unlabeled
168,2.526023195059679e-07,0,0,unlabeled
169,0.0011797784827649593,0,0,unlabeled
170,2.417242050967161e-08,0,0,unlabeled
171,7.31716269797289e-08,0,0,unlabeled
172,0.0021444109734147787,0,0,unlabeled
173,6.116428266977891e-06,0,0,unlabeled
174,2.1180536435849717e-08,0,0,val
175,3.672759305572981e-07,0,0,train
176,3.3858766983030364e-05,0,0,unlabeled
177,0.1944016069173813,0,0,unlabeled
178,4.016960247099632e-06,0,0,unlabeled
179,0.6943821907043457,0,0,unlabeled
180,0.698034942150116,0,0,unlabeled
181,0.0027535941917449236,0,0,unlabeled
182,3.0407781357269937e-16,0,0,unlabeled
183,8.283628994831815e-05,0,0,unlabeled
184,0.9228883981704712,0,0,unlabeled
185,0.5824853181838989,0,0,unlabeled
186,4.593552205278684e-09,0,0,unlabeled
187,7.689998710702639e-06,0,0,unlabeled
188,0.007848570123314857,0,0,unlabeled
189,4.558388822656356e-12,0,0,unlabeled
190,7.93094022810692e-06,0,0,unlabeled
191,5.186751513974741e-05,0,0,train
192,0.005703205242753029,0,0,unlabeled
193,5.5779564718250185e-06,0,0,unlabeled
194,3.427227511565434e-06,0,0,unlabeled
195,1.219765408677631e-06,0,0,unlabeled
196,9.020084235089598e-07,0,0,unlabeled
197,0.0003317267692182213,0,0,unlabeled
198,2.1154612568352604e-06,0,0,unlabeled
199,2.0860372387687676e-05,0,0,unlabeled
200,0.0014105190057307482,0,0,unlabeled
201,8.592393214712502e-07,0,0,unlabeled
202,0.005121988710016012,0,0,unlabeled
203,1.0817055340339721e-07,0,0,unlabeled
204,0.5741435885429382,0,0,unlabeled
205,0.7565930485725403,0,0,unlabeled
206,2.9529932362493128e-05,0,0,unlabeled
207,0.00011626329069258645,0,0,unlabeled
208,1.6978894564090297e-05,0,0,unlabeled
209,9.086529644264374e-06,0,0,unlabeled
210,1.5811857840949603e-16,0,0,unlabeled
211,2.095538002322428e-05,0,1,unlabeled
212,0.00011940827243961394,0,0,unlabeled
213,1.7280922293139156e-06,0,0,unlabeled
214,0.00047626340528950095,0,0,unlabeled
215,2.782908995868638e-05,0,0,unlabeled
216,0.006929083727300167,0,1,unlabeled
217,0.06590148061513901,0,0,unlabeled
218,0.00034425698686391115,0,0,train
219,0.02996809221804142,0,0,train
220,1.0301039765181486e-05,0,0,train
221,0.1434330940246582,0,0,unlabeled
