Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.92,0.75,0.0288,0.0556,0.4491,3
8,1.84,0.5,0.0385,0.0714,0.4491,4
13,2.99,0.5385,0.0673,0.1197,0.4491,7
17,3.91,0.4706,0.0769,0.1322,0.4491,8
21,4.83,0.4286,0.0865,0.144,0.4491,9
26,5.98,0.3846,0.0962,0.1538,0.4491,10
30,6.9,0.3667,0.1058,0.1642,0.4491,11
34,7.82,0.3529,0.1154,0.1739,0.4491,12
39,8.97,0.3077,0.1154,0.1678,0.4491,12
43,9.89,0.2791,0.1154,0.1633,0.4491,12
65,14.94,0.2308,0.1442,0.1775,0.4491,15
87,20.0,0.1954,0.1635,0.178,0.4491,17
108,24.83,0.2222,0.2308,0.2264,0.4491,24
130,29.89,0.2385,0.2981,0.265,0.4491,31
152,34.94,0.2303,0.3365,0.2734,0.4491,35
174,40.0,0.2069,0.3462,0.259,0.4491,36
195,44.83,0.1949,0.3654,0.2542,0.4491,38
217,49.89,0.1843,0.3846,0.2492,0.4491,40
261,60.0,0.1839,0.4615,0.263,0.4491,48
304,69.89,0.2171,0.6346,0.3235,0.4491,66
348,80.0,0.2299,0.7692,0.354,0.4491,80
391,89.89,0.2379,0.8942,0.3758,0.4491,93
435,100.0,0.2391,1.0,0.3859,0.4491,104
