Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.82,1.0,0.0517,0.0984,0.9999,3
7,1.91,1.0,0.1207,0.2154,0.9999,7
10,2.73,0.9,0.1552,0.2647,0.9999,9
14,3.83,0.7857,0.1897,0.3056,0.9999,11
18,4.92,0.8333,0.2586,0.3947,0.9999,15
21,5.74,0.8095,0.2931,0.4304,0.9999,17
25,6.83,0.84,0.3621,0.506,0.9999,21
29,7.92,0.8621,0.431,0.5747,0.9999,25
32,8.74,0.875,0.4828,0.6222,0.9999,28
36,9.84,0.8889,0.5517,0.6809,0.9999,32
54,14.75,0.8704,0.8103,0.8393,0.9999,47
73,19.95,0.7945,1.0,0.8855,0.9999,58
91,24.86,0.6374,1.0,0.7785,0.9999,58
109,29.78,0.5321,1.0,0.6946,0.9999,58
128,34.97,0.4531,1.0,0.6237,0.9999,58
146,39.89,0.3973,1.0,0.5686,0.9999,58
164,44.81,0.3537,1.0,0.5225,0.9999,58
183,50.0,0.3169,1.0,0.4813,0.9999,58
219,59.84,0.2648,1.0,0.4188,0.9999,58
256,69.95,0.2266,1.0,0.3694,0.9999,58
292,79.78,0.1986,1.0,0.3314,0.9999,58
329,89.89,0.1763,1.0,0.2997,0.9999,58
366,100.0,0.1585,1.0,0.2736,0.9999,58
