Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.81,0.0,0.0,0.0,0.5377,0
7,1.89,0.2857,0.0488,0.0833,0.5377,2
11,2.97,0.2727,0.0732,0.1154,0.5377,3
14,3.78,0.2143,0.0732,0.1091,0.5377,3
18,4.86,0.2222,0.0976,0.1356,0.5377,4
22,5.95,0.2273,0.122,0.1587,0.5377,5
25,6.76,0.2,0.122,0.1515,0.5377,5
29,7.84,0.2069,0.1463,0.1714,0.5377,6
33,8.92,0.1818,0.1463,0.1622,0.5377,6
37,10.0,0.1622,0.1463,0.1538,0.5377,6
55,14.86,0.2,0.2683,0.2292,0.5377,11
74,20.0,0.1892,0.3415,0.2435,0.5377,14
92,24.86,0.1848,0.4146,0.2556,0.5377,17
111,30.0,0.1712,0.4634,0.25,0.5377,19
129,34.86,0.155,0.4878,0.2353,0.5377,20
148,40.0,0.1554,0.561,0.2434,0.5377,23
166,44.86,0.1446,0.5854,0.2319,0.5377,24
185,50.0,0.1297,0.5854,0.2124,0.5377,24
222,60.0,0.1081,0.5854,0.1825,0.5377,24
259,70.0,0.1042,0.6585,0.18,0.5377,27
296,80.0,0.098,0.7073,0.1721,0.5377,29
333,90.0,0.0961,0.7805,0.1711,0.5377,32
370,100.0,0.1108,1.0,0.1995,0.5377,41
