Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,1.0089377164840698,1,0,unlabeled
1,1.0574537515640259,1,1,unlabeled
2,0.9781322479248047,0,0,unlabeled
3,1.0220082998275757,1,0,val
4,1.0654720067977905,1,1,unlabeled
5,1.0863873958587646,1,0,unlabeled
6,0.9973681569099426,1,0,unlabeled
7,0.9769360423088074,0,0,unlabeled
8,0.9837698936462402,0,0,train
9,0.9893198013305664,1,1,unlabeled
10,1.0031206607818604,1,1,unlabeled
11,1.0422728061676025,1,1,unlabeled
12,1.0406804084777832,1,0,unlabeled
13,1.0682318210601807,1,1,unlabeled
14,1.0943410396575928,1,0,unlabeled
15,1.1233174800872803,1,1,test
16,1.1628342866897583,1,0,unlabeled
17,0.9805496335029602,0,0,val
18,1.0572128295898438,1,0,unlabeled
19,1.124790906906128,1,0,unlabeled
20,0.9983329772949219,1,0,unlabeled
21,1.045741319656372,1,0,unlabeled
22,1.0171796083450317,1,0,unlabeled
23,0.9956220388412476,1,0,unlabeled
24,1.00944983959198,1,0,unlabeled
25,0.9946338534355164,1,0,unlabeled
26,0.9749816656112671,0,0,unlabeled
27,1.0038038492202759,1,0,unlabeled
28,0.987468421459198,0,0,unlabeled
29,1.0346596240997314,1,0,unlabeled
30,1.031062364578247,1,0,unlabeled
31,1.0125391483306885,1,0,train
32,0.9978731870651245,1,0,unlabeled
33,0.9730040431022644,0,0,unlabeled
34,1.160853624343872,1,0,unlabeled
35,1.261939525604248,1,0,unlabeled
36,1.01360285282135,1,0,unlabeled
37,1.079203486442566,1,0,train
38,1.0511698722839355,1,0,train
39,1.0116708278656006,1,0,unlabeled
40,1.0304311513900757,1,0,unlabeled
41,1.174833059310913,1,0,unlabeled
42,1.0503950119018555,1,0,unlabeled
43,1.0396159887313843,1,0,unlabeled
44,0.9975401163101196,1,0,unlabeled
45,1.02004075050354,1,0,unlabeled
46,0.987280547618866,0,0,test
47,1.287161946296692,1,0,unlabeled
48,1.020888328552246,1,0,train
49,1.0057544708251953,1,0,unlabeled
50,0.9705942273139954,0,0,unlabeled
51,1.0145207643508911,1,0,test
52,1.0916181802749634,1,0,unlabeled
53,1.0191253423690796,1,0,unlabeled
54,0.9792629480361938,0,0,unlabeled
55,0.9783377647399902,0,0,unlabeled
56,0.9938007593154907,1,0,val
57,0.9795357584953308,0,0,unlabeled
58,1.0577929019927979,1,0,unlabeled
59,1.0279022455215454,1,0,unlabeled
60,0.969454288482666,0,0,unlabeled
61,0.982813835144043,0,0,val
62,0.9874275922775269,0,0,val
63,1.0371932983398438,1,0,train
64,1.0217150449752808,1,0,unlabeled
65,1.0521546602249146,1,0,unlabeled
66,1.0669896602630615,1,0,unlabeled
67,1.0221821069717407,1,0,train
68,1.0763427019119263,1,0,unlabeled
69,1.0020334720611572,1,0,unlabeled
70,1.2683292627334595,1,0,train
71,0.9741285443305969,0,0,unlabeled
72,1.1054375171661377,1,0,val
73,1.0335460901260376,1,0,unlabeled
74,1.512772560119629,1,0,unlabeled
75,1.2914611101150513,1,0,unlabeled
76,1.1219751834869385,1,1,unlabeled
77,0.9831469655036926,0,0,test
78,1.1384137868881226,1,0,train
79,1.087557077407837,1,1,test
80,1.0021874904632568,1,0,unlabeled
81,1.0624812841415405,1,0,train
82,1.254281759262085,1,0,unlabeled
83,1.1270599365234375,1,0,unlabeled
84,1.0226670503616333,1,0,unlabeled
85,1.3074100017547607,1,0,val
86,0.9922288060188293,1,0,train
87,1.0215247869491577,1,0,train
88,1.0377377271652222,1,0,unlabeled
89,1.2313570976257324,1,1,unlabeled
90,1.024701476097107,1,1,unlabeled
91,1.0577648878097534,1,0,unlabeled
92,1.07987380027771,1,0,train
93,1.0415270328521729,1,0,unlabeled
94,0.9887706637382507,0,0,unlabeled
95,1.001646876335144,1,0,unlabeled
96,1.0436279773712158,1,0,unlabeled
97,1.0056194067001343,1,1,unlabeled
98,0.9759780764579773,0,0,train
99,1.0362296104431152,1,0,unlabeled
100,1.0675578117370605,1,1,train
101,1.0280418395996094,1,0,unlabeled
102,1.017585039138794,1,1,unlabeled
103,1.0194019079208374,1,0,unlabeled
104,1.055310845375061,1,1,unlabeled
105,0.9927053451538086,1,0,train
106,0.9875155687332153,0,0,unlabeled
107,1.0344349145889282,1,0,unlabeled
108,1.457379698753357,1,0,unlabeled
109,1.2184302806854248,1,0,unlabeled
