Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
8,1.0,0.0,0.0,0.0,0.5241,0
16,2.0,0.0,0.0,0.0,0.5241,0
24,3.0,0.0417,0.0122,0.0189,0.5241,1
32,4.0,0.0625,0.0244,0.0351,0.5241,2
40,5.0,0.075,0.0366,0.0492,0.5241,3
48,6.0,0.0625,0.0366,0.0462,0.5241,3
56,7.0,0.0714,0.0488,0.058,0.5241,4
64,8.0,0.0781,0.061,0.0685,0.5241,5
72,9.0,0.0694,0.061,0.0649,0.5241,5
80,10.0,0.0625,0.061,0.0617,0.5241,5
120,15.0,0.1167,0.1707,0.1386,0.5241,14
160,20.0,0.1187,0.2317,0.157,0.5241,19
200,25.0,0.12,0.2927,0.1702,0.5241,24
240,30.0,0.1208,0.3537,0.1801,0.5241,29
280,35.0,0.1179,0.4024,0.1823,0.5241,33
320,40.0,0.1187,0.4634,0.1891,0.5241,38
360,45.0,0.1222,0.5366,0.1991,0.5241,44
400,50.0,0.115,0.561,0.1909,0.5241,46
480,60.0,0.1083,0.6341,0.1851,0.5241,52
560,70.0,0.1054,0.7195,0.1838,0.5241,59
640,80.0,0.1,0.7805,0.1773,0.5241,64
720,90.0,0.1028,0.9024,0.1845,0.5241,74
800,100.0,0.1025,1.0,0.1859,0.5241,82
