Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
2,0.93,1.0,0.0645,0.1212,0.8954,2
4,1.87,0.75,0.0968,0.1714,0.8954,3
6,2.8,0.8333,0.1613,0.2703,0.8954,5
8,3.74,0.875,0.2258,0.359,0.8954,7
10,4.67,0.7,0.2258,0.3415,0.8954,7
12,5.61,0.6667,0.2581,0.3721,0.8954,8
14,6.54,0.5714,0.2581,0.3556,0.8954,8
17,7.94,0.5294,0.2903,0.375,0.8954,9
19,8.88,0.5263,0.3226,0.4,0.8954,10
21,9.81,0.5238,0.3548,0.4231,0.8954,11
32,14.95,0.4688,0.4839,0.4762,0.8954,15
42,19.63,0.4524,0.6129,0.5205,0.8954,19
53,24.77,0.434,0.7419,0.5476,0.8954,23
64,29.91,0.3906,0.8065,0.5263,0.8954,25
74,34.58,0.3649,0.871,0.5143,0.8954,27
85,39.72,0.3294,0.9032,0.4828,0.8954,28
96,44.86,0.3229,1.0,0.4882,0.8954,31
107,50.0,0.2897,1.0,0.4493,0.8954,31
128,59.81,0.2422,1.0,0.3899,0.8954,31
149,69.63,0.2081,1.0,0.3444,0.8954,31
171,79.91,0.1813,1.0,0.3069,0.8954,31
192,89.72,0.1615,1.0,0.278,0.8954,31
214,100.0,0.1449,1.0,0.2531,0.8954,31
