Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
6,0.98,0.5,0.0455,0.0833,0.983,3
12,1.95,0.6667,0.1212,0.2051,0.983,8
18,2.93,0.5556,0.1515,0.2381,0.983,10
24,3.9,0.5833,0.2121,0.3111,0.983,14
30,4.88,0.6333,0.2879,0.3958,0.983,19
36,5.85,0.6667,0.3636,0.4706,0.983,24
43,6.99,0.7209,0.4697,0.5688,0.983,31
49,7.97,0.7347,0.5455,0.6261,0.983,36
55,8.94,0.7455,0.6212,0.6777,0.983,41
61,9.92,0.7377,0.6818,0.7087,0.983,45
92,14.96,0.6196,0.8636,0.7215,0.983,57
123,20.0,0.5041,0.9394,0.6561,0.983,62
153,24.88,0.4118,0.9545,0.5753,0.983,63
184,29.92,0.3533,0.9848,0.52,0.983,65
215,34.96,0.307,1.0,0.4698,0.983,66
246,40.0,0.2683,1.0,0.4231,0.983,66
276,44.88,0.2391,1.0,0.386,0.983,66
307,49.92,0.215,1.0,0.3539,0.983,66
369,60.0,0.1789,1.0,0.3034,0.983,66
430,69.92,0.1535,1.0,0.2661,0.983,66
492,80.0,0.1341,1.0,0.2366,0.983,66
553,89.92,0.1193,1.0,0.2132,0.983,66
615,100.0,0.1073,1.0,0.1938,0.983,66
