Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.99,0.3333,0.009,0.0175,0.817,1
6,1.98,0.6667,0.036,0.0684,0.817,4
9,2.97,0.5556,0.045,0.0833,0.817,5
12,3.96,0.5833,0.0631,0.1138,0.817,7
15,4.95,0.6667,0.0901,0.1587,0.817,10
18,5.94,0.6667,0.1081,0.186,0.817,12
21,6.93,0.7143,0.1351,0.2273,0.817,15
24,7.92,0.7083,0.1532,0.2519,0.817,17
27,8.91,0.7407,0.1802,0.2899,0.817,20
30,9.9,0.7667,0.2072,0.3262,0.817,23
45,14.85,0.8,0.3243,0.4615,0.817,36
60,19.8,0.7333,0.3964,0.5146,0.817,44
75,24.75,0.7333,0.4955,0.5914,0.817,55
90,29.7,0.7111,0.5766,0.6368,0.817,64
106,34.98,0.6698,0.6396,0.6544,0.817,71
121,39.93,0.6364,0.6937,0.6638,0.817,77
136,44.88,0.6029,0.7387,0.664,0.817,82
151,49.83,0.596,0.8108,0.687,0.817,90
181,59.74,0.5249,0.8559,0.6507,0.817,95
212,69.97,0.4623,0.8829,0.6068,0.817,98
242,79.87,0.4091,0.8919,0.5609,0.817,99
272,89.77,0.3787,0.9279,0.5379,0.817,103
303,100.0,0.3663,1.0,0.5362,0.817,111
