Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,-0.9689531326293945,1,0,unlabeled
1,-1.020740032196045,1,0,unlabeled
2,-0.9982619285583496,1,1,unlabeled
3,-1.003091812133789,1,1,unlabeled
4,-0.9661241769790649,1,0,unlabeled
5,-1.0633293390274048,1,0,unlabeled
6,-1.0452091693878174,1,0,unlabeled
7,-0.9838284254074097,1,0,unlabeled
8,-1.0049283504486084,1,0,unlabeled
9,-1.0193824768066406,1,1,unlabeled
10,-0.9653805494308472,1,1,unlabeled
11,-1.1115822792053223,1,0,unlabeled
12,-0.9685672521591187,1,0,unlabeled
13,-1.019976019859314,1,1,unlabeled
14,-0.967731773853302,1,0,train
15,-1.2917214632034302,0,0,unlabeled
16,-1.0053391456604004,1,1,unlabeled
17,-1.0240925550460815,1,0,unlabeled
18,-1.009542465209961,1,1,unlabeled
19,-0.9694656133651733,1,0,unlabeled
20,-0.9609139561653137,1,0,unlabeled
21,-1.0917812585830688,1,0,unlabeled
22,-1.1295479536056519,1,0,test
23,-0.9954913854598999,1,0,train
24,-0.9976898431777954,1,0,unlabeled
25,-0.999428391456604,1,0,train
26,-0.9706576466560364,1,1,unlabeled
27,-1.0714876651763916,1,1,unlabeled
28,-1.08099365234375,1,0,unlabeled
29,-1.0103988647460938,1,0,unlabeled
30,-0.9830083847045898,1,0,unlabeled
31,-0.9939082264900208,1,1,val
32,-1.4854567050933838,0,0,unlabeled
33,-1.1070544719696045,1,1,unlabeled
34,-1.1060359477996826,1,0,unlabeled
35,-0.9840894937515259,1,0,unlabeled
36,-1.1177321672439575,1,1,unlabeled
37,-1.052922248840332,1,0,unlabeled
38,-1.0228297710418701,1,1,test
39,-1.019519567489624,1,0,unlabeled
40,-2.085139274597168,0,0,unlabeled
41,-1.1810567378997803,1,1,unlabeled
42,-1.0157538652420044,1,0,unlabeled
43,-0.9929116368293762,1,0,unlabeled
44,-1.0147124528884888,1,0,val
45,-1.2143449783325195,1,0,unlabeled
46,-1.051699161529541,1,1,val
47,-1.6182409524917603,0,0,unlabeled
48,-1.0342134237289429,1,0,unlabeled
49,-1.09658682346344,1,1,unlabeled
50,-0.9866436719894409,1,1,unlabeled
51,-0.9661715626716614,1,1,unlabeled
52,-0.9749462008476257,1,0,unlabeled
53,-1.1132112741470337,1,1,unlabeled
54,-1.1656782627105713,1,1,unlabeled
55,-1.2305341958999634,1,1,val
56,-1.007797360420227,1,0,unlabeled
57,-0.9974857568740845,1,0,unlabeled
58,-1.1190640926361084,1,1,train
59,-1.4956190586090088,0,0,unlabeled
60,-0.998310387134552,1,0,unlabeled
61,-1.0220047235488892,1,0,unlabeled
62,-1.0022237300872803,1,1,unlabeled
63,-0.9975255131721497,1,0,unlabeled
64,-1.4399253129959106,0,1,unlabeled
