Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,1.0,0.0,0.0,0.0,0.573,0
6,2.0,0.0,0.0,0.0,0.573,0
9,3.0,0.3333,0.038,0.0682,0.573,3
12,4.0,0.3333,0.0506,0.0879,0.573,4
15,5.0,0.3333,0.0633,0.1064,0.573,5
18,6.0,0.2778,0.0633,0.1031,0.573,5
21,7.0,0.2857,0.0759,0.12,0.573,6
24,8.0,0.3333,0.1013,0.1553,0.573,8
27,9.0,0.3704,0.1266,0.1887,0.573,10
30,10.0,0.3667,0.1392,0.2018,0.573,11
45,15.0,0.4444,0.2532,0.3226,0.573,20
60,20.0,0.4333,0.3291,0.3741,0.573,26
75,25.0,0.4,0.3797,0.3896,0.573,30
90,30.0,0.4,0.4557,0.426,0.573,36
105,35.0,0.3714,0.4937,0.4239,0.573,39
120,40.0,0.3333,0.5063,0.402,0.573,40
135,45.0,0.3259,0.557,0.4112,0.573,44
150,50.0,0.3,0.5696,0.393,0.573,45
180,60.0,0.2889,0.6582,0.4015,0.573,52
210,70.0,0.281,0.7468,0.4083,0.573,59
240,80.0,0.275,0.8354,0.4138,0.573,66
270,90.0,0.263,0.8987,0.4069,0.573,71
300,100.0,0.2633,1.0,0.4169,0.573,79
