Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9388447403907776,1,1,unlabeled
1,0.9999979734420776,1,1,unlabeled
2,0.9992744326591492,1,1,train
3,0.21906296908855438,1,1,unlabeled
4,0.8828653693199158,1,1,unlabeled
5,0.28857535123825073,1,1,unlabeled
6,0.20944619178771973,1,1,train
7,0.2088029831647873,1,1,unlabeled
8,0.05518940091133118,0,0,unlabeled
9,0.33779376745224,1,1,unlabeled
10,0.5067958235740662,1,1,unlabeled
11,0.777126133441925,1,1,train
12,0.4144646227359772,1,0,unlabeled
13,0.6036087274551392,1,1,train
14,0.5165905952453613,1,1,unlabeled
15,0.3795575499534607,1,0,unlabeled
16,0.9852842688560486,1,1,train
17,0.43422162532806396,1,0,unlabeled
18,0.9997410178184509,1,1,unlabeled
19,0.9997432827949524,1,1,unlabeled
20,0.7387810945510864,1,1,unlabeled
21,0.7367304563522339,1,1,unlabeled
22,0.9968885779380798,1,1,unlabeled
23,0.9921965599060059,1,1,unlabeled
24,0.7378789186477661,1,0,unlabeled
25,1.0,1,1,val
26,1.0,1,1,unlabeled
27,1.0,1,1,unlabeled
28,0.6611385941505432,1,0,unlabeled
29,0.7947730422019958,1,0,unlabeled
30,0.9995474219322205,1,1,unlabeled
31,0.9370670914649963,1,1,unlabeled
32,0.8880792856216431,1,0,unlabeled
33,0.27506253123283386,1,0,unlabeled
34,0.30854594707489014,1,0,train
35,0.4120538532733917,1,1,unlabeled
36,0.10123573988676071,0,0,unlabeled
37,1.0,1,1,unlabeled
38,0.7621514201164246,1,1,unlabeled
39,0.9561775922775269,1,1,unlabeled
40,0.965515673160553,1,1,train
41,0.9601293802261353,1,0,unlabeled
42,0.999092698097229,1,0,val
43,1.0,1,1,val
44,0.7552182674407959,1,0,unlabeled
45,0.7033188939094543,1,0,unlabeled
46,0.18874618411064148,1,1,unlabeled
47,1.0,1,1,unlabeled
48,0.1331407129764557,1,1,unlabeled
49,1.0,1,1,unlabeled
50,0.4472745358943939,1,1,unlabeled
51,0.291185200214386,1,1,unlabeled
52,0.9979549646377563,1,1,unlabeled
53,0.7982180118560791,1,1,unlabeled
54,0.999998927116394,1,1,train
55,0.9999994039535522,1,1,val
56,0.23840782046318054,1,0,train
57,0.45679739117622375,1,0,val
58,0.9871795773506165,1,1,train
59,0.7928174734115601,1,0,unlabeled
60,0.13238385319709778,1,1,unlabeled
61,0.32334375381469727,1,1,unlabeled
62,0.3137766420841217,1,1,train
63,0.997221827507019,1,1,unlabeled
64,0.7917228937149048,1,1,unlabeled
65,0.9212779402732849,1,1,unlabeled
66,0.7728561758995056,1,1,unlabeled
67,0.43311312794685364,1,1,unlabeled
68,0.5293541550636292,1,1,unlabeled
69,0.22288939356803894,1,0,train
70,0.8757587671279907,1,1,unlabeled
71,0.9980629086494446,1,1,unlabeled
72,0.9911670088768005,1,1,unlabeled
73,0.327784925699234,1,1,unlabeled
74,0.529694139957428,1,1,train
75,0.10849156975746155,1,0,train
76,0.68660569190979,1,1,unlabeled
77,0.9386671185493469,1,1,unlabeled
78,0.6182915568351746,1,0,unlabeled
79,0.9945458173751831,1,1,train
80,0.9769112467765808,1,1,unlabeled
81,0.885646402835846,1,1,unlabeled
82,0.9026803970336914,1,0,unlabeled
83,0.998234748840332,1,1,unlabeled
84,0.06079406291246414,0,1,unlabeled
85,0.15065422654151917,1,1,unlabeled
86,0.1060546413064003,0,0,unlabeled
87,0.312825471162796,1,1,unlabeled
88,0.1434456706047058,1,1,unlabeled
89,0.9999829530715942,1,1,unlabeled
90,1.0,1,1,unlabeled
91,1.0,1,1,unlabeled
92,1.0,1,1,unlabeled
93,0.9999996423721313,1,1,train
94,0.9998047947883606,1,1,train
95,0.989778459072113,1,1,train
96,0.9999996423721313,1,1,train
97,1.0,1,1,unlabeled
98,0.5979444980621338,1,1,unlabeled
99,0.9999994039535522,1,1,train
100,0.8548130393028259,1,0,unlabeled
101,0.17802536487579346,1,0,train
102,0.06720882654190063,0,1,unlabeled
103,0.7381060719490051,1,0,unlabeled
104,0.9167699217796326,1,1,val
105,0.9863298535346985,1,0,unlabeled
106,0.9872123599052429,1,0,unlabeled
107,0.18833152949810028,1,0,unlabeled
108,0.1738293468952179,1,0,train
109,0.24810294806957245,1,0,train
110,0.090304434299469,0,0,train
111,0.9734469652175903,1,1,val
112,0.570389986038208,1,0,unlabeled
113,0.9975983500480652,1,1,unlabeled
114,0.9999849796295166,1,0,unlabeled
115,0.9993075132369995,1,0,unlabeled
116,0.9129897356033325,1,1,val
117,1.0,1,1,train
118,1.0,1,1,train
119,1.0,1,1,unlabeled
120,1.0,1,1,unlabeled
121,1.0,1,1,train
122,0.7049207091331482,1,0,unlabeled
123,0.9571412801742554,1,1,train
124,0.0814051702618599,0,0,unlabeled
125,0.9985226988792419,1,0,unlabeled
126,0.9853674173355103,1,1,unlabeled
127,0.6383656859397888,1,1,unlabeled
128,0.8495684266090393,1,1,val
129,0.9855815768241882,1,1,unlabeled
130,0.640252947807312,1,1,unlabeled
131,0.9714303612709045,1,0,unlabeled
132,0.18107441067695618,1,0,unlabeled
133,0.3523253798484802,1,1,unlabeled
134,0.2726859450340271,1,1,unlabeled
135,1.0,1,1,unlabeled
136,0.6826491951942444,1,1,unlabeled
137,0.6304779052734375,1,1,unlabeled
138,0.6208112835884094,1,1,unlabeled
139,0.16732437908649445,1,1,val
140,0.33165010809898376,1,0,unlabeled
141,0.9606779217720032,1,1,unlabeled
142,0.7685677409172058,1,1,train
143,0.7945371270179749,1,1,unlabeled
144,0.3031834065914154,1,1,unlabeled
145,0.8057280778884888,1,0,unlabeled
146,0.9894238114356995,1,1,val
147,0.8279040455818176,1,1,unlabeled
148,0.3795127868652344,1,1,train
149,0.26501333713531494,1,1,unlabeled
150,0.30461540818214417,1,0,train
151,0.5351802110671997,1,1,unlabeled
152,0.5804706811904907,1,1,train
153,0.39319267868995667,1,0,unlabeled
154,0.9898120760917664,1,1,train
155,0.9999946355819702,1,1,unlabeled
156,0.41125428676605225,1,1,unlabeled
157,0.971038818359375,1,1,unlabeled
158,0.972105085849762,1,1,unlabeled
159,0.38588210940361023,1,1,unlabeled
160,0.9999996423721313,1,1,unlabeled
161,0.9999637603759766,1,1,unlabeled
162,0.9986196756362915,1,1,unlabeled
163,0.19985255599021912,1,1,unlabeled
164,0.191764697432518,1,1,unlabeled
165,0.9924085140228271,1,1,unlabeled
166,1.0,1,1,unlabeled
167,0.9547497630119324,1,1,unlabeled
168,1.0,1,1,unlabeled
169,0.9993220567703247,1,1,unlabeled
170,0.4772452116012573,1,1,unlabeled
171,1.0,1,1,unlabeled
172,1.0,1,1,unlabeled
173,0.40745821595191956,1,1,unlabeled
174,0.4002755284309387,1,1,unlabeled
175,0.10345910489559174,0,1,unlabeled
176,0.7989522814750671,1,1,unlabeled
177,0.9999995231628418,1,1,unlabeled
178,0.9999922513961792,1,1,unlabeled
179,0.9999823570251465,1,1,unlabeled
180,0.9964625239372253,1,1,unlabeled
181,0.9961101412773132,1,1,train
182,0.9981143474578857,1,0,unlabeled
183,0.5101057887077332,1,1,unlabeled
184,0.39241766929626465,1,1,unlabeled
185,0.6280813217163086,1,0,unlabeled
186,0.9537496566772461,1,1,unlabeled
187,0.9992902278900146,1,1,unlabeled
