Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
81,1.0,0.7654,0.0909,0.1625,0.9734,62
162,1.99,0.7716,0.1833,0.2962,0.9734,125
243,2.99,0.7654,0.2727,0.4022,0.9734,186
324,3.99,0.7346,0.349,0.4732,0.9734,238
406,5.0,0.6502,0.3871,0.4853,0.9734,264
487,5.99,0.6099,0.4355,0.5081,0.9734,297
568,6.99,0.5915,0.4927,0.5376,0.9734,336
649,7.99,0.5686,0.5411,0.5545,0.9734,369
731,9.0,0.5431,0.5821,0.5619,0.9734,397
812,10.0,0.5283,0.629,0.5743,0.9734,429
1218,14.99,0.486,0.868,0.6232,0.9734,592
1624,19.99,0.42,1.0,0.5915,0.9734,682
2031,25.0,0.3358,1.0,0.5028,0.9734,682
2437,30.0,0.2799,1.0,0.4373,0.9734,682
2843,35.0,0.2399,1.0,0.387,0.9734,682
3249,39.99,0.2099,1.0,0.347,0.9734,682
3655,44.99,0.1866,1.0,0.3145,0.9734,682
4062,50.0,0.1679,1.0,0.2875,0.9734,682
4874,60.0,0.1399,1.0,0.2455,0.9734,682
5686,69.99,0.1199,1.0,0.2142,0.9734,682
6499,80.0,0.1049,1.0,0.1899,0.9734,682
7311,89.99,0.0933,1.0,0.1706,0.9734,682
8124,100.0,0.0839,1.0,0.1549,0.9734,682
