Original_Index,Anomaly_Score,Detection_Result,True_Label,Split
0,0.9983239769935608,1,1,unlabeled
1,0.5379766225814819,0,0,train
2,0.3231552243232727,0,0,unlabeled
3,0.9979269504547119,1,1,unlabeled
4,0.44664087891578674,0,0,unlabeled
5,0.24468985199928284,0,0,train
6,0.4873945415019989,0,0,unlabeled
7,0.00032824798836372793,0,0,unlabeled
8,0.00025884807109832764,0,0,unlabeled
9,0.9958979487419128,1,1,unlabeled
10,0.10768669098615646,0,0,unlabeled
11,0.0638142004609108,0,0,train
12,0.9966967105865479,1,1,unlabeled
13,0.15140189230442047,0,0,unlabeled
14,0.16728828847408295,0,0,unlabeled
15,0.17596504092216492,0,0,unlabeled
16,4.0667227807489326e-08,0,0,unlabeled
17,9.463197776391971e-14,0,0,unlabeled
18,0.9270352721214294,1,1,unlabeled
19,0.1214277520775795,0,0,val
20,0.04640951007604599,0,0,unlabeled
21,0.9987922310829163,1,1,train
22,0.0821521207690239,0,0,unlabeled
23,0.08083467185497284,0,0,train
24,0.11368540674448013,0,0,unlabeled
25,4.9086243961937726e-05,0,0,val
26,2.9283070034580305e-05,0,0,unlabeled
27,0.9906833171844482,1,1,unlabeled
28,0.03655907139182091,0,0,unlabeled
29,0.016723912209272385,0,0,unlabeled
30,0.9949030876159668,1,1,unlabeled
31,0.05154573917388916,0,0,unlabeled
32,0.020844383165240288,0,0,unlabeled
33,0.9005094170570374,1,0,unlabeled
34,9.226619034768957e-13,0,0,unlabeled
35,1.8719139916356653e-05,0,0,unlabeled
36,0.9762141108512878,1,1,unlabeled
37,0.027169091627001762,0,0,unlabeled
38,0.011220247484743595,0,0,unlabeled
39,0.9847426414489746,1,1,unlabeled
40,0.028667569160461426,0,0,unlabeled
41,4.5360131650795665e-08,0,0,train
42,0.001460409490391612,0,0,unlabeled
43,2.5669634851510637e-05,0,0,train
44,1.366922788292868e-05,0,0,unlabeled
45,0.051172200590372086,0,1,unlabeled
46,1.0118154023075476e-05,0,0,train
47,0.0014052452752366662,0,0,unlabeled
48,0.9838044047355652,1,1,val
49,0.014926697127521038,0,0,unlabeled
50,0.0036581740714609623,0,0,unlabeled
51,0.011713940650224686,0,0,train
52,5.360418072086759e-06,0,0,unlabeled
53,5.214606972003821e-06,0,0,val
54,0.9979692101478577,1,1,unlabeled
55,0.33339422941207886,0,0,unlabeled
56,0.23243744671344757,0,0,val
57,0.9974406957626343,1,1,unlabeled
58,0.16877306997776031,0,0,unlabeled
59,0.11926671117544174,0,0,unlabeled
60,0.39317452907562256,0,0,train
61,0.00012192472058814019,0,0,train
62,5.648748265230097e-05,0,0,unlabeled
63,0.9989169836044312,1,1,unlabeled
64,0.02063664421439171,0,0,unlabeled
65,0.015294428914785385,0,0,train
66,0.9959143996238708,1,1,unlabeled
67,0.0003147657844237983,0,0,unlabeled
68,0.007315090857446194,0,0,unlabeled
69,0.050135381519794464,0,0,unlabeled
70,1.8262184312334284e-05,0,0,unlabeled
71,1.4893345905875321e-05,0,0,unlabeled
72,0.9878973960876465,1,1,unlabeled
73,0.02391073666512966,0,0,unlabeled
74,0.0037197533529251814,0,0,unlabeled
75,0.16832557320594788,0,1,val
76,0.0014508055755868554,0,0,unlabeled
77,1.6317961808454129e-06,0,0,train
78,0.04129590839147568,0,0,unlabeled
79,4.96711038522335e-07,0,0,unlabeled
80,5.228121608524816e-06,0,0,unlabeled
81,0.9695605635643005,1,1,train
82,0.0049780565313994884,0,0,train
83,0.0021012150682508945,0,0,unlabeled
84,0.9519041776657104,1,1,unlabeled
85,0.0003679369983728975,0,0,unlabeled
86,0.0023917651269584894,0,0,unlabeled
87,0.0006284218397922814,0,0,unlabeled
88,2.06683716896805e-06,0,0,train
89,2.6747097763291094e-06,0,0,unlabeled
90,0.8878188729286194,0,0,train
91,0.0036424947902560234,0,0,unlabeled
92,0.0013770348159596324,0,0,unlabeled
93,0.8922125101089478,0,0,val
94,0.004609436262398958,0,0,unlabeled
95,0.0013018002500757575,0,0,unlabeled
96,0.004923820961266756,0,0,unlabeled
97,5.8863943195319735e-06,0,0,unlabeled
98,4.4682633415504824e-06,0,0,unlabeled
99,0.5799227952957153,0,0,train
100,0.0007856535376049578,0,0,val
101,0.0002726714301388711,0,0,unlabeled
102,0.840691328048706,0,0,unlabeled
103,0.0011581756407395005,0,0,train
104,0.0005781317013315856,0,0,unlabeled
105,0.0018741408130154014,0,0,train
106,1.5902559198366362e-06,0,0,unlabeled
107,9.131354659075441e-07,0,0,unlabeled
108,0.9258449673652649,1,1,unlabeled
109,6.24306949248421e-07,0,0,train
110,0.0022148042917251587,0,0,unlabeled
111,0.9582825303077698,1,1,unlabeled
112,0.000307391193928197,0,0,unlabeled
113,0.00699163181707263,0,0,unlabeled
114,0.002857038052752614,0,0,train
115,1.7578804545337334e-05,0,0,unlabeled
116,1.3501605280907825e-05,0,0,unlabeled
117,0.632172167301178,0,0,val
118,3.184516026522033e-05,0,0,train
119,0.000545753980986774,0,0,unlabeled
120,0.9344137907028198,1,0,unlabeled
121,0.004743605852127075,0,0,val
122,0.0015656263567507267,0,0,unlabeled
123,0.00363674177788198,0,0,val
124,3.051721932934015e-06,0,0,train
125,2.6622226414474426e-06,0,0,train
126,0.7011941075325012,0,0,unlabeled
127,0.00044561136746779084,0,0,unlabeled
128,0.00021501007722690701,0,0,unlabeled
129,0.7414580583572388,0,0,val
130,0.0011203453177586198,0,0,unlabeled
131,0.000323863816447556,0,0,unlabeled
132,0.001900822389870882,0,0,unlabeled
133,1.1905576684512198e-06,0,0,unlabeled
134,1.5245332178892568e-06,0,0,unlabeled
135,0.5654528737068176,0,0,val
136,0.00032937651849351823,0,0,train
137,0.00015659842756576836,0,0,unlabeled
138,0.594481885433197,0,0,unlabeled
139,0.00019616226200014353,0,0,unlabeled
140,0.00012532844266388565,0,0,unlabeled
141,0.000547532516065985,0,0,val
142,4.7530255642413977e-07,0,0,unlabeled
143,4.0159420677809976e-07,0,0,unlabeled
144,0.3722513020038605,0,0,unlabeled
145,0.00047901750076562166,0,0,unlabeled
146,0.00015063145838212222,0,0,unlabeled
147,0.5733259916305542,0,0,unlabeled
148,0.000427411578129977,0,0,unlabeled
149,0.00038307116483338177,0,0,unlabeled
150,0.0011470038443803787,0,0,unlabeled
151,1.2978440508959466e-06,0,0,unlabeled
152,1.1081049251515651e-06,0,0,unlabeled
153,0.053132496774196625,0,0,train
154,6.03452863288112e-05,0,0,unlabeled
155,2.3940579922054894e-05,0,0,unlabeled
156,0.17883630096912384,0,0,val
157,8.989304478745908e-05,0,0,train
158,4.862955029238947e-05,0,0,unlabeled
159,0.00016086516552604735,0,0,unlabeled
160,2.9656439437530935e-07,0,0,unlabeled
161,1.749326514755012e-07,0,0,unlabeled
162,0.970201313495636,1,1,unlabeled
163,0.009239064529538155,0,0,unlabeled
164,0.004434432368725538,0,0,unlabeled
165,0.9767956733703613,1,1,unlabeled
166,0.008106929250061512,0,0,unlabeled
167,0.005957749206572771,0,0,unlabeled
168,0.018167948350310326,0,0,unlabeled
169,6.064248282200424e-06,0,0,unlabeled
170,5.397758286562748e-06,0,0,unlabeled
171,0.8221441507339478,0,0,unlabeled
172,0.0009224177920259535,0,0,unlabeled
173,0.0003165953385178,0,0,train
174,0.8457849621772766,0,0,val
175,0.0008131024078465998,0,0,unlabeled
176,0.0005316340830177069,0,0,unlabeled
177,0.0010260127019137144,0,0,unlabeled
178,1.3734330650549964e-06,0,0,unlabeled
179,1.1775460961871431e-06,0,0,unlabeled
180,0.6592556834220886,0,0,unlabeled
181,0.0005095645901747048,0,0,unlabeled
182,0.0002753893786575645,0,0,unlabeled
183,0.48720934987068176,0,0,unlabeled
184,0.00024729204596951604,0,0,unlabeled
185,0.00022010736574884504,0,0,unlabeled
186,0.0007602694677188993,0,0,unlabeled
187,8.037808356675669e-07,0,0,unlabeled
188,7.066132070576714e-07,0,0,unlabeled
189,0.3227789103984833,0,0,unlabeled
190,8.477424853481352e-05,0,0,unlabeled
191,5.4353862651623785e-05,0,0,unlabeled
192,0.3226049244403839,0,0,unlabeled
193,9.686975681688637e-05,0,0,val
194,6.416699761757627e-05,0,0,unlabeled
195,0.00021112569083925337,0,0,unlabeled
196,2.40178707144878e-07,0,0,unlabeled
197,2.2857921067043208e-07,0,0,train
198,0.17412732541561127,0,0,unlabeled
199,9.643215162213892e-05,0,0,unlabeled
200,6.420518911909312e-05,0,0,unlabeled
201,0.31995686888694763,0,0,train
202,0.00016393547412008047,0,0,unlabeled
203,8.5942774603609e-05,0,0,unlabeled
204,0.00025670448667369783,0,0,train
205,4.16338110653669e-07,0,0,unlabeled
206,5.079236302663048e-07,0,0,unlabeled
207,0.022654443979263306,0,0,unlabeled
208,2.7884347218787298e-05,0,0,unlabeled
209,1.3867979760107119e-05,0,0,unlabeled
210,0.09720289707183838,0,0,unlabeled
211,3.754496356123127e-05,0,0,unlabeled
212,2.1827148884767666e-05,0,0,val
213,4.7889581765048206e-05,0,0,unlabeled
214,1.5146451914915815e-07,0,0,unlabeled
215,1.025665028464573e-07,0,0,unlabeled
216,0.9985382556915283,1,1,unlabeled
217,0.6794570684432983,0,0,unlabeled
218,0.4234389364719391,0,0,unlabeled
219,0.9986515641212463,1,1,unlabeled
220,0.5680996179580688,0,0,unlabeled
221,0.3018225431442261,0,0,unlabeled
222,0.4332082271575928,0,0,unlabeled
223,0.001249483204446733,0,0,unlabeled
224,0.0002774510649032891,0,0,unlabeled
225,0.9985401630401611,1,1,unlabeled
226,0.024656591936945915,0,0,unlabeled
227,0.002592538483440876,0,0,train
228,0.9976010918617249,1,1,unlabeled
229,0.1724226325750351,0,0,unlabeled
230,0.08947357535362244,0,0,unlabeled
231,0.3099682331085205,0,0,unlabeled
232,0.00011722119961632416,0,0,unlabeled
233,7.527296111220494e-05,0,0,unlabeled
234,0.9605130553245544,1,1,unlabeled
235,0.16199971735477448,0,0,unlabeled
236,0.09164312481880188,0,0,unlabeled
237,0.9986708164215088,1,1,unlabeled
238,0.1185079887509346,0,0,unlabeled
239,0.04086907207965851,0,0,unlabeled
240,0.23988056182861328,0,0,train
241,4.2711038986453786e-05,0,0,unlabeled
242,1.9384064216865227e-05,0,0,unlabeled
243,0.9986969828605652,1,1,train
244,0.06208385154604912,0,0,unlabeled
245,0.013015711680054665,0,0,train
246,0.9981217980384827,1,1,val
247,0.029457062482833862,0,0,unlabeled
248,0.010283932089805603,0,0,train
249,0.17953385412693024,0,0,train
250,7.118482585610764e-07,0,0,train
251,1.4392163016907489e-09,0,0,unlabeled
252,0.9584081172943115,1,0,unlabeled
253,0.021752197295427322,0,0,train
254,0.004909669514745474,0,0,unlabeled
255,0.98576420545578,1,0,unlabeled
256,0.021496061235666275,0,0,unlabeled
257,0.007519671693444252,0,0,unlabeled
258,0.14442072808742523,0,0,unlabeled
259,8.02579779701773e-06,0,0,unlabeled
260,2.4784325702853494e-09,0,0,unlabeled
261,0.8838224411010742,0,0,unlabeled
262,0.00458185188472271,0,0,unlabeled
263,0.0012615403393283486,0,0,unlabeled
264,0.9613552689552307,1,0,unlabeled
265,0.0016888162354007363,0,0,unlabeled
266,2.5340048637190193e-07,0,0,unlabeled
267,0.002553079044446349,0,0,unlabeled
268,6.499490390332596e-10,0,0,unlabeled
269,2.965643261632067e-06,0,0,unlabeled
270,0.9986843466758728,1,1,unlabeled
271,0.4457346200942993,0,0,unlabeled
272,0.3011714220046997,0,0,unlabeled
273,0.9985144734382629,1,1,unlabeled
274,0.3519075810909271,0,0,unlabeled
275,0.22586606442928314,0,0,unlabeled
276,0.6017752289772034,0,0,unlabeled
277,0.00016042737115640193,0,0,unlabeled
278,8.499628893332556e-05,0,0,unlabeled
279,0.9970582723617554,1,1,unlabeled
280,0.08374029397964478,0,0,train
281,0.035172238945961,0,0,unlabeled
282,0.9975757002830505,1,1,unlabeled
283,0.08636949956417084,0,0,val
284,0.052578095346689224,0,0,train
285,0.2780405282974243,0,0,unlabeled
286,1.9774763131863438e-05,0,0,unlabeled
287,9.98526593321003e-06,0,0,train
288,0.995510458946228,1,1,unlabeled
289,0.04840390384197235,0,0,unlabeled
290,0.01781037077307701,0,0,unlabeled
291,0.9933162331581116,1,1,unlabeled
292,0.02982879988849163,0,0,unlabeled
