Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
1,0.51,0.0,0.0,0.0,0.8108,0
3,1.54,0.0,0.0,0.0,0.8108,0
5,2.56,0.4,0.0513,0.0909,0.8108,2
7,3.59,0.5714,0.1026,0.1739,0.8108,4
9,4.62,0.5556,0.1282,0.2083,0.8108,5
11,5.64,0.4545,0.1282,0.2,0.8108,5
13,6.67,0.5385,0.1795,0.2692,0.8108,7
15,7.69,0.4667,0.1795,0.2593,0.8108,7
17,8.72,0.4706,0.2051,0.2857,0.8108,8
19,9.74,0.5263,0.2564,0.3448,0.8108,10
29,14.87,0.4828,0.359,0.4118,0.8108,14
39,20.0,0.5128,0.5128,0.5128,0.8108,20
48,24.62,0.4792,0.5897,0.5287,0.8108,23
58,29.74,0.4483,0.6667,0.5361,0.8108,26
68,34.87,0.4118,0.7179,0.5234,0.8108,28
78,40.0,0.3846,0.7692,0.5128,0.8108,30
87,44.62,0.3678,0.8205,0.5079,0.8108,32
97,49.74,0.3505,0.8718,0.5,0.8108,34
117,60.0,0.3162,0.9487,0.4744,0.8108,37
136,69.74,0.2721,0.9487,0.4229,0.8108,37
156,80.0,0.2372,0.9487,0.3795,0.8108,37
175,89.74,0.2114,0.9487,0.3458,0.8108,37
195,100.0,0.2,1.0,0.3333,0.8108,39
