Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
4,0.82,0.75,0.0938,0.1667,0.9069,3
9,1.84,0.8889,0.25,0.3902,0.9069,8
14,2.86,0.7143,0.3125,0.4348,0.9069,10
19,3.88,0.6842,0.4062,0.5098,0.9069,13
24,4.9,0.7083,0.5312,0.6071,0.9069,17
29,5.92,0.6207,0.5625,0.5902,0.9069,18
34,6.94,0.5294,0.5625,0.5455,0.9069,18
39,7.96,0.5128,0.625,0.5634,0.9069,20
44,8.98,0.4545,0.625,0.5263,0.9069,20
49,10.0,0.4082,0.625,0.4938,0.9069,20
73,14.9,0.3151,0.7188,0.4381,0.9069,23
98,20.0,0.2857,0.875,0.4308,0.9069,28
122,24.9,0.2295,0.875,0.3636,0.9069,28
147,30.0,0.1973,0.9062,0.324,0.9069,29
171,34.9,0.1696,0.9062,0.2857,0.9069,29
196,40.0,0.148,0.9062,0.2544,0.9069,29
220,44.9,0.1318,0.9062,0.2302,0.9069,29
245,50.0,0.1184,0.9062,0.2094,0.9069,29
294,60.0,0.1054,0.9688,0.1902,0.9069,31
343,70.0,0.0904,0.9688,0.1653,0.9069,31
392,80.0,0.0791,0.9688,0.1462,0.9069,31
441,90.0,0.0703,0.9688,0.1311,0.9069,31
490,100.0,0.0653,1.0,0.1226,0.9069,32
