Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
100,1.0,0.87,0.0512,0.0967,0.9983,87
200,2.0,0.825,0.0971,0.1738,0.9983,165
300,3.0,0.8267,0.146,0.2481,0.9983,248
400,4.0,0.81,0.1907,0.3087,0.9983,324
500,5.0,0.81,0.2384,0.3683,0.9983,405
600,6.0,0.8017,0.2831,0.4184,0.9983,481
700,7.0,0.8,0.3296,0.4669,0.9983,560
800,8.0,0.8037,0.3785,0.5146,0.9983,643
900,9.0,0.8,0.4238,0.5541,0.9983,720
1000,10.0,0.798,0.4697,0.5913,0.9983,798
1500,15.0,0.7927,0.6998,0.7434,0.9983,1189
2000,20.0,0.7815,0.92,0.8451,0.9983,1563
2500,25.0,0.6796,1.0,0.8092,0.9983,1699
3000,30.0,0.5663,1.0,0.7231,0.9983,1699
3500,35.0,0.4854,1.0,0.6536,0.9983,1699
4000,40.0,0.4248,1.0,0.5962,0.9983,1699
4500,45.0,0.3776,1.0,0.5482,0.9983,1699
5000,50.0,0.3398,1.0,0.5072,0.9983,1699
6000,60.0,0.2832,1.0,0.4414,0.9983,1699
7000,70.0,0.2427,1.0,0.3906,0.9983,1699
8000,80.0,0.2124,1.0,0.3503,0.9983,1699
9000,90.0,0.1888,1.0,0.3176,0.9983,1699
10000,100.0,0.1699,1.0,0.2905,0.9983,1699
