Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
3,0.76,0.0,0.0,0.0,0.4562,0
7,1.77,0.0,0.0,0.0,0.4562,0
11,2.78,0.0,0.0,0.0,0.4562,0
15,3.8,0.0,0.0,0.0,0.4562,0
19,4.81,0.0526,0.0435,0.0476,0.4562,1
23,5.82,0.087,0.087,0.087,0.4562,2
27,6.84,0.1111,0.1304,0.12,0.4562,3
31,7.85,0.0968,0.1304,0.1111,0.4562,3
35,8.86,0.1143,0.1739,0.1379,0.4562,4
39,9.87,0.1026,0.1739,0.129,0.4562,4
59,14.94,0.0847,0.2174,0.122,0.4562,5
79,20.0,0.0886,0.3043,0.1373,0.4562,7
98,24.81,0.0714,0.3043,0.1157,0.4562,7
118,29.87,0.0763,0.3913,0.1277,0.4562,9
138,34.94,0.0652,0.3913,0.1118,0.4562,9
158,40.0,0.057,0.3913,0.0994,0.4562,9
177,44.81,0.0565,0.4348,0.1,0.4562,10
197,49.87,0.0508,0.4348,0.0909,0.4562,10
237,60.0,0.0464,0.4783,0.0846,0.4562,11
276,69.87,0.0435,0.5217,0.0803,0.4562,12
316,80.0,0.0475,0.6522,0.0885,0.4562,15
355,89.87,0.0507,0.7826,0.0952,0.4562,18
395,100.0,0.0582,1.0,0.11,0.4562,23
