Top_K,Percentage(%),Precision,Recall,F1-Score,AUC,Anomaly_Count_In_TopK
15,0.94,0.0667,0.0154,0.025,0.6194,1
31,1.94,0.0968,0.0462,0.0625,0.6194,3
47,2.94,0.0851,0.0615,0.0714,0.6194,4
63,3.94,0.0635,0.0615,0.0625,0.6194,4
79,4.94,0.0633,0.0769,0.0694,0.6194,5
95,5.94,0.0526,0.0769,0.0625,0.6194,5
111,6.94,0.0541,0.0923,0.0682,0.6194,6
127,7.94,0.0472,0.0923,0.0625,0.6194,6
143,8.94,0.042,0.0923,0.0577,0.6194,6
159,9.94,0.0503,0.1231,0.0714,0.6194,8
239,14.95,0.0669,0.2462,0.1053,0.6194,16
319,19.95,0.0658,0.3231,0.1094,0.6194,21
399,24.95,0.0602,0.3692,0.1034,0.6194,24
479,29.96,0.0626,0.4615,0.1103,0.6194,30
559,34.96,0.0608,0.5231,0.109,0.6194,34
639,39.96,0.0579,0.5692,0.1051,0.6194,37
719,44.97,0.0556,0.6154,0.102,0.6194,40
799,49.97,0.0538,0.6615,0.0995,0.6194,43
959,59.97,0.0532,0.7846,0.0996,0.6194,51
1119,69.98,0.0474,0.8154,0.0895,0.6194,53
1279,79.99,0.0461,0.9077,0.0878,0.6194,59
1439,89.99,0.0445,0.9846,0.0851,0.6194,64
1599,100.0,0.0407,1.0,0.0781,0.6194,65
